,to,which,century,is,the,glass,beaker,called,luck,of,edenhall,dated,?
the,0.535392165184021,0.6521818041801453,0.3617299497127533,0.5823672413825989,1.0,0.20646950602531433,0.2038423866033554,0.489897221326828,0.1816454529762268,0.733189046382904,0.32478681206703186,0.2046709507703781,0.22068053483963013
important,0.30913278460502625,0.37798872590065,0.3344342112541199,0.350485235452652,0.39348116517066956,0.12019388377666473,0.17658504843711853,0.3316391706466675,0.19620735943317413,0.43301743268966675,0.1844629943370819,0.12082075327634811,0.17812499403953552
13th-century,0.20061133801937103,0.21646204590797424,0.9144138693809509,0.19174067676067352,0.32099464535713196,0.22957178950309753,0.21671266853809357,0.24444983899593353,0.06013994663953781,0.26545727252960205,0.17670780420303345,0.27952244877815247,0.11644048988819122
glass,0.2111847698688507,0.26769232749938965,0.21940134465694427,0.24710522592067719,0.20646950602531433,1.0000001192092896,0.357171893119812,0.19620247185230255,0.14265455305576324,0.24470314383506775,0.191504567861557,0.18154177069664001,0.1252557635307312
beaker,0.16085942089557648,0.220342218875885,0.15775735676288605,0.23581945896148682,0.2038423866033554,0.357171893119812,1.0,0.15606072545051575,0.13685978949069977,0.14850957691669464,0.1296612024307251,0.049391940236091614,0.10284189879894257
known,0.14337651431560516,0.30223485827445984,0.2454954832792282,0.41921812295913696,0.3624623417854309,0.22776590287685394,0.20341256260871887,0.4469456970691681,0.15110985934734344,0.35814476013183594,0.13654516637325287,0.15721449255943298,0.18314571678638458
as,0.42092081904411316,0.41006597876548767,0.24608509242534637,0.43216490745544434,0.48381632566452026,0.24598997831344604,0.25328075885772705,0.2827680706977844,0.17643162608146667,0.3886612355709076,0.15303264558315277,0.2191723734140396,0.27043893933296204
the,0.535392165184021,0.6521818041801453,0.3617299497127533,0.5823672413825989,1.0,0.20646950602531433,0.2038423866033554,0.489897221326828,0.1816454529762268,0.733189046382904,0.32478681206703186,0.2046709507703781,0.22068053483963013
luck,0.18493904173374176,0.1507314145565033,0.06370419263839722,0.16081330180168152,0.1816454529762268,0.14265455305576324,0.13685978949069977,0.1513834148645401,0.9999999403953552,0.126641184091568,0.2210763692855835,0.11505360156297684,0.31377238035202026
of,0.41548454761505127,0.5011631846427917,0.2826060354709625,0.4854315221309662,0.733189046382904,0.24470314383506775,0.14850957691669464,0.4222904443740845,0.126641184091568,1.0,0.32234740257263184,0.210488960146904,0.1826142966747284
edenhall,0.2382364571094513,0.2713691294193268,0.15355244278907776,0.2754632532596588,0.32478681206703186,0.191504567861557,0.1296612024307251,0.1999632567167282,0.2210763692855835,0.32234740257263184,0.9999999403953552,0.11186902225017548,0.19988061487674713
is,0.42745086550712585,0.4457404911518097,0.20648397505283356,1.0,0.5823672413825989,0.24710522592067719,0.23581945896148682,0.430266410112381,0.16081330180168152,0.4854315221309662,0.2754632532596588,0.13580690324306488,0.22961433231830597
also,0.5348826050758362,0.6566565632820129,0.24239669740200043,0.5012649297714233,0.6021018624305725,0.3104042410850525,0.25759801268577576,0.5140911936759949,0.22882425785064697,0.4924938678741455,0.2609357237815857,0.10305439680814743,0.21848613023757935
displayed,0.19166001677513123,0.2786124646663666,0.15500685572624207,0.1811804473400116,0.2887660264968872,0.25928109884262085,0.17630624771118164,0.10336386412382126,0.1455625295639038,0.22871877253055573,0.11751652508974075,0.23530320823192596,0.20322057604789734
in,0.45010748505592346,0.4840516746044159,0.3174034655094147,0.5394441485404968,0.6662389636039734,0.21226459741592407,0.16208334267139435,0.40847352147102356,0.09496884793043137,0.5696388483047485,0.2806365489959717,0.1982845962047577,0.20430970191955566
these,0.46852558851242065,0.5959210991859436,0.2942356765270233,0.2498808652162552,0.49086877703666687,0.23445063829421997,0.1807115525007248,0.4124293625354767,0.1658237725496292,0.42684608697891235,0.1688864380121231,0.20612792670726776,0.2571668326854706
galleries,0.2089657187461853,0.28423401713371277,0.24396762251853943,0.16632306575775146,0.27603694796562195,0.3198099434375763,0.18571946024894714,0.18283121287822723,0.1302151381969452,0.24172402918338776,0.2921941578388214,0.22093601524829865,0.1957392692565918
.,0.4645031690597534,0.45942068099975586,0.27413639426231384,0.4569662809371948,0.5934505462646484,0.2393880933523178,0.24065235257148743,0.300344854593277,0.24647623300552368,0.5352458953857422,0.30418792366981506,0.2194228619337082,0.4130953550338745
