,why,is,the,current,sea,level,rising,?
in,0.23227278888225555,0.5394441485404968,0.6662389636039734,0.1955713927745819,0.2302369773387909,0.279204785823822,0.26222285628318787,0.20430970191955566
the,0.30742117762565613,0.5823672413825989,1.0,0.3314409554004669,0.30363768339157104,0.31442487239837646,0.34945452213287354,0.22068053483963013
southern,0.1125493124127388,0.2419366091489792,0.3282862603664398,0.11624021828174591,0.29470691084861755,0.12957242131233215,0.22148612141609192,0.11225555837154388
north,0.1449831873178482,0.2993389368057251,0.36298373341560364,0.16314814984798431,0.3454431891441345,0.22353820502758026,0.22168928384780884,0.11829731613397598
sea,0.1984117180109024,0.22288988530635834,0.30363768339157104,0.10116669535636902,1.0,0.3468961715698242,0.31621667742729187,0.15551945567131042
",",0.2827242314815521,0.4691906273365021,0.4933079481124878,0.29341426491737366,0.30078184604644775,0.23317520320415497,0.21649663150310516,0.31091248989105225
due,0.24495384097099304,0.24065633118152618,0.22577603161334991,0.151209756731987,0.1746625006198883,0.15504610538482666,0.26451271772384644,0.10954997688531876
to,0.4100138247013092,0.42745086550712585,0.535392165184021,0.30630946159362793,0.2749888300895691,0.2976585030555725,0.21663394570350647,0.29463258385658264
ongoing,0.28098931908607483,0.23759374022483826,0.3282879889011383,0.24243402481079102,0.1512315422296524,0.1991012990474701,0.22732605040073395,0.24929021298885345
tectonic,0.29241615533828735,0.22087347507476807,0.3249375522136688,0.17123234272003174,0.3875698149204254,0.22950677573680878,0.30363762378692627,0.18071772158145905
subsidence,0.18807348608970642,0.1787661463022232,0.26452165842056274,0.2263857126235962,0.19074051082134247,0.19816027581691742,0.1935076117515564,0.0958172008395195
",",0.2827242314815521,0.4691906273365021,0.4933079481124878,0.29341426491737366,0.30078184604644775,0.23317520320415497,0.21649663150310516,0.31091248989105225
the,0.30742117762565613,0.5823672413825989,1.0,0.3314409554004669,0.30363768339157104,0.31442487239837646,0.34945452213287354,0.22068053483963013
sea,0.1984117180109024,0.22288988530635834,0.30363768339157104,0.10116669535636902,1.0,0.3468961715698242,0.31621667742729187,0.15551945567131042
level,0.22420457005500793,0.24803997576236725,0.31442487239837646,0.1962451934814453,0.3468961715698242,0.9999998807907104,0.2995113134384155,0.20528386533260345
is,0.26410171389579773,1.0,0.5823672413825989,0.2555285692214966,0.22288988530635834,0.24803997576236725,0.17822740972042084,0.22961433231830597
still,0.47136420011520386,0.3574111759662628,0.40142056345939636,0.22762422263622284,0.1378638744354248,0.16147057712078094,0.15986618399620056,0.3039587736129761
rising,0.13590683043003082,0.17822740972042084,0.34945452213287354,0.12926256656646729,0.31621667742729187,0.2995113134384155,1.0000001192092896,0.07955946773290634
",",0.2827242314815521,0.4691906273365021,0.4933079481124878,0.29341426491737366,0.30078184604644775,0.23317520320415497,0.21649663150310516,0.31091248989105225
at,0.23853865265846252,0.25906258821487427,0.457212895154953,0.17432795464992523,0.21252158284187317,0.24496568739414215,0.23512664437294006,0.21978627145290375
the,0.30742117762565613,0.5823672413825989,1.0,0.3314409554004669,0.30363768339157104,0.31442487239837646,0.34945452213287354,0.22068053483963013
rate,0.18013744056224823,0.24290183186531067,0.24881242215633392,0.13228538632392883,0.11826729774475098,0.26853781938552856,0.28396567702293396,0.1308269053697586
of,0.28464117646217346,0.4854315221309662,0.733189046382904,0.31470298767089844,0.2707739472389221,0.23504668474197388,0.27970030903816223,0.1826142966747284
about,0.40929678082466125,0.3532065451145172,0.37995871901512146,0.1779501587152481,0.22202660143375397,0.18966758251190186,0.18541371822357178,0.302409827709198
1–3,0.08835265040397644,0.1652839630842209,0.18716228008270264,0.09104037284851074,0.07813692092895508,0.09931447356939316,0.10646973550319672,0.1213410347700119
cm,0.13754992187023163,0.2241038680076599,0.1848733276128769,0.11895165592432022,0.1094818115234375,0.13399341702461243,0.059190474450588226,0.22839917242527008
(,0.23387731611728668,0.35393038392066956,0.33289089798927307,0.25988274812698364,0.19181853532791138,0.2298942357301712,0.171818345785141,0.40561532974243164
0.39–1.18,0.1624690145254135,0.026273958384990692,0.02397697977721691,0.1607305109500885,0.01880449801683426,0.10083163529634476,-0.01948770135641098,0.07565758377313614
in,0.23227278888225555,0.5394441485404968,0.6662389636039734,0.1955713927745819,0.2302369773387909,0.279204785823822,0.26222285628318787,0.20430970191955566
),0.25356316566467285,0.37732169032096863,0.3456730246543884,0.2365816831588745,0.18647637963294983,0.2288828194141388,0.2032996267080307,0.42300865054130554
per,0.23989123106002808,0.22395510971546173,0.21691934764385223,0.22138337790966034,0.12559114396572113,0.22996217012405396,0.15833719074726105,0.22323818504810333
century,0.13556267321109772,0.20648397505283356,0.3617299497127533,0.1195228174328804,0.18341034650802612,0.11468853801488876,0.17411187291145325,0.1026201918721199
(,0.23387731611728668,0.35393038392066956,0.33289089798927307,0.25988274812698364,0.19181853532791138,0.2298942357301712,0.171818345785141,0.40561532974243164
1,-0.25445976853370667,-0.12491171807050705,-0.1554475575685501,-0.19804425537586212,0.0889367014169693,-0.008101455867290497,0.03545753285288811,-0.249979168176651
metre,0.16865497827529907,0.23360438644886017,0.2578008472919464,0.1435731053352356,0.19594530761241913,0.2077607959508896,0.1617310345172882,0.11374903470277786
or,0.3391086459159851,0.41870999336242676,0.4174870550632477,0.1829390823841095,0.18372580409049988,0.3087853193283081,0.19845296442508698,0.32389625906944275
39,0.010597491636872292,0.017304329201579094,0.12403792142868042,0.007102545350790024,0.01983891986310482,0.014538473449647427,0.1025710180401802,0.04514012485742569
inches,0.13838835060596466,0.23922942578792572,0.23460479080677032,0.09517782926559448,0.22762370109558105,0.21325674653053284,0.18668133020401,0.17945347726345062
in,0.23227278888225555,0.5394441485404968,0.6662389636039734,0.1955713927745819,0.2302369773387909,0.279204785823822,0.26222285628318787,0.20430970191955566
last,0.1652192920446396,0.2445172220468521,0.3698786795139313,0.192361980676651,0.17452025413513184,0.11636733263731003,0.1545109897851944,0.22371746599674225
3000,-0.024171624332666397,-0.003740041982382536,0.06269479542970657,-0.025450455024838448,-0.11988557875156403,-0.10201922059059143,0.04536726698279381,-0.014650711789727211
years,0.2000180333852768,0.19551363587379456,0.2912273406982422,0.1562318354845047,0.14155210554599762,0.1529536247253418,0.1631373167037964,0.1914375126361847
),0.25356316566467285,0.37732169032096863,0.3456730246543884,0.2365816831588745,0.18647637963294983,0.2288828194141388,0.2032996267080307,0.42300865054130554
.,0.32909876108169556,0.4569662809371948,0.5934505462646484,0.29179835319519043,0.2680719196796417,0.26056769490242004,0.24651499092578888,0.4130953550338745
