,what,school,did,both,hank,marvin,and,bruce,welch,attend,?
hank,0.14234472811222076,0.21483376622200012,0.19310343265533447,0.21369260549545288,1.0000001192092896,0.3901568651199341,0.2761320471763611,0.2488151341676712,0.42026427388191223,0.12375327944755554,0.17129042744636536
marvin,0.1709521859884262,0.16438113152980804,0.17590220272541046,0.18621280789375305,0.3901568651199341,0.9999999403953552,0.20632953941822052,0.3012479245662689,0.3313811123371124,0.10349176824092865,0.18246011435985565
and,0.31309178471565247,0.2752758264541626,0.34479495882987976,0.5503310561180115,0.2761320471763611,0.20632953941822052,1.0,0.2643289566040039,0.29832378029823303,0.26535022258758545,0.20544172823429108
bruce,0.12445461004972458,0.17932330071926117,0.12503524124622345,0.23124530911445618,0.2488151341676712,0.3012479245662689,0.2643289566040039,1.0,0.2794543206691742,0.15136225521564484,0.06869585812091827
welch,0.16532623767852783,0.17368976771831512,0.1882620006799698,0.2822999358177185,0.42026427388191223,0.3313811123371124,0.29832378029823303,0.2794543206691742,0.9999998807907104,0.14845122396945953,0.19623346626758575
were,0.22298263013362885,0.16513954102993011,0.4162326455116272,0.4254525601863861,0.13322682678699493,0.1645888090133667,0.42175528407096863,0.1675584763288498,0.2132396548986435,0.2799128293991089,0.17890112102031708
both,0.3361809551715851,0.158969908952713,0.34255191683769226,1.0,0.21369260549545288,0.18621280789375305,0.5503310561180115,0.23124530911445618,0.2822999358177185,0.19906799495220184,0.19455738365650177
former,0.13598288595676422,0.1826586127281189,0.0988369733095169,0.2012929469347,0.20508915185928345,0.1838839054107666,0.2516189515590668,0.16367550194263458,0.21731463074684143,0.16438820958137512,0.10570605844259262
pupils,0.180222749710083,0.43612703680992126,0.19897840917110443,0.24091777205467224,0.15650905668735504,0.1133979931473732,0.29847007989883423,0.056378405541181564,0.14960172772407532,0.33346182107925415,0.06499303877353668
of,0.33290785551071167,0.2391800880432129,0.2513895630836487,0.3565710783004761,0.14463737607002258,0.1632843017578125,0.5116966962814331,0.19511868059635162,0.1502353847026825,0.2297111451625824,0.1826142966747284
