,what,was,the,cause,for,the,issues,with,city,funding,?
much,0.45316147804260254,0.2580166161060333,0.35023224353790283,0.3132915496826172,0.2994346022605896,0.35023224353790283,0.2667636573314667,0.2808258831501007,0.16522060334682465,0.25788894295692444,0.23442231118679047
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.25979894399642944,0.4185989499092102,0.733189046382904,0.2288406491279602,0.41827285289764404,0.32503411173820496,0.27515512704849243,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.2551237642765045,0.4739971458911896,1.0,0.2638932764530182,0.4223487675189972,0.35769423842430115,0.3006567358970642,0.22068053483963013
city,0.17493832111358643,0.3188765048980713,0.35769423842430115,0.09850287437438965,0.18687109649181366,0.35769423842430115,0.06160985678434372,0.19554263353347778,1.0,0.2155899554491043,0.13423943519592285
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,-0.04770376905798912,-0.07241261005401611,-0.01540423184633255,-0.05637482926249504,-0.04624466598033905,0.004406440537422895,0.013703925535082817,-0.023395681753754616
tax,0.21278929710388184,0.13571642339229584,0.19507044553756714,0.23500581085681915,0.2646346986293793,0.19507044553756714,0.25252169370651245,0.20174698531627655,0.1701512336730957,0.4286142587661743,0.2097984105348587
base,0.1336955726146698,0.17853876948356628,0.2870652377605438,0.1897243708372116,0.15657725930213928,0.2870652377605438,0.10276675224304199,0.19587387144565582,0.17508824169635773,0.15472042560577393,0.10518061369657516
dissipated,0.19602014124393463,0.25216537714004517,0.2560241222381592,0.2823432683944702,0.15248161554336548,0.2560241222381592,0.22116616368293762,0.1637500524520874,0.1940387636423111,0.2196940928697586,0.14368602633476257
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2546827793121338,0.4464869201183319,0.4933079481124878,0.2560703754425049,0.4120737314224243,0.35839709639549255,0.23183828592300415,0.31091248989105225
leading,0.197072371840477,0.27386704087257385,0.3809107840061188,0.3099501430988312,0.3854183852672577,0.3809107840061188,0.1846836507320404,0.2195664644241333,0.1783791482448578,0.32875367999076843,0.1360926628112793
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.3172815442085266,0.4451248347759247,0.535392165184021,0.27458062767982483,0.4239959120750427,0.20300441980361938,0.3602164685726166,0.29463258385658264
problems,0.3306994140148163,0.1851695030927658,0.2659202516078949,0.5120793581008911,0.27039530873298645,0.2659202516078949,0.6541393995285034,0.3139011859893799,0.10345584899187088,0.2568930387496948,0.2638136148452759
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.2820144593715668,0.39140474796295166,0.4223487675189972,0.251447856426239,0.9999999403953552,0.19554263353347778,0.23049691319465637,0.2433311939239502
funding,0.2725590467453003,0.2314583957195282,0.3006567358970642,0.17118696868419647,0.34661975502967834,0.3006567358970642,0.33347567915916443,0.23049691319465637,0.2155899554491043,1.0,0.1842934638261795
education,0.19940856099128723,0.23187610507011414,0.23982903361320496,0.13884811103343964,0.27265021204948425,0.23982903361320496,0.26119673252105713,0.11138669401407242,0.26312902569770813,0.4331626892089844,0.18067774176597595
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2546827793121338,0.4464869201183319,0.4933079481124878,0.2560703754425049,0.4120737314224243,0.35839709639549255,0.23183828592300415,0.31091248989105225
sanitation,0.23225249350070953,0.20243212580680847,0.2349284142255783,0.3765696585178375,0.34442126750946045,0.2349284142255783,0.31069281697273254,0.2386958748102188,0.19217176735401154,0.31575918197631836,0.23686571419239044
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2546827793121338,0.4464869201183319,0.4933079481124878,0.2560703754425049,0.4120737314224243,0.35839709639549255,0.23183828592300415,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2858448028564453,0.5064792633056641,0.5171257257461548,0.2817770540714264,0.5477725267410278,0.2827445864677429,0.30138206481933594,0.20544172823429108
traffic,0.145517036318779,0.18086227774620056,0.2208961844444275,0.21821323037147522,0.2560259699821472,0.2208961844444275,0.23069173097610474,0.21835960447788239,0.2122090607881546,0.25998345017433167,0.19721992313861847
control,0.2821830213069916,0.19347785413265228,0.32841500639915466,0.25560444593429565,0.2014283388853073,0.32841500639915466,0.22631360590457916,0.2059466540813446,0.1916857659816742,0.21760864555835724,0.1620711386203766
within,0.2498195916414261,0.19280311465263367,0.39827480912208557,0.2683659791946411,0.3087334632873535,0.39827480912208557,0.22815898060798645,0.2915107011795044,0.1794440597295761,0.24963673949241638,0.1870293766260147
the,0.42745697498321533,0.48711544275283813,1.0,0.2551237642765045,0.4739971458911896,1.0,0.2638932764530182,0.4223487675189972,0.35769423842430115,0.3006567358970642,0.22068053483963013
city,0.17493832111358643,0.3188765048980713,0.35769423842430115,0.09850287437438965,0.18687109649181366,0.35769423842430115,0.06160985678434372,0.19554263353347778,1.0,0.2155899554491043,0.13423943519592285
limits,0.32290130853652954,0.19717204570770264,0.3678794801235199,0.2293170839548111,0.28130146861076355,0.3678794801235199,0.2786959409713745,0.19804438948631287,0.2503720223903656,0.3163418471813202,0.14532171189785004
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.267557293176651,0.4726039469242096,0.5934505462646484,0.23493336141109467,0.4446153938770294,0.29856356978416443,0.24722786247730255,0.4130953550338745
