,what,items,comprise,the,john,jones,collection,?
the,0.42745697498321533,0.23580949008464813,0.30294761061668396,1.0,0.2230520099401474,0.24446700513362885,0.25281965732574463,0.22068053483963013
john,0.18237407505512238,0.1011722981929779,0.0760747566819191,0.2230520099401474,1.0000001192092896,0.34628820419311523,0.14187732338905334,0.13162356615066528
jones,0.18502666056156158,0.12415102869272232,0.06744188070297241,0.24446700513362885,0.34628820419311523,0.9999999403953552,0.18541675806045532,0.1838836669921875
collection,0.215459942817688,0.38827261328697205,0.3226623833179474,0.25281965732574463,0.14187732338905334,0.18541675806045532,0.9999998807907104,0.20069393515586853
of,0.33290785551071167,0.21522082388401031,0.37900012731552124,0.733189046382904,0.2407056987285614,0.2007877230644226,0.2915455996990204,0.1826142966747284
french,0.17393042147159576,0.12319909036159515,0.12313064932823181,0.2555147111415863,0.16710959374904633,0.11285733431577682,0.12934844195842743,0.1386883556842804
18th-century,0.22015000879764557,0.18982727825641632,0.10913823544979095,0.3194690942764282,0.27046096324920654,0.18743515014648438,0.26656201481819153,0.1101951003074646
art,0.19292277097702026,0.2506609559059143,0.11422863602638245,0.20297785103321075,0.14772957563400269,0.1079808920621872,0.3446033000946045,0.138971745967865
and,0.31309178471565247,0.2645854949951172,0.24621130526065826,0.5171257257461548,0.21634717285633087,0.26914161443710327,0.2379438579082489,0.20544172823429108
furnishings,0.22956782579421997,0.4380149841308594,0.22641658782958984,0.28501203656196594,0.18218696117401123,0.16817408800125122,0.3360153138637543,0.13212162256240845
was,0.22111038863658905,0.10300161689519882,0.16965223848819733,0.48711544275283813,0.2875721752643585,0.23214209079742432,0.1743653565645218,0.18412111699581146
left,0.2442072629928589,0.12061309814453125,0.07067572325468063,0.33113980293273926,0.16891281306743622,0.1771697849035263,0.08197229355573654,0.13251960277557373
to,0.455847829580307,0.3191612660884857,0.16497786343097687,0.535392165184021,0.2070634365081787,0.19961781799793243,0.15417452156543732,0.29463258385658264
the,0.42745697498321533,0.23580949008464813,0.30294761061668396,1.0,0.2230520099401474,0.24446700513362885,0.25281965732574463,0.22068053483963013
museum,0.1771627515554428,0.22843439877033234,0.13515688478946686,0.24861779808998108,0.14412403106689453,0.17278698086738586,0.4441815912723541,0.14128351211547852
in,0.30808621644973755,0.2189844399690628,0.26302969455718994,0.6662389636039734,0.22177861630916595,0.1750783771276474,0.23004686832427979,0.20430970191955566
1882,0.06151828542351723,0.02538214810192585,-0.13708461821079254,-0.17908993363380432,0.007711111567914486,-0.01890460215508938,0.01722794398665428,0.08152727782726288
",",0.3087472915649414,0.21073096990585327,0.24136890470981598,0.4933079481124878,0.23961079120635986,0.2674069404602051,0.2277175933122635,0.31091248989105225
then,0.4072686731815338,0.24302661418914795,0.09158747643232346,0.4297412931919098,0.16362662613391876,0.15567812323570251,0.14923229813575745,0.2884598970413208
valued,0.19062063097953796,0.34042152762413025,0.17682312428951263,0.13255152106285095,0.1462748944759369,0.12821851670742035,0.2927563786506653,0.20130088925361633
at,0.2838611304759979,0.16135454177856445,0.13468587398529053,0.457212895154953,0.2018798142671585,0.19856467843055725,0.15476343035697937,0.21978627145290375
"£250,000",0.08297424763441086,-0.012694570235908031,0.03547316789627075,0.023127278313040733,-0.05899859964847565,-0.04012655094265938,0.03926718607544899,-0.07015929371118546
.,0.3567904531955719,0.23707115650177002,0.185248464345932,0.5934505462646484,0.26428887248039246,0.2486228495836258,0.2516246736049652,0.4130953550338745
