,what,are,pd,rings,?
next,0.25980645418167114,0.13767699897289276,0.024625297635793686,0.12043394148349762,0.167460098862648
",",0.3087472915649414,0.4062570035457611,0.24401408433914185,0.21637700498104095,0.31091248989105225
the,0.42745697498321533,0.40399202704429626,0.12370072305202484,0.2546970844268799,0.22068053483963013
two,0.23363454639911652,0.46276170015335083,0.12049634009599686,0.2710493803024292,0.19645625352859497
plastid-dividing,0.3433874845504761,0.4325936436653137,0.17459720373153687,0.28536078333854675,0.22113782167434692
rings,0.16678349673748016,0.24929514527320862,0.027383439242839813,0.9999999403953552,0.09448361396789551
",",0.3087472915649414,0.4062570035457611,0.24401408433914185,0.21637700498104095,0.31091248989105225
or,0.33867141604423523,0.5374364256858826,0.1828758269548416,0.20123659074306488,0.32389625906944275
pd,0.10629615932703018,0.15525446832180023,0.9999999403953552,0.027383439242839813,0.22966104745864868
rings,0.16678349673748016,0.24929514527320862,0.027383439242839813,0.9999999403953552,0.09448361396789551
form,0.15868011116981506,0.29983413219451904,0.1643238067626953,0.20822177827358246,0.1463010311126709
.,0.3567904531955719,0.3452940285205841,0.2677389681339264,0.22442109882831573,0.4130953550338745
