,what,kind,of,programs,can,be,credited,for,abc,'s,success,in,the,late,1950s,?
it,0.45803478360176086,0.2979188859462738,0.38761502504348755,0.23197083175182343,0.3819273114204407,0.5203388929367065,0.14701375365257263,0.32171204686164856,0.17324577271938324,0.06608816236257553,0.26427826285362244,0.5130809545516968,0.6251175999641418,0.28720298409461975,0.31537386775016785,0.25732165575027466
was,0.22111038863658905,0.1604125201702118,0.4069072902202606,0.16294841468334198,0.23099195957183838,0.42228707671165466,0.29115962982177734,0.3863949179649353,0.21565799415111542,0.008974763564765453,0.315643846988678,0.45514053106307983,0.48711544275283813,0.4393066465854645,0.2797155976295471,0.18412111699581146
not,0.5449194312095642,0.3335936963558197,0.3307090103626251,0.22915247082710266,0.49270012974739075,0.5788898468017578,0.1675799936056137,0.39280617237091064,0.15984800457954407,0.002583299996331334,0.2725300192832947,0.3403114080429077,0.4310511648654938,0.1889783889055252,0.3681197762489319,0.41942933201789856
until,0.2693650424480438,0.08819688856601715,0.2787701487541199,0.1696295142173767,0.15644216537475586,0.24359700083732605,0.23716793954372406,0.2802979350090027,0.175827294588089,0.02445155940949917,0.26984933018684387,0.38338494300842285,0.37191009521484375,0.4057881236076355,0.3219737112522125,0.20304496586322784
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.21757709980010986,0.312528520822525,0.4248143136501312,0.19653713703155518,0.4739971458911896,0.2068762183189392,-0.01540423184633255,0.2764457166194916,0.6662389636039734,1.0,0.31481194496154785,0.3424292504787445,0.22068053483963013
late,0.1576872020959854,0.11622610688209534,0.21690747141838074,0.1942386031150818,0.1322953701019287,0.18044832348823547,0.23190268874168396,0.2018979787826538,0.21952039003372192,0.013811700977385044,0.27016666531562805,0.3439198434352875,0.31481194496154785,1.0,0.2251698523759842,0.11339222639799118
1950s,0.2998310923576355,0.24216638505458832,0.2965795397758484,0.27844879031181335,0.3149336874485016,0.32583925127983093,0.18599440157413483,0.34338921308517456,0.16447530686855316,-0.019477833062410355,0.2570050358772278,0.26312577724456787,0.3424292504787445,0.2251698523759842,0.9999998807907104,0.16557677090168
that,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.3190736472606659,0.4522190988063812,0.6036020517349243,0.18429939448833466,0.4137635827064514,0.17440107464790344,0.04397977516055107,0.2163781225681305,0.435920387506485,0.5473989248275757,0.2700948715209961,0.39725083112716675,0.32716336846351624
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.21757709980010986,0.312528520822525,0.4248143136501312,0.19653713703155518,0.4739971458911896,0.2068762183189392,-0.01540423184633255,0.2764457166194916,0.6662389636039734,1.0,0.31481194496154785,0.3424292504787445,0.22068053483963013
abc,0.1317344456911087,0.16052275896072388,0.14607268571853638,0.3454950749874115,0.14358964562416077,0.14780379831790924,0.1492985486984253,0.22510288655757904,1.0000001192092896,0.06670809537172318,0.22851410508155823,0.1697147786617279,0.2068762183189392,0.21952039003372192,0.16447530686855316,0.19065172970294952
network,0.16917307674884796,0.1388760656118393,0.21800683438777924,0.41126325726509094,0.22158409655094147,0.21879678964614868,0.12904009222984314,0.253274142742157,0.4295894205570221,0.07819218933582306,0.18083390593528748,0.19496823847293854,0.27187061309814453,0.234710693359375,0.21678082644939423,0.17853789031505585
became,0.1434093862771988,0.07650677859783173,0.3638904094696045,0.14279122650623322,0.1460379958152771,0.22371777892112732,0.22746062278747559,0.3017078936100006,0.14350707828998566,0.0067522358149290085,0.29465949535369873,0.31047213077545166,0.36325156688690186,0.4181244671344757,0.19783945381641388,0.11374033987522125
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.25316864252090454,0.3915780484676361,0.39883795380592346,0.185069277882576,0.44038116931915283,0.21331243216991425,0.04866964742541313,0.2934626638889313,0.539380669593811,0.5829201340675354,0.22989967465400696,0.34951528906822205,0.23916715383529663
serious,0.3481818735599518,0.3274988830089569,0.23478257656097412,0.2300308346748352,0.315401166677475,0.28617745637893677,0.1697857677936554,0.2986944913864136,0.13419505953788757,-0.04300256073474884,0.2577974796295166,0.23241659998893738,0.2602829933166504,0.19332051277160645,0.3122585117816925,0.23093265295028687
contender,0.22286732494831085,0.1954585760831833,0.2710200250148773,0.21618692576885223,0.1612829566001892,0.24308836460113525,0.15789391100406647,0.26809361577033997,0.19945503771305084,-0.041041381657123566,0.26774275302886963,0.2969036400318146,0.3447081744670868,0.21504555642604828,0.21592557430267334,0.2033396065235138
to,0.455847829580307,0.28460726141929626,0.41548454761505127,0.23389451205730438,0.4979398250579834,0.4972836375236511,0.0971369668841362,0.4451248347759247,0.1762417107820511,0.03782717138528824,0.20929217338562012,0.45010748505592346,0.535392165184021,0.25809016823768616,0.41899827122688293,0.29463258385658264
nbc,0.1638578325510025,0.1190882995724678,0.12012486904859543,0.3764050602912903,0.11254728585481644,0.1632550060749054,0.19585545361042023,0.22503440082073212,0.63486248254776,0.07915050536394119,0.2548167407512665,0.19303210079669952,0.20618264377117157,0.2751117944717407,0.18052108585834503,0.1680917739868164
