,what,did,luther,establish,as,a,worship,service,in,his,church,?
from,0.2737620174884796,0.20248863101005554,0.10716932266950607,0.13508547842502594,0.3251767158508301,0.322764128446579,0.15516434609889984,0.17239798605442047,0.4274188280105591,0.3195365369319916,0.1894836276769638,0.19969791173934937
1525,0.1285589039325714,0.19781608879566193,0.1513497233390808,0.13925620913505554,0.14367128908634186,0.11692382395267487,0.08928188681602478,0.23329366743564606,0.14578936994075775,0.15527868270874023,0.12214022874832153,0.09607826918363571
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.32019129395484924,0.42092081904411316,0.45503583550453186,0.2843751609325409,0.24411341547966003,0.45010748505592346,0.3715193271636963,0.24439501762390137,0.29463258385658264
1529,0.07017510384321213,0.12269923090934753,0.16133925318717957,0.017521562054753304,0.08375700563192368,0.10874844342470169,0.048290692269802094,0.11306051909923553,0.24987466633319855,0.28822124004364014,0.16142933070659637,0.17319193482398987
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.19669954478740692,0.48816442489624023,0.427140474319458,0.19550569355487823,0.2389259785413742,0.5201468467712402,0.3378419280052185,0.2707274258136749,0.31091248989105225
he,0.3114890456199646,0.3292143940925598,0.2454872578382492,0.23162055015563965,0.33787044882774353,0.4393508732318878,0.22877255082130432,0.2013363242149353,0.41690486669540405,0.7171558737754822,0.23494282364845276,0.2089974731206894
established,0.14869536459445953,0.18989217281341553,0.1317099928855896,0.7768300175666809,0.26194092631340027,0.23500119149684906,0.17309986054897308,0.19688907265663147,0.3118882477283478,0.18046686053276062,0.21564553678035736,0.15917523205280304
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.22806213796138763,0.39550232887268066,1.0,0.20819522440433502,0.23104366660118103,0.539380669593811,0.3497250974178314,0.19588641822338104,0.23916715383529663
supervisory,0.21732665598392487,0.24150541424751282,0.1377347707748413,0.1785207986831665,0.29206690192222595,0.2429511547088623,0.1385645568370819,0.3405701816082001,0.22705677151679993,0.21016517281532288,0.20718131959438324,0.13021598756313324
church,0.1944202184677124,0.16781097650527954,0.379041463136673,0.1832268089056015,0.211966410279274,0.19588641822338104,0.46193012595176697,0.22230948507785797,0.2493300437927246,0.20669284462928772,0.9999999403953552,0.18081501126289368
