,what,schools,do,preparatory,schools,prepare,british,children,to,attend,?
preparatory,0.1975819319486618,0.4085295796394348,0.16369231045246124,0.9999998807907104,0.4085295796394348,0.6213857531547546,0.1655997335910797,0.14586544036865234,0.2960403263568878,0.38998129963874817,0.10992063581943512
schools,0.1820785105228424,1.0,0.19505831599235535,0.4085295796394348,1.0,0.2184009552001953,0.1199653223156929,0.3170471489429474,0.2362271547317505,0.4374011754989624,0.18349280953407288
in,0.30808621644973755,0.2632134258747101,0.23402775824069977,0.30538713932037354,0.2632134258747101,0.23856060206890106,0.23084034025669098,0.2065156251192093,0.45010748505592346,0.2352246344089508,0.20430970191955566
the,0.42745697498321533,0.22905772924423218,0.30239659547805786,0.29037582874298096,0.22905772924423218,0.2688513994216919,0.28973397612571716,0.15654058754444122,0.535392165184021,0.23206810653209686,0.22068053483963013
uk,0.17163191735744476,0.21530239284038544,0.12549059092998505,0.1723896861076355,0.21530239284038544,0.08439978212118149,0.38841667771339417,0.16661712527275085,0.18409153819084167,0.16261786222457886,0.20222434401512146
prepare,0.30663585662841797,0.2184009552001953,0.30959829688072205,0.6213857531547546,0.2184009552001953,1.0,0.13250850141048431,0.18613535165786743,0.3789248764514923,0.30854982137680054,0.2191268503665924
pupils,0.180222749710083,0.413528710603714,0.17518720030784607,0.2997712790966034,0.413528710603714,0.19186268746852875,0.11087968945503235,0.3331298232078552,0.22638830542564392,0.33346182107925415,0.06499303877353668
aged,0.12079130113124847,0.18683438003063202,0.09669335186481476,0.24328292906284332,0.18683438003063202,0.13477134704589844,0.17558616399765015,0.2904023230075836,0.16537721455097198,0.19580768048763275,0.15621034801006317
up,0.28591108322143555,0.19359968602657318,0.26271459460258484,0.1922263652086258,0.19359968602657318,0.20405016839504242,0.17518854141235352,0.1355152726173401,0.40375280380249023,0.2041889876127243,0.1819818764925003
to,0.455847829580307,0.2362271547317505,0.38876664638519287,0.2960403263568878,0.2362271547317505,0.3789248764514923,0.22690963745117188,0.23135778307914734,1.0,0.3481958508491516,0.29463258385658264
13,-0.0796622633934021,0.018976612016558647,-0.05838824436068535,-0.030556611716747284,0.018976612016558647,-0.036103568971157074,-0.08281373977661133,0.053910087794065475,0.05182816833257675,-0.003231222042813897,-0.11384815722703934
years,0.1981470286846161,0.23278145492076874,0.180253803730011,0.18848943710327148,0.23278145492076874,0.11630219221115112,0.17609497904777527,0.2584390640258789,0.23891852796077728,0.21537712216377258,0.1914375126361847
old,0.22117848694324493,0.17869268357753754,0.1431131362915039,0.1930297315120697,0.17869268357753754,0.10282620042562485,0.12144297361373901,0.2389797866344452,0.2412436157464981,0.14465323090553284,0.20577076077461243
to,0.455847829580307,0.2362271547317505,0.38876664638519287,0.2960403263568878,0.2362271547317505,0.3789248764514923,0.22690963745117188,0.23135778307914734,1.0,0.3481958508491516,0.29463258385658264
enter,0.2278345823287964,0.135722815990448,0.2698597013950348,0.2891860604286194,0.135722815990448,0.3147329092025757,0.09871266037225723,0.10366702824831009,0.3060675263404846,0.3585602343082428,0.11047764122486115
public,0.1729622185230255,0.4260808527469635,0.14626605808734894,0.33324551582336426,0.4260808527469635,0.19794750213623047,0.2240295261144638,0.20709837973117828,0.2672370672225952,0.32432588934898376,0.19872993230819702
schools,0.1820785105228424,1.0,0.19505831599235535,0.4085295796394348,1.0,0.2184009552001953,0.1199653223156929,0.3170471489429474,0.2362271547317505,0.4374011754989624,0.18349280953407288
.,0.3567904531955719,0.2752705216407776,0.3613996207714081,0.25015321373939514,0.2752705216407776,0.23362712562084198,0.23159366846084595,0.26089367270469666,0.4645031690597534,0.1994091272354126,0.4130953550338745
