,who,did,the,panthers,beat,to,become,the,nfc,champs,?
they,0.47879111766815186,0.4879390597343445,0.49925389885902405,0.23642724752426147,0.23725149035453796,0.5452046394348145,0.346346378326416,0.49925389885902405,0.26658985018730164,0.1919536292552948,0.2753053903579712
defeated,0.24426424503326416,0.23103484511375427,0.2833898365497589,0.23061460256576538,0.4585265815258026,0.22105613350868225,0.19814379513263702,0.2833898365497589,0.3095690608024597,0.26098814606666565,0.1413237303495407
the,0.3733934462070465,0.34736719727516174,1.0,0.2602776288986206,0.24951939284801483,0.535392165184021,0.31731709837913513,1.0,0.2545439600944519,0.26219478249549866,0.22068053483963013
arizona,0.18629911541938782,0.1684030294418335,0.22572119534015656,0.3588832914829254,0.09316831082105637,0.1879066824913025,0.18507204949855804,0.22572119534015656,0.29782453179359436,0.09701892733573914,0.14315035939216614
cardinals,0.2145349085330963,0.1666116863489151,0.2451406717300415,0.47018635272979736,0.2004200518131256,0.20428168773651123,0.16388218104839325,0.2451406717300415,0.44831347465515137,0.2053135335445404,0.13200661540031433
49–15,-0.018790461122989655,-0.03175068646669388,0.09043944627046585,0.020930055528879166,-0.10831217467784882,0.03580540418624878,0.07428246736526489,0.09043944627046585,-0.014515412040054798,-0.03846939653158188,-0.055436357855796814
in,0.2792111933231354,0.2593238651752472,0.6662389636039734,0.2115829735994339,0.16871558129787445,0.45010748505592346,0.23238378763198853,0.6662389636039734,0.20630285143852234,0.26458194851875305,0.20430970191955566
the,0.3733934462070465,0.34736719727516174,1.0,0.2602776288986206,0.24951939284801483,0.535392165184021,0.31731709837913513,1.0,0.2545439600944519,0.26219478249549866,0.22068053483963013
nfc,0.17579996585845947,0.11289361864328384,0.2545439600944519,0.472109317779541,0.31179726123809814,0.23611298203468323,0.1562025398015976,0.2545439600944519,1.0,0.3161151111125946,0.15073348581790924
championship,0.15638136863708496,0.18663130700588226,0.2540402412414551,0.40219083428382874,0.3523143529891968,0.18725894391536713,0.13296358287334442,0.2540402412414551,0.4293152987957001,0.459668904542923,0.1390383541584015
game,0.2523840069770813,0.19789010286331177,0.285271555185318,0.26323550939559937,0.30160796642303467,0.2540906071662903,0.1564927101135254,0.285271555185318,0.4089287221431732,0.14128175377845764,0.1829071193933487
and,0.41279885172843933,0.34479495882987976,0.5171257257461548,0.2230100929737091,0.2474934160709381,0.48971283435821533,0.3416603207588196,0.5171257257461548,0.24502897262573242,0.24689655005931854,0.20544172823429108
advanced,0.18064400553703308,0.18464945256710052,0.2635994255542755,0.1759907454252243,0.20489558577537537,0.2451169788837433,0.13523776829242706,0.2635994255542755,0.20275263488292694,0.1308438628911972,0.1806638389825821
to,0.42656609416007996,0.4452643394470215,0.535392165184021,0.2185782641172409,0.24239139258861542,1.0,0.36996012926101685,0.535392165184021,0.23611298203468323,0.18152554333209991,0.29463258385658264
their,0.3767721951007843,0.38078752160072327,0.516537070274353,0.20130555331707,0.21771855652332306,0.44619059562683105,0.28348976373672485,0.516537070274353,0.19696703553199768,0.12440387159585953,0.1898253709077835
second,0.21920166909694672,0.20727969706058502,0.4620301127433777,0.2124287188053131,0.3104352355003357,0.3098561465740204,0.179473415017128,0.4620301127433777,0.22875475883483887,0.2024158388376236,0.17239587008953094
super,0.1819351613521576,0.16038043797016144,0.21959073841571808,0.27118441462516785,0.2586536407470703,0.17783479392528534,0.1830577254295349,0.21959073841571808,0.373574823141098,0.2514641284942627,0.166326642036438
bowl,0.09189514070749283,0.18569406867027283,0.21576224267482758,0.34713199734687805,0.2160097360610962,0.16993016004562378,0.1793743520975113,0.21576224267482758,0.47588562965393066,0.36162954568862915,0.21118052303791046
appearance,0.18138431012630463,0.21570497751235962,0.2678116261959076,0.17733480036258698,0.13943134248256683,0.2557435631752014,0.19819916784763336,0.2678116261959076,0.14711400866508484,0.18887190520763397,0.17315366864204407
since,0.27765995264053345,0.27613121271133423,0.4054957628250122,0.12518474459648132,0.16513852775096893,0.3733763098716736,0.3201519846916199,0.4054957628250122,0.23966443538665771,0.15920864045619965,0.2876587212085724
the,0.3733934462070465,0.34736719727516174,1.0,0.2602776288986206,0.24951939284801483,0.535392165184021,0.31731709837913513,1.0,0.2545439600944519,0.26219478249549866,0.22068053483963013
franchise,0.26402056217193604,0.1293107569217682,0.30872398614883423,0.3353862166404724,0.23196522891521454,0.26970288157463074,0.24217554926872253,0.30872398614883423,0.4253854751586914,0.177580788731575,0.13445523381233215
was,0.3318818509578705,0.41399896144866943,0.48711544275283813,0.2605615258216858,0.20154671370983124,0.3636345863342285,0.3147440552711487,0.48711544275283813,0.18001268804073334,0.1904142200946808,0.18412111699581146
founded,0.2723641097545624,0.15014135837554932,0.2840350568294525,0.21910612285137177,0.2084919661283493,0.15697255730628967,0.12937632203102112,0.2840350568294525,0.17233921587467194,0.17354637384414673,0.09119737893342972
in,0.2792111933231354,0.2593238651752472,0.6662389636039734,0.2115829735994339,0.16871558129787445,0.45010748505592346,0.23238378763198853,0.6662389636039734,0.20630285143852234,0.26458194851875305,0.20430970191955566
1995,0.1870681494474411,0.16752305626869202,-0.025311529636383057,-0.16547462344169617,-0.03698696568608284,0.07653936743736267,0.0339265838265419,-0.025311529636383057,-0.13626520335674286,-0.07108129560947418,0.14293554425239563
.,0.3541337847709656,0.35288307070732117,0.5934505462646484,0.23446570336818695,0.2967934012413025,0.4645031690597534,0.32859939336776733,0.5934505462646484,0.23085859417915344,0.23942320048809052,0.4130953550338745
