,the,censuring,of,the,santer,commission,resulted,in,which,main,case,?
this,0.6274310946464539,0.28283262252807617,0.45148900151252747,0.6274310946464539,0.12991414964199066,0.1779852658510208,0.30420592427253723,0.45205554366111755,0.6719430088996887,0.3026203215122223,0.39866772294044495,0.3155723512172699
resulted,0.2975946068763733,0.21969014406204224,0.3479447662830353,0.2975946068763733,0.12857690453529358,0.28784504532814026,1.0,0.3197503983974457,0.32516372203826904,0.12298395484685898,0.2584359347820282,0.1391388475894928
in,0.6662389636039734,0.27980419993400574,0.5696388483047485,0.6662389636039734,0.17791689932346344,0.21326816082000732,0.3197503983974457,1.0,0.4840516746044159,0.28862449526786804,0.2190418541431427,0.20430970191955566
one,0.5514441132545471,0.2919168174266815,0.4999135136604309,0.5514441132545471,0.1788613200187683,0.13957388699054718,0.2149088978767395,0.4129433035850525,0.510688066482544,0.3519288897514343,0.32077234983444214,0.2673267424106598
main,0.38631999492645264,0.1604841947555542,0.3177044689655304,0.38631999492645264,0.1957322508096695,0.058324556797742844,0.12298395484685898,0.28862449526786804,0.37042954564094543,1.0000001192092896,0.13751600682735443,0.1665669083595276
case,0.31022098660469055,0.2667410969734192,0.24743439257144928,0.31022098660469055,0.2088751643896103,0.1518445461988449,0.2584359347820282,0.2190418541431427,0.33281663060188293,0.13751600682735443,1.0000001192092896,0.33232852816581726
",",0.4933079481124878,0.26813480257987976,0.4946078956127167,0.4933079481124878,0.29711830615997314,0.19528092443943024,0.21903154253959656,0.5201468467712402,0.3658004403114319,0.2989408075809479,0.2977246046066284,0.31091248989105225
commission,0.24418850243091583,0.29781243205070496,0.2698368728160858,0.24418850243091583,0.19472827017307281,0.9999998807907104,0.28784504532814026,0.21326816082000732,0.25648555159568787,0.058324556797742844,0.1518445461988449,0.16231559216976166
v,0.18580520153045654,0.08908600360155106,0.1655031144618988,0.18580520153045654,0.15076516568660736,0.17029616236686707,0.1338178962469101,0.15216681361198425,0.1653934270143509,0.035056184977293015,0.2666381299495697,0.28677162528038025
edith,0.17720913887023926,0.09332461655139923,0.19353748857975006,0.17720913887023926,0.26578429341316223,0.13390646874904633,0.1069793701171875,0.18794694542884827,0.0821855440735817,0.041639164090156555,0.13326671719551086,0.15014788508415222
