,what,happened,to,nearby,light,bulbs,?
light,0.22953972220420837,0.20834600925445557,0.22474321722984314,0.214247927069664,0.9999998807907104,0.4135030210018158,0.17429810762405396
bulbs,0.18802985548973083,0.13496507704257965,0.2421916425228119,0.21383842825889587,0.4135030210018158,1.0,0.07054978609085083
within,0.2498195916414261,0.1659296751022339,0.34980177879333496,0.2903795838356018,0.10495232790708542,0.16667813062667847,0.1870293766260147
100,0.16026288270950317,0.10856404155492783,0.15134137868881226,0.08217056840658188,0.12902405858039856,0.1614205688238144,0.19397632777690887
feet,0.18749791383743286,0.1136060282588005,0.2308226376771927,0.205300971865654,0.20558106899261475,0.24083051085472107,0.14855161309242249
of,0.33290785551071167,0.30501094460487366,0.41548454761505127,0.2392946183681488,0.18257063627243042,0.22310738265514374,0.1826142966747284
the,0.42745697498321533,0.3589572608470917,0.535392165184021,0.2903098165988922,0.2649136185646057,0.2648853659629822,0.22068053483963013
lab,0.20529143512248993,0.1185835525393486,0.22717534005641937,0.1396901160478592,0.1721533238887787,0.21002669632434845,0.15959888696670532
glowed,0.20867232978343964,0.30682870745658875,0.21778638660907745,0.2650564908981323,0.3849089443683624,0.4006554186344147,0.18672481179237366
even,0.40872135758399963,0.36563482880592346,0.46467068791389465,0.19190379977226257,0.29498016834259033,0.2649531960487366,0.30082517862319946
when,0.4700249433517456,0.3786315619945526,0.5423505902290344,0.24517115950584412,0.24681223928928375,0.25344929099082947,0.22841128706932068
turned,0.22427117824554443,0.27112874388694763,0.33177903294563293,0.21956396102905273,0.2029571682214737,0.17759910225868225,0.130948007106781
off,0.2350364625453949,0.21247008442878723,0.3533020317554474,0.17300821840763092,0.1899886578321457,0.2030729204416275,0.12937544286251068
.,0.3567904531955719,0.29012542963027954,0.4645031690597534,0.2155875414609909,0.2497042715549469,0.2254311442375183,0.4130953550338745
