,how,many,members,in,the,seats,of,the,scottish,parliament,are,members,of,the,scottish,government,?
of,0.2480744868516922,0.37253960967063904,0.28120753169059753,0.5696388483047485,0.733189046382904,0.22482673823833466,1.0,0.733189046382904,0.1698460429906845,0.2885259687900543,0.39081433415412903,0.28120753169059753,1.0,0.733189046382904,0.1698460429906845,0.3475167155265808,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.3321719169616699,0.6662389636039734,1.0,0.25880131125450134,0.733189046382904,1.0,0.21724988520145416,0.26521381735801697,0.40399202704429626,0.3321719169616699,0.733189046382904,1.0,0.21724988520145416,0.31798112392425537,0.22068053483963013
total,0.22199897468090057,0.2912171483039856,0.1577247828245163,0.27667245268821716,0.27068960666656494,0.2837938368320465,0.29045331478118896,0.27068960666656494,0.08443612605333328,0.13114523887634277,0.2363838106393814,0.1577247828245163,0.29045331478118896,0.27068960666656494,0.08443612605333328,0.17691189050674438,0.14396025240421295
131,-0.04597507044672966,-0.0502435564994812,0.04957488179206848,-0.0012994795106351376,-0.0037643564864993095,-0.06810848414897919,-0.025357376784086227,-0.0037643564864993095,-0.024578548967838287,0.01721266284584999,-0.06550442427396774,0.04957488179206848,-0.025357376784086227,-0.0037643564864993095,-0.024578548967838287,0.06678709387779236,0.040556471794843674
seats,0.08405140787363052,0.1988271325826645,0.3095977008342743,0.26510122418403625,0.25880131125450134,1.0,0.22482673823833466,0.25880131125450134,0.2863382399082184,0.45153921842575073,0.1952616572380066,0.3095977008342743,0.22482673823833466,0.25880131125450134,0.2863382399082184,0.29626014828681946,0.10678832978010178
",",0.22659391164779663,0.40610817074775696,0.2357054501771927,0.5201468467712402,0.4933079481124878,0.22755272686481476,0.4946078956127167,0.4933079481124878,0.21369139850139618,0.25442883372306824,0.4062570035457611,0.2357054501771927,0.4946078956127167,0.4933079481124878,0.21369139850139618,0.27344048023223877,0.31091248989105225
129,0.1822912096977234,0.09343571960926056,0.06723001599311829,0.08242025226354599,0.13178378343582153,0.1906653344631195,0.05058608949184418,0.13178378343582153,0.07806962728500366,0.053814344108104706,0.11071382462978363,0.06723001599311829,0.05058608949184418,0.13178378343582153,0.07806962728500366,-0.01918259635567665,0.16383802890777588
are,0.311818927526474,0.5655534863471985,0.31528955698013306,0.3841303884983063,0.40399202704429626,0.1952616572380066,0.39081433415412903,0.40399202704429626,0.15686963498592377,0.09480422735214233,1.0,0.31528955698013306,0.39081433415412903,0.40399202704429626,0.15686963498592377,0.20126859843730927,0.24591213464736938
occupied,0.07381170988082886,0.15824605524539948,0.15041807293891907,0.30793076753616333,0.3288927674293518,0.16859030723571777,0.3310187757015228,0.3288927674293518,0.12989699840545654,0.2502870261669159,0.15952327847480774,0.15041807293891907,0.3310187757015228,0.3288927674293518,0.12989699840545654,0.3037920892238617,0.11679025739431381
by,0.34370526671409607,0.3409687578678131,0.24919851124286652,0.370934396982193,0.4408751428127289,0.15212112665176392,0.3646814823150635,0.4408751428127289,0.1562303602695465,0.1523929238319397,0.37842893600463867,0.24919851124286652,0.3646814823150635,0.4408751428127289,0.1562303602695465,0.24235671758651733,0.17966607213020325
