,reports,document,that,how,many,parisien,protestants,were,killed,by,september,17,?
by,0.24489706754684448,0.1351308822631836,0.37496164441108704,0.34370526671409607,0.3409687578678131,0.19164492189884186,0.19680365920066833,0.4406847059726715,0.27886173129081726,1.0000001192092896,0.20146453380584717,0.13851910829544067,0.17966607213020325
17,0.14308346807956696,0.22602233290672302,0.06265442073345184,0.11148978024721146,0.08628290146589279,0.4875156581401825,0.1760115772485733,0.15060774981975555,0.09832599759101868,0.13851910829544067,0.1330324411392212,1.0,0.17603135108947754
september,0.19667543470859528,0.11504052579402924,0.1891760379076004,0.16430224478244781,0.12516498565673828,0.14244544506072998,0.17612862586975098,0.19778019189834595,0.2231886237859726,0.20146453380584717,1.0,0.1330324411392212,0.2665146589279175
",",0.2661382555961609,0.1716068834066391,0.4137537479400635,0.22659391164779663,0.40610817074775696,0.21445368230342865,0.2839384078979492,0.36755475401878357,0.3006497025489807,0.3680937886238098,0.4139758348464966,0.1536172777414322,0.31091248989105225
almost,0.2328503429889679,0.1321895718574524,0.394830584526062,0.23828135430812836,0.43739303946495056,0.09258144348859787,0.18037807941436768,0.3111434280872345,0.21269232034683228,0.2574256360530853,0.1003928855061531,0.0370124913752079,0.1372147500514984
"25,000",0.10305097699165344,0.018478088080883026,0.08283742517232895,0.08647002279758453,0.06723996251821518,0.09906715154647827,0.0007077011978253722,0.051943834871053696,0.16230826079845428,0.07386600971221924,0.10128181427717209,-0.07278148829936981,0.07426934689283371
protestants,0.1873738169670105,0.16084836423397064,0.2919386923313141,0.18276342749595642,0.2771928310394287,0.30689769983291626,1.0,0.3589687943458557,0.25077757239341736,0.19680365920066833,0.17612862586975098,0.1760115772485733,0.15855816006660461
had,0.2955993115901947,0.09650728106498718,0.4407361149787903,0.2549138069152832,0.40130746364593506,0.208067387342453,0.26508888602256775,0.6150832772254944,0.3317640721797943,0.37294110655784607,0.263927698135376,0.11685442179441452,0.20728366076946259
been,0.3315028250217438,0.17516428232192993,0.4152003228664398,0.26456597447395325,0.4963826537132263,0.14389623701572418,0.18220116198062897,0.5062422156333923,0.20501931011676788,0.39107078313827515,0.20358696579933167,0.12570488452911377,0.24354910850524902
massacred,0.27407148480415344,0.22426240146160126,0.22255082428455353,0.1800301969051361,0.23683889210224152,0.19270481169223785,0.37041282653808594,0.3558975160121918,0.5164111852645874,0.23006677627563477,0.22022834420204163,0.12381026893854141,0.2184208482503891
in,0.2124374359846115,0.19825614988803864,0.435920387506485,0.2601168751716614,0.41474202275276184,0.288043349981308,0.26583972573280334,0.3815755248069763,0.1957504004240036,0.370934396982193,0.25402772426605225,0.10391845554113388,0.20430970191955566
paris,0.11089363694190979,0.14942128956317902,0.167008638381958,0.15204280614852905,0.20441709458827972,0.7067469358444214,0.2186899483203888,0.23229198157787323,0.17527250945568085,0.2026776522397995,0.21608558297157288,0.26099199056625366,0.1491217315196991
alone,0.1617887020111084,0.11342432349920273,0.3293258249759674,0.3223377764225006,0.25460565090179443,0.16935370862483978,0.2352147251367569,0.21870967745780945,0.21108630299568176,0.24745671451091766,0.12830379605293274,0.08198718726634979,0.25589054822921753
.,0.2803177535533905,0.2127149999141693,0.4460422694683075,0.3287222981452942,0.3974229395389557,0.23055292665958405,0.2648395001888275,0.3378238379955292,0.2666846215724945,0.3936232924461365,0.34760621190071106,0.1622714102268219,0.4130953550338745
