,what,is,an,examine,of,work,that,a,centrifugal,governor-equipped,steam,engine,was,n't,suitable,for,?
as,0.31749409437179565,0.43216490745544434,0.37218472361564636,0.2197408527135849,0.3886612355709076,0.32418152689933777,0.4735107421875,0.39550232887268066,0.24016247689723969,0.24325303733348846,0.20776431262493134,0.15144379436969757,0.3677520453929901,-0.08284513652324677,0.2647213041782379,0.44774648547172546,0.27043893933296204
a,0.3320399522781372,0.658733606338501,0.44552403688430786,0.2953856885433197,0.5052502155303955,0.266241192817688,0.47537946701049805,1.0,0.3234909772872925,0.2126612663269043,0.2141898274421692,0.24768835306167603,0.4508470594882965,0.013574101030826569,0.2824271619319916,0.44038116931915283,0.23916715383529663
consequence,0.29853200912475586,0.2356904149055481,0.18098583817481995,0.2298981100320816,0.27524054050445557,0.2228333055973053,0.36798375844955444,0.3103489279747009,0.31247544288635254,0.18054655194282532,0.16256164014339447,0.1635734885931015,0.20833304524421692,-0.06378863006830215,0.21982495486736298,0.28358036279678345,0.196389839053154
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.18642987310886383,0.4946078956127167,0.3283594250679016,0.4137537479400635,0.427140474319458,0.20244556665420532,0.27795153856277466,0.2264556586742401,0.19789794087409973,0.45456063747406006,0.11016341298818588,0.25451523065567017,0.4464869201183319,0.31091248989105225
engines,0.1634974628686905,0.1648903638124466,0.1675238460302353,0.11169076710939407,0.17593856155872345,0.17184539139270782,0.26305148005485535,0.20574161410331726,0.39738938212394714,0.3355560898780823,0.4903687536716461,0.8767010569572449,0.18948708474636078,-0.11488530039787292,0.19338101148605347,0.19945158064365387,0.18940703570842743
equipped,0.21546252071857452,0.11629356443881989,0.14948318898677826,0.1773345023393631,0.17041373252868652,0.29773783683776855,0.28017953038215637,0.1901039332151413,0.3028259575366974,0.6644262671470642,0.2824662923812866,0.3226909935474396,0.21764908730983734,-0.1327020674943924,0.3184668719768524,0.24870316684246063,0.1901935189962387
only,0.41415658593177795,0.44708555936813354,0.28787028789520264,0.2086286097764969,0.49632513523101807,0.2709178626537323,0.6004067063331604,0.47549712657928467,0.2744351029396057,0.28040608763694763,0.20614340901374817,0.16929852962493896,0.36249664425849915,-0.1485416442155838,0.3200981616973877,0.49157920479774475,0.2767370045185089
with,0.2464839518070221,0.3250955045223236,0.2730048894882202,0.2324163019657135,0.41827285289764404,0.2649822533130646,0.4154358208179474,0.3783375024795532,0.174117311835289,0.18898946046829224,0.21801024675369263,0.1990211457014084,0.27411898970603943,-0.11462879180908203,0.2797710597515106,0.39140474796295166,0.2433311939239502
this,0.5489566326141357,0.480927973985672,0.41881775856018066,0.29479604959487915,0.45148900151252747,0.4280385971069336,0.6909449696540833,0.5422310829162598,0.3772251605987549,0.23837511241436005,0.22001534700393677,0.25393304228782654,0.3638818562030792,-0.11459717154502869,0.3642524480819702,0.5082864165306091,0.3155723512172699
governor,0.21184112131595612,0.11671670526266098,0.14023937284946442,0.12461911141872406,0.19877229630947113,0.09608889371156693,0.13196201622486115,0.1417548954486847,0.1728789061307907,0.785647988319397,0.1421302706003189,0.19372975826263428,0.25802454352378845,0.06420458853244781,0.09995107352733612,0.1262635439634323,0.135940283536911
were,0.22298263013362885,0.29386836290359497,0.08893381804227829,0.20020680129528046,0.34038281440734863,0.23814889788627625,0.35517072677612305,0.17203083634376526,0.16768670082092285,0.3017783761024475,0.20219570398330688,0.164800226688385,0.590133786201477,-0.12209131568670273,0.16655448079109192,0.33592689037323,0.17890112102031708
