,whose,needs,will,the,growth,in,pharmacy,informatics,meet,?
as,0.3202406167984009,0.27244406938552856,0.3047071695327759,0.48381632566452026,0.2124733328819275,0.3887844979763031,0.16661235690116882,0.221528559923172,0.23452028632164001,0.27043893933296204
a,0.3225097060203552,0.34144335985183716,0.3401327431201935,0.5829201340675354,0.21544985473155975,0.539380669593811,0.21975059807300568,0.264106810092926,0.14505931735038757,0.23916715383529663
practice,0.18356169760227203,0.285861074924469,0.21334341168403625,0.27333036065101624,0.22506898641586304,0.24572531878948212,0.2685104310512543,0.22705908119678497,0.21182191371917725,0.21386858820915222
area,0.1808282881975174,0.16183629631996155,0.14508239924907684,0.37834644317626953,0.23818586766719818,0.33632898330688477,0.16428029537200928,0.16940705478191376,0.18591198325157166,0.12640461325645447
and,0.3339773118495941,0.305831640958786,0.35983073711395264,0.5171257257461548,0.2731747627258301,0.4954058527946472,0.21655313670635223,0.23827087879180908,0.31950852274894714,0.20544172823429108
specialist,0.20331090688705444,0.2651956379413605,0.18436890840530396,0.20889033377170563,0.16825182735919952,0.18930992484092712,0.3110229969024658,0.35033854842185974,0.07729443162679672,0.17958256602287292
domain,0.17531195282936096,0.20078420639038086,0.1828887164592743,0.22479304671287537,0.14193864166736603,0.14346948266029358,0.22085489332675934,0.2585139274597168,0.11351250857114792,0.25835999846458435
",",0.25601375102996826,0.2390357255935669,0.29706671833992004,0.4933079481124878,0.2218456119298935,0.5201468467712402,0.19815339148044586,0.2842709422111511,0.31995680928230286,0.31091248989105225
pharmacy,0.06739754974842072,0.22616730630397797,0.15018576383590698,0.1938311904668808,0.157768115401268,0.22082467377185822,1.0,0.3000932037830353,0.174757719039917,0.1355620175600052
informatics,0.14439551532268524,0.32704779505729675,0.2283124476671219,0.26985713839530945,0.20277634263038635,0.20717638731002808,0.3000932037830353,1.0,0.11772787570953369,0.1964966356754303
is,0.26491984724998474,0.36612293124198914,0.3723262846469879,0.5823672413825989,0.2256266176700592,0.5394441485404968,0.16101746261119843,0.21109527349472046,0.21618524193763733,0.22961433231830597
growing,0.17357033491134644,0.19711682200431824,0.22306498885154724,0.33280637860298157,0.6478241682052612,0.33161869645118713,0.17679202556610107,0.11860783398151398,0.19516471028327942,0.10178618133068085
quickly,0.20078782737255096,0.30045104026794434,0.36414891481399536,0.30366459488868713,0.22852464020252228,0.24151866137981415,0.14886197447776794,0.1537899374961853,0.15989254415035248,0.18131443858146667
to,0.320825457572937,0.3999912142753601,0.5091033577919006,0.535392165184021,0.2701800763607025,0.45010748505592346,0.1824638396501541,0.2654985785484314,0.3202740550041199,0.29463258385658264
meet,0.15407969057559967,0.2871045768260956,0.23005405068397522,0.312436044216156,0.13852067291736603,0.21700093150138855,0.174757719039917,0.11772787570953369,0.9999998807907104,0.1658235788345337
the,0.38253846764564514,0.24302323162555695,0.3635469079017639,1.0,0.2912366986274719,0.6662389636039734,0.1938311904668808,0.26985713839530945,0.312436044216156,0.22068053483963013
