,what,is,set,aside,for,question,periods,in,the,debating,chamber,?
parliamentary,0.23120512068271637,0.1731702983379364,0.1959429383277893,0.10657893121242523,0.242863729596138,0.26701846718788147,0.15516391396522522,0.2472391128540039,0.2708897888660431,0.3573424220085144,0.2519800662994385,0.1612216979265213
time,0.36319252848625183,0.25187405943870544,0.258029967546463,0.3076646625995636,0.3992156386375427,0.28554263710975647,0.4912866950035095,0.3431483507156372,0.43061500787734985,0.34717485308647156,0.1584310531616211,0.27391523122787476
is,0.28837618231773376,1.0,0.21148966252803802,0.28022003173828125,0.43268078565597534,0.2606692314147949,0.16641093790531158,0.5394441485404968,0.5823672413825989,0.23703689873218536,0.18098223209381104,0.22961433231830597
also,0.42747777700424194,0.5012649297714233,0.2369106262922287,0.37326154112815857,0.5373267531394958,0.233859583735466,0.2829497158527374,0.5073733329772949,0.6021018624305725,0.3117060363292694,0.2452014833688736,0.21848613023757935
set,0.28954121470451355,0.21148966252803802,1.0000001192092896,0.28092122077941895,0.30194196105003357,0.17919738590717316,0.15310318768024445,0.2663729190826416,0.2927955985069275,0.19610822200775146,0.22438167035579681,0.1698019951581955
aside,0.3208533823490143,0.28022003173828125,0.28092122077941895,1.0,0.41318121552467346,0.3205115795135498,0.16337370872497559,0.2715734839439392,0.3075125813484192,0.30802619457244873,0.10775011777877808,0.27202221751213074
for,0.3017193675041199,0.43268078565597534,0.30194196105003357,0.41318121552467346,0.9999999403953552,0.28556302189826965,0.289463609457016,0.4322226941585541,0.4739971458911896,0.37123721837997437,0.2533634305000305,0.264628142118454
question,0.5285786390304565,0.2606692314147949,0.17919738590717316,0.3205115795135498,0.28556302189826965,1.0,0.16225981712341309,0.207119882106781,0.28031662106513977,0.42822155356407166,0.1458999216556549,0.48000848293304443
periods,0.21756020188331604,0.16641093790531158,0.15310318768024445,0.16337370872497559,0.289463609457016,0.16225981712341309,1.0000001192092896,0.19927051663398743,0.27702534198760986,0.23340046405792236,0.1582881212234497,0.167264923453331
in,0.30808621644973755,0.5394441485404968,0.2663729190826416,0.2715734839439392,0.4322226941585541,0.207119882106781,0.19927051663398743,1.0,0.6662389636039734,0.30045655369758606,0.18419700860977173,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.2927955985069275,0.3075125813484192,0.4739971458911896,0.28031662106513977,0.27702534198760986,0.6662389636039734,1.0,0.36207282543182373,0.2594704031944275,0.22068053483963013
debating,0.3670699894428253,0.23703689873218536,0.19610822200775146,0.30802619457244873,0.37123721837997437,0.42822155356407166,0.23340046405792236,0.30045655369758606,0.36207282543182373,1.0000001192092896,0.17590181529521942,0.25251495838165283
chamber,0.1224752739071846,0.18098223209381104,0.22438167035579681,0.10775011777877808,0.2533634305000305,0.1458999216556549,0.1582881212234497,0.18419700860977173,0.2594704031944275,0.17590181529521942,1.0,0.04307165369391441
.,0.3567904531955719,0.4569662809371948,0.2928885817527771,0.27241116762161255,0.4726039469242096,0.2639329135417938,0.21147440373897552,0.5591574311256409,0.5934505462646484,0.33765700459480286,0.1907585710287094,0.4130953550338745
