,other,than,the,san,diego,metropolitan,area,",",what,other,area,are,the,communities,along,interstates,15,and,215,connected,with,?
the,0.44152235984802246,0.3227543234825134,1.0,0.2858080565929413,0.20885010063648224,0.24378018081188202,0.37834644317626953,0.4933079481124878,0.42745697498321533,0.44152235984802246,0.37834644317626953,0.40399202704429626,1.0,0.24729211628437042,0.39495137333869934,0.25118377804756165,-0.011810222640633583,0.5171257257461548,-0.03287012502551079,0.31369513273239136,0.4223487675189972,0.22068053483963013
cities,0.27904778718948364,0.1976093351840973,0.2621172070503235,0.18862101435661316,0.11042279750108719,0.3936255872249603,0.3176760673522949,0.31927579641342163,0.161918506026268,0.27904778718948364,0.3176760673522949,0.26694464683532715,0.2621172070503235,0.5111700296401978,0.18443426489830017,0.3688583970069885,0.019450712949037552,0.292957067489624,0.014743856154382229,0.25198519229888916,0.22294199466705322,0.13339310884475708
and,0.5504306554794312,0.39361441135406494,0.5171257257461548,0.23541347682476044,0.2412230372428894,0.19939453899860382,0.3044000566005707,0.6633074283599854,0.31309178471565247,0.5504306554794312,0.3044000566005707,0.48576638102531433,0.5171257257461548,0.2877669930458069,0.4213258922100067,0.20106500387191772,0.031420208513736725,1.0,0.02378644235432148,0.2646467387676239,0.5477725267410278,0.20544172823429108
communities,0.3363402783870697,0.22871926426887512,0.24729211628437042,0.17548346519470215,0.1855475902557373,0.22995100915431976,0.2974197268486023,0.2743113040924072,0.22858412563800812,0.3363402783870697,0.2974197268486023,0.32897651195526123,0.24729211628437042,1.0,0.18132072687149048,0.34291109442710876,-0.04657053202390671,0.2877669930458069,-0.009085221216082573,0.21076186001300812,0.1854606419801712,0.20171424746513367
along,0.3091159760951996,0.20039285719394684,0.39495137333869934,0.19343438744544983,0.11924503743648529,0.1600872129201889,0.2586073875427246,0.29824912548065186,0.22421957552433014,0.3091159760951996,0.2586073875427246,0.28655800223350525,0.39495137333869934,0.18132072687149048,1.0,0.29490989446640015,0.038769617676734924,0.4213258922100067,0.038816869258880615,0.3853161036968231,0.47997185587882996,0.17134909331798553
interstate,0.16408897936344147,0.11435282975435257,0.21078766882419586,0.25289103388786316,0.20972932875156403,0.3301117420196533,0.32106316089630127,0.17179317772388458,0.2636648714542389,0.16408897936344147,0.32106316089630127,0.20745599269866943,0.21078766882419586,0.3198342025279999,0.2723066508769989,0.9637113809585571,-0.016549916937947273,0.16064485907554626,-0.004109116271138191,0.2872374951839447,0.18948839604854584,0.1831059604883194
15,-0.06302090734243393,-0.0893169417977333,-0.011810222640633583,0.052093375474214554,0.06946798413991928,-0.034099794924259186,-0.027839746326208115,-0.03563398867845535,-0.01077192835509777,-0.06302090734243393,-0.027839746326208115,-0.04930649325251579,-0.011810222640633583,-0.04657053202390671,0.038769617676734924,-0.029290055856108665,0.9999999403953552,0.031420208513736725,0.26591405272483826,-0.08333015441894531,0.03467172011733055,-0.010706285014748573
and,0.5504306554794312,0.39361441135406494,0.5171257257461548,0.23541347682476044,0.2412230372428894,0.19939453899860382,0.3044000566005707,0.6633074283599854,0.31309178471565247,0.5504306554794312,0.3044000566005707,0.48576638102531433,0.5171257257461548,0.2877669930458069,0.4213258922100067,0.20106500387191772,0.031420208513736725,1.0,0.02378644235432148,0.2646467387676239,0.5477725267410278,0.20544172823429108
interstate,0.16408897936344147,0.11435282975435257,0.21078766882419586,0.25289103388786316,0.20972932875156403,0.3301117420196533,0.32106316089630127,0.17179317772388458,0.2636648714542389,0.16408897936344147,0.32106316089630127,0.20745599269866943,0.21078766882419586,0.3198342025279999,0.2723066508769989,0.9637113809585571,-0.016549916937947273,0.16064485907554626,-0.004109116271138191,0.2872374951839447,0.18948839604854584,0.1831059604883194
215,-0.06000232696533203,-0.022336257621645927,-0.03287012502551079,0.04856359586119652,0.05158015340566635,-0.037290189415216446,0.04634306579828262,-0.012333507649600506,0.0584978312253952,-0.06000232696533203,0.04634306579828262,-0.02420545183122158,-0.03287012502551079,-0.009085221216082573,0.038816869258880615,0.005923145450651646,0.26591405272483826,0.02378644235432148,0.9999999403953552,0.015184653922915459,0.07353461533784866,0.09714740514755249
are,0.5932393670082092,0.39206281304359436,0.40399202704429626,0.13921020925045013,0.16360539197921753,0.1675286591053009,0.25780194997787476,0.4062570035457611,0.29724663496017456,0.5932393670082092,0.25780194997787476,1.0,0.40399202704429626,0.32897651195526123,0.28655800223350525,0.2391880750656128,-0.04930649325251579,0.48576638102531433,-0.02420545183122158,0.33255407214164734,0.38996943831443787,0.24591213464736938
so,0.4251894950866699,0.45253628492355347,0.4296516180038452,0.10876446217298508,0.13801360130310059,0.14853930473327637,0.22817865014076233,0.3716299831867218,0.539469838142395,0.4251894950866699,0.22817865014076233,0.420413613319397,0.4296516180038452,0.21183551847934723,0.2453237920999527,0.21270163357257843,0.04007592797279358,0.4655851125717163,0.09845475852489471,0.2505025565624237,0.4189452826976776,0.43163934350013733
inter-related,0.4776647388935089,0.26001501083374023,0.3405560553073883,0.18041105568408966,0.17861776053905487,0.2161121517419815,0.2718195617198944,0.3216469883918762,0.29671117663383484,0.4776647388935089,0.2718195617198944,0.3953484296798706,0.3405560553073883,0.2901894450187683,0.24671179056167603,0.4018172025680542,-0.03136394917964935,0.3018687665462494,0.01974939927458763,0.41182494163513184,0.3704860508441925,0.23774617910385132
that,0.5570666193962097,0.4891277849674225,0.5473989248275757,0.19199305772781372,0.20866996049880981,0.16123276948928833,0.2566552460193634,0.4137537479400635,0.6297725439071655,0.5570666193962097,0.2566552460193634,0.45265161991119385,0.5473989248275757,0.25110986828804016,0.2850594222545624,0.2771506905555725,-0.06895352154970169,0.4731321930885315,0.02504352666437626,0.29687508940696716,0.4154358208179474,0.32716336846351624
temecula,0.23554779589176178,0.18958529829978943,0.325697124004364,0.38045239448547363,0.3493920564651489,0.31352323293685913,0.3552471995353699,0.39564263820648193,0.2469785362482071,0.23554779589176178,0.3552471995353699,0.20186075568199158,0.325697124004364,0.2895124554634094,0.2570737302303314,0.2859109044075012,-0.008733532391488552,0.32078397274017334,-0.03068910725414753,0.21683591604232788,0.1564551293849945,0.1982404589653015
and,0.5504306554794312,0.39361441135406494,0.5171257257461548,0.23541347682476044,0.2412230372428894,0.19939453899860382,0.3044000566005707,0.6633074283599854,0.31309178471565247,0.5504306554794312,0.3044000566005707,0.48576638102531433,0.5171257257461548,0.2877669930458069,0.4213258922100067,0.20106500387191772,0.031420208513736725,1.0,0.02378644235432148,0.2646467387676239,0.5477725267410278,0.20544172823429108
murrieta,0.12299074232578278,0.08470343798398972,0.28894299268722534,0.36437729001045227,0.35716599225997925,0.18044090270996094,0.24152874946594238,0.3174912631511688,0.14946185052394867,0.12299074232578278,0.24152874946594238,0.14080403745174408,0.28894299268722534,0.26831522583961487,0.1987290233373642,0.19542862474918365,0.009298288263380527,0.31918999552726746,-0.01822848990559578,0.1218070536851883,0.15623126924037933,0.158473402261734
have,0.559082567691803,0.46517109870910645,0.40389683842658997,0.1570361703634262,0.13668768107891083,0.1485944390296936,0.26105478405952454,0.3541618287563324,0.39808809757232666,0.559082567691803,0.26105478405952454,0.6577680706977844,0.40389683842658997,0.29252368211746216,0.2685122489929199,0.19075994193553925,0.0053451950661838055,0.4711785912513733,0.022387491539120674,0.25855332612991333,0.48046383261680603,0.32991164922714233
as,0.42805421352386475,0.40532299876213074,0.48381632566452026,0.1967049092054367,0.17728382349014282,0.17416566610336304,0.2407972663640976,0.48816442489624023,0.31749409437179565,0.42805421352386475,0.2407972663640976,0.3826591968536377,0.48381632566452026,0.218340665102005,0.31813573837280273,0.18978554010391235,-0.03221907466650009,0.49487000703811646,-0.052438944578170776,0.12269873917102814,0.40387406945228577,0.27043893933296204
much,0.3761230409145355,0.632695198059082,0.35023224353790283,0.0992736965417862,0.13184897601604462,0.16454744338989258,0.23905497789382935,0.36182254552841187,0.45316147804260254,0.3761230409145355,0.23905497789382935,0.2937524914741516,0.35023224353790283,0.24686338007450104,0.23069867491722107,0.18218497931957245,-0.05761924758553505,0.38395699858665466,-0.0025304481387138367,0.17655658721923828,0.2808258831501007,0.23442231118679047
connection,0.3233198821544647,0.23261548578739166,0.29966840147972107,0.08652598410844803,0.08929651975631714,0.14966242015361786,0.19046850502490997,0.2535572052001953,0.24457211792469025,0.3233198821544647,0.19046850502490997,0.260875940322876,0.29966840147972107,0.19047123193740845,0.29918399453163147,0.2864452004432678,-0.012767920270562172,0.30564460158348083,0.04314457252621651,0.7178148627281189,0.27898329496383667,0.1714525669813156
with,0.44086363911628723,0.3028803765773773,0.4223487675189972,0.20429159700870514,0.1760377287864685,0.1766650676727295,0.2303420901298523,0.4120737314224243,0.2464839518070221,0.44086363911628723,0.2303420901298523,0.38996943831443787,0.4223487675189972,0.1854606419801712,0.47997185587882996,0.22086603939533234,0.03467172011733055,0.5477725267410278,0.07353461533784866,0.28264787793159485,0.9999999403953552,0.2433311939239502
