,when,was,the,french,and,indian,war,?
the,0.5091903209686279,0.48711544275283813,1.0,0.2555147111415863,0.5171257257461548,0.23407642543315887,0.366199791431427,0.22068053483963013
french,0.18820616602897644,0.2523815333843231,0.2555147111415863,1.0000001192092896,0.32751965522766113,0.32775163650512695,0.2536753714084625,0.1386883556842804
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.32751965522766113,1.0,0.24078236520290375,0.29695844650268555,0.20544172823429108
indian,0.13138654828071594,0.23096419870853424,0.23407642543315887,0.32775163650512695,0.24078236520290375,1.0000001192092896,0.23471178114414215,0.09909533709287643
war,0.26339730620384216,0.3560331463813782,0.366199791431427,0.2536753714084625,0.29695844650268555,0.23471178114414215,1.0000001192092896,0.15510529279708862
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.19998501241207123,0.4862271547317505,0.15017758309841156,0.17743611335754395,0.40561532974243164
1754–1763,0.04009854048490524,-0.10900905728340149,-0.008457033894956112,0.04721943289041519,-0.027330739423632622,0.012632199563086033,-0.07030200958251953,0.19966386258602142
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.21857915818691254,0.4961937665939331,0.1789938360452652,0.183685764670372,0.42300865054130554
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.2523815333843231,0.3740963041782379,0.23096419870853424,0.3560331463813782,0.18412111699581146
the,0.5091903209686279,0.48711544275283813,1.0,0.2555147111415863,0.5171257257461548,0.23407642543315887,0.366199791431427,0.22068053483963013
north,0.21003669500350952,0.29020047187805176,0.36298373341560364,0.14223402738571167,0.2776443064212799,0.19197654724121094,0.2980347275733948,0.11829731613397598
american,0.19090662896633148,0.31632548570632935,0.24562937021255493,0.3777676820755005,0.32290002703666687,0.2832375168800354,0.2592540383338928,0.18877598643302917
theater,0.19571197032928467,0.3185870051383972,0.2354130744934082,0.18879812955856323,0.28268396854400635,0.19318142533302307,0.33020803332328796,0.12811817228794098
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.19450366497039795,0.5116966962814331,0.24303589761257172,0.31680163741111755,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.2555147111415863,0.5171257257461548,0.23407642543315887,0.366199791431427,0.22068053483963013
worldwide,0.19179211556911469,0.26323333382606506,0.2698158025741577,0.14652284979820251,0.2840973734855652,0.1922253519296646,0.20008815824985504,0.2253960371017456
seven,0.1915208101272583,0.28194957971572876,0.28151169419288635,0.16133227944374084,0.26877880096435547,0.12965519726276398,0.19957704842090607,0.1732930988073349
years,0.3409145474433899,0.35855233669281006,0.2912273406982422,0.17051009833812714,0.300204873085022,0.1961277425289154,0.3038960099220276,0.1914375126361847
',0.2558356821537018,0.33675912022590637,0.474788099527359,0.15956202149391174,0.3053182065486908,0.1699446588754654,0.17949679493904114,0.330942302942276
war,0.26339730620384216,0.3560331463813782,0.366199791431427,0.2536753714084625,0.29695844650268555,0.23471178114414215,1.0000001192092896,0.15510529279708862
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.2480926215648651,0.588965117931366,0.2388933300971985,0.3000848889350891,0.4130953550338745
