,what,is,the,name,of,the,french,colony,established,in,1564,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.2555147111415863,0.2740810811519623,0.33092597126960754,0.6662389636039734,0.08015293627977371,0.22068053483963013
area,0.21965408325195312,0.29283958673477173,0.37834644317626953,0.205547034740448,0.3409860134124756,0.37834644317626953,0.09145350754261017,0.23641829192638397,0.2975812256336212,0.33632898330688477,0.04634137824177742,0.12640461325645447
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.2646567225456238,0.4069072902202606,0.48711544275283813,0.2523815333843231,0.25879696011543274,0.26515325903892517,0.45514053106307983,0.09030459821224213,0.18412111699581146
originally,0.2645323872566223,0.33268988132476807,0.36820849776268005,0.34010815620422363,0.21349623799324036,0.36820849776268005,0.21156787872314453,0.20819588005542755,0.27377650141716003,0.3191297650337219,0.053799282759428024,0.07821967452764511
inhabited,0.176266148686409,0.2244061976671219,0.2579440772533417,0.1892949640750885,0.2573133707046509,0.2579440772533417,0.13204921782016754,0.27618834376335144,0.30730023980140686,0.23996128141880035,0.09039020538330078,0.12792479991912842
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.25480157136917114,0.3646814823150635,0.4408751428127289,0.23343317210674286,0.13618241250514984,0.21138796210289001,0.370934396982193,0.05098943039774895,0.17966607213020325
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.2555147111415863,0.2740810811519623,0.33092597126960754,0.6662389636039734,0.08015293627977371,0.22068053483963013
timucua,0.29614773392677307,0.2214294970035553,0.3038891851902008,0.22657625377178192,0.26550596952438354,0.3038891851902008,0.19591087102890015,0.27725949883461,0.2061464786529541,0.27109494805336,0.002781570889055729,0.2524978220462799
people,0.32444337010383606,0.34254953265190125,0.36838498711586,0.14896078407764435,0.3251037895679474,0.36838498711586,0.16166198253631592,0.24670033156871796,0.15472428500652313,0.39605680108070374,-0.019832048565149307,0.23739641904830933
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.28806620836257935,0.23671650886535645,0.22739723324775696,0.5201468467712402,0.045321788638830185,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.32751965522766113,0.2406650185585022,0.2369968742132187,0.4954058527946472,-0.016552165150642395,0.20544172823429108
