,on,what,other,calendar,is,luther,commemorated,?
luther,0.19090485572814941,0.2134782373905182,0.18881922960281372,0.17284812033176422,0.08282390236854553,1.0,0.18452680110931396,0.1732746809720993
is,0.3635730445384979,0.28837618231773376,0.25895947217941284,0.139500692486763,1.0,0.08282390236854553,0.21623633801937103,0.22961433231830597
honoured,0.15840548276901245,0.1491292268037796,0.17294786870479584,0.10398881137371063,0.16460749506950378,0.14708547294139862,0.500167191028595,0.1648205667734146
on,0.9999999403953552,0.34226128458976746,0.3410046398639679,0.17993581295013428,0.3635730445384979,0.19090485572814941,0.231469988822937,0.2714994251728058
18,-0.049966923892498016,-0.09284763038158417,-0.016015471890568733,-0.02918403595685959,-0.09313851594924927,-0.04762841388583183,-0.0063344379886984825,-0.04919438064098358
february,0.35595810413360596,0.1913013905286789,0.14564256370067596,0.21768608689308167,0.26240548491477966,0.14333194494247437,0.18956151604652405,0.29594847559928894
with,0.40749499201774597,0.2464839518070221,0.44086363911628723,0.11598208546638489,0.3250955045223236,0.14705438911914825,0.19698651134967804,0.2433311939239502
a,0.3848365545272827,0.3320399522781372,0.2806335389614105,0.15025916695594788,0.658733606338501,0.17967689037322998,0.25768357515335083,0.23916715383529663
commemoration,0.24193865060806274,0.10865539312362671,0.13765926659107208,0.2678408622741699,0.23465217649936676,0.19586488604545593,0.9075583815574646,0.13165631890296936
in,0.46853652596473694,0.30808621644973755,0.39989137649536133,0.16943912208080292,0.5394441485404968,0.20523880422115326,0.35010388493537903,0.20430970191955566
the,0.5107308030128479,0.42745697498321533,0.44152235984802246,0.21427585184574127,0.5823672413825989,0.1759674996137619,0.32209500670433044,0.22068053483963013
lutheran,0.1415858417749405,0.195865198969841,0.18223394453525543,0.25077107548713684,0.1802605539560318,0.7014965415000916,0.22939787805080414,0.1752520203590393
calendar,0.17993581295013428,0.17026786506175995,0.1383744329214096,1.0,0.139500692486763,0.17284812033176422,0.24385449290275574,0.16766934096813202
of,0.3966929316520691,0.33290785551071167,0.38583824038505554,0.15737932920455933,0.4854315221309662,0.1719115972518921,0.3065877854824066,0.1826142966747284
saints,0.17417308688163757,0.20729289948940277,0.18775126338005066,0.23865829408168793,0.23882900178432465,0.17173054814338684,0.2930314242839813,0.1782425343990326
and,0.4077630043029785,0.31309178471565247,0.5504306554794312,0.12926454842090607,0.3859752118587494,0.20796556770801544,0.16969160735607147,0.20544172823429108
in,0.46853652596473694,0.30808621644973755,0.39989137649536133,0.16943912208080292,0.5394441485404968,0.20523880422115326,0.35010388493537903,0.20430970191955566
the,0.5107308030128479,0.42745697498321533,0.44152235984802246,0.21427585184574127,0.5823672413825989,0.1759674996137619,0.32209500670433044,0.22068053483963013
episcopal,0.20088334381580353,0.2335733026266098,0.16081449389457703,0.21982607245445251,0.16667838394641876,0.36606520414352417,0.3027815520763397,0.22619661688804626
(,0.28656116127967834,0.2411840260028839,0.25035592913627625,0.16621100902557373,0.35393038392066956,0.1677781045436859,0.1642160713672638,0.40561532974243164
united,0.2703288793563843,0.20036718249320984,0.2444620579481125,0.11518239229917526,0.22408509254455566,0.24038049578666687,0.28554072976112366,0.17266890406608582
states,0.2692825198173523,0.21526020765304565,0.28788650035858154,0.15651388466358185,0.21939043700695038,0.24556468427181244,0.24501106142997742,0.16272737085819244
),0.29937487840652466,0.26259949803352356,0.26200005412101746,0.17540256679058075,0.37732169032096863,0.18587662279605865,0.16536593437194824,0.42300865054130554
calendar,0.17993581295013428,0.17026786506175995,0.1383744329214096,1.0,0.139500692486763,0.17284812033176422,0.24385449290275574,0.16766934096813202
of,0.3966929316520691,0.33290785551071167,0.38583824038505554,0.15737932920455933,0.4854315221309662,0.1719115972518921,0.3065877854824066,0.1826142966747284
saints,0.17417308688163757,0.20729289948940277,0.18775126338005066,0.23865829408168793,0.23882900178432465,0.17173054814338684,0.2930314242839813,0.1782425343990326
.,0.49257001280784607,0.3567904531955719,0.41511186957359314,0.16474001109600067,0.4569662809371948,0.24907569587230682,0.21241223812103271,0.4130953550338745
