,who,created,an,index,of,health,and,social,problems,?
creating,0.27748748660087585,0.6210598349571228,0.23927567899227142,0.26850971579551697,0.29262492060661316,0.18732766807079315,0.36289316415786743,0.20815104246139526,0.22791732847690582,0.2842518985271454
an,0.2848317325115204,0.2484116554260254,1.0,0.14160682260990143,0.32280945777893066,0.1369510293006897,0.2838519215583801,0.1521279513835907,0.1804785281419754,0.19793890416622162
index,0.06826677173376083,0.14358417689800262,0.14160682260990143,0.9999999403953552,0.20335990190505981,0.18732501566410065,0.14331957697868347,0.18474674224853516,0.22013337910175323,0.2477751076221466
of,0.2827862501144409,0.32043445110321045,0.32280945777893066,0.20335990190505981,1.0,0.28076469898223877,0.5116966962814331,0.2605111300945282,0.2450421154499054,0.1826142966747284
``,0.02397952415049076,3.665990152512677e-05,0.03770720958709717,0.04732042923569679,0.06780257821083069,0.003065527183935046,0.036644238978624344,0.0685405433177948,0.07921574264764786,0.0685480609536171
health,0.2314521074295044,0.16902728378772736,0.1369510293006897,0.18732501566410065,0.28076469898223877,1.0000001192092896,0.3215619623661041,0.3956437110900879,0.40322181582450867,0.16094304621219635
and,0.41279885172843933,0.2873832881450653,0.2838519215583801,0.14331957697868347,0.5116966962814331,0.3215619623661041,1.0,0.38231831789016724,0.285793662071228,0.20544172823429108
social,0.26409217715263367,0.20306432247161865,0.1521279513835907,0.18474674224853516,0.2605111300945282,0.3956437110900879,0.38231831789016724,1.0,0.24665296077728271,0.1615191102027893
problems,0.25277501344680786,0.18162955343723297,0.1804785281419754,0.22013337910175323,0.2450421154499054,0.40322181582450867,0.285793662071228,0.24665296077728271,1.0,0.2638136148452759
'',0.024401003494858742,-0.004385723266750574,0.09471100568771362,0.03639587014913559,0.13035868108272552,-0.002438992029055953,0.021612688899040222,0.01732291281223297,0.003717846004292369,0.018684765323996544
from,0.27839982509613037,0.18235871195793152,0.20876385271549225,0.11508692800998688,0.4249346852302551,0.17037683725357056,0.3601827025413513,0.16684982180595398,0.21618343889713287,0.19969791173934937
nine,0.20492319762706757,0.2568657696247101,0.19709768891334534,0.1348150372505188,0.29486238956451416,0.1968674212694168,0.3451005816459656,0.09882020950317383,0.15628787875175476,0.13964155316352844
factors,0.19667354226112366,0.08307711035013199,0.17689111828804016,0.24891114234924316,0.30045145750045776,0.3263867497444153,0.2477942556142807,0.23937837779521942,0.43909165263175964,0.2019491046667099
",",0.3365725874900818,0.2755771577358246,0.3581022024154663,0.15702199935913086,0.4946078956127167,0.2331448197364807,0.6633074283599854,0.2674078345298767,0.2596952021121979,0.31091248989105225
authors,0.20428071916103363,0.22278667986392975,0.11697263270616531,0.21760879456996918,0.19112128019332886,0.1403706669807434,0.2311880737543106,0.14100231230258942,0.1349322348833084,0.19121912121772766
richard,0.27835920453071594,0.08293981105089188,0.1830136924982071,0.1282268613576889,0.2227524220943451,0.10134519636631012,0.22443673014640808,0.05272114649415016,0.09825029969215393,0.15003317594528198
wilkinson,0.25808584690093994,0.14591188728809357,0.1499437689781189,0.1763591319322586,0.21511130034923553,0.2323635369539261,0.32041966915130615,0.1871601790189743,0.1660344898700714,0.16808927059173584
and,0.41279885172843933,0.2873832881450653,0.2838519215583801,0.14331957697868347,0.5116966962814331,0.3215619623661041,1.0,0.38231831789016724,0.285793662071228,0.20544172823429108
kate,0.22197261452674866,0.08863659203052521,0.1493396759033203,0.08938439935445786,0.08729267120361328,0.09731198847293854,0.2076733410358429,0.1802108734846115,0.12195709347724915,0.13810789585113525
pickett,0.3146190047264099,0.11763843148946762,0.23779809474945068,0.06956920772790909,0.17273010313510895,0.1474691778421402,0.24974514544010162,0.10927283763885498,0.1314532458782196,0.19584017992019653
found,0.17055200040340424,0.21118323504924774,0.11655625700950623,0.13133768737316132,0.2982911467552185,0.16176854074001312,0.27978911995887756,0.17261944711208344,0.1616072952747345,0.16790300607681274
health,0.2314521074295044,0.16902728378772736,0.1369510293006897,0.18732501566410065,0.28076469898223877,1.0000001192092896,0.3215619623661041,0.3956437110900879,0.40322181582450867,0.16094304621219635
and,0.41279885172843933,0.2873832881450653,0.2838519215583801,0.14331957697868347,0.5116966962814331,0.3215619623661041,1.0,0.38231831789016724,0.285793662071228,0.20544172823429108
social,0.26409217715263367,0.20306432247161865,0.1521279513835907,0.18474674224853516,0.2605111300945282,0.3956437110900879,0.38231831789016724,1.0,0.24665296077728271,0.1615191102027893
