,how,many,balls,did,josh,norman,intercept,?
the,0.33890387415885925,0.4335206151008606,0.15505968034267426,0.34736719727516174,0.1496332734823227,0.23459704220294952,0.20747563242912292,0.22068053483963013
panthers,0.1117783859372139,0.14744015038013458,0.18164323270320892,0.189295694231987,0.23106279969215393,0.10085906088352203,0.246834859251976,0.16608978807926178
defense,0.14550013840198517,0.1536635160446167,0.14518843591213226,0.14361093938350677,0.14498712122440338,0.16704270243644714,0.39678943157196045,0.21935760974884033
gave,0.19802825152873993,0.21511444449424744,0.11314400285482407,0.4154756963253021,0.15358798205852509,0.20868611335754395,0.1407458335161209,0.1910865753889084
up,0.2819872200489044,0.2688518464565277,0.27016642689704895,0.21613863110542297,0.17463387548923492,0.17727531492710114,0.1641027331352234,0.1819818764925003
just,0.41178324818611145,0.3534678518772125,0.25732287764549255,0.38283270597457886,0.21282562613487244,0.15883398056030273,0.18950070440769196,0.4144178032875061
308,0.20550771057605743,0.3341686427593231,0.14547598361968994,0.11333061009645462,0.11177276074886322,0.074625164270401,0.1275186836719513,0.2011851817369461
points,0.22446410357952118,0.17477619647979736,0.3047243058681488,0.2069225311279297,0.11870106309652328,0.11772261559963226,0.35716480016708374,0.11006313562393188
",",0.22659391164779663,0.40610817074775696,0.22560124099254608,0.3015086054801941,0.21876341104507446,0.20281735062599182,0.1632789969444275,0.31091248989105225
ranking,0.21406538784503937,0.24067576229572296,0.13854070007801056,0.23125748336315155,0.05927126109600067,0.061310745775699615,0.12646564841270447,0.18589437007904053
sixth,0.08715979754924774,0.10471410304307938,0.08859048038721085,0.16302378475666046,0.17374639213085175,0.09928657859563828,0.11656250804662704,0.11620894819498062
in,0.2601168751716614,0.41474202275276184,0.19522187113761902,0.2593238651752472,0.0933758020401001,0.17613162100315094,0.13467800617218018,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.15505968034267426,0.34736719727516174,0.1496332734823227,0.23459704220294952,0.20747563242912292,0.22068053483963013
league,0.04579940438270569,0.15746146440505981,0.21953514218330383,0.17557655274868011,0.17330846190452576,0.11010332405567169,0.2658221125602722,0.15941482782363892
",",0.22659391164779663,0.40610817074775696,0.22560124099254608,0.3015086054801941,0.21876341104507446,0.20281735062599182,0.1632789969444275,0.31091248989105225
while,0.2918691337108612,0.3748262822628021,0.18624253571033478,0.3330625295639038,0.19883586466312408,0.18095026910305023,0.25125887989997864,0.21076419949531555
also,0.43506327271461487,0.6258217096328735,0.21777963638305664,0.39334940910339355,0.1811225861310959,0.18132078647613525,0.2015678733587265,0.21848613023757935
leading,0.18543758988380432,0.2955435812473297,0.21036963164806366,0.20311816036701202,0.04448511451482773,0.18946543335914612,0.2846675217151642,0.1360926628112793
the,0.33890387415885925,0.4335206151008606,0.15505968034267426,0.34736719727516174,0.1496332734823227,0.23459704220294952,0.20747563242912292,0.22068053483963013
nfl,0.09207417815923691,0.09887322783470154,0.21212875843048096,0.16524574160575867,0.2854801118373871,0.18743039667606354,0.3872133791446686,0.10610254108905792
in,0.2601168751716614,0.41474202275276184,0.19522187113761902,0.2593238651752472,0.0933758020401001,0.17613162100315094,0.13467800617218018,0.20430970191955566
interceptions,0.2084771692752838,0.21864065527915955,0.3101029098033905,0.21840861439704895,0.2938694655895233,0.17567777633666992,0.8758106827735901,0.10945115238428116
with,0.3525622487068176,0.35744401812553406,0.2273027002811432,0.25472134351730347,0.16061310470104218,0.18110549449920654,0.20805449783802032,0.2433311939239502
24,-0.016954585909843445,-0.047841135412454605,-0.03202717751264572,-0.04566230997443199,-0.015099362470209599,0.030772225931286812,0.0664404109120369,0.016154835000634193
and,0.33647966384887695,0.5296266674995422,0.24338111281394958,0.34479495882987976,0.21061235666275024,0.21611377596855164,0.2088622748851776,0.20544172823429108
boasting,0.3074793219566345,0.3160076439380646,0.18000051379203796,0.18090026080608368,0.17431806027889252,0.2143716663122177,0.14119583368301392,0.24996808171272278
four,0.1955733299255371,0.4139232039451599,0.2080172300338745,0.20222175121307373,0.11419110745191574,0.18943659961223602,0.14851608872413635,0.14532537758350372
pro,0.18713277578353882,0.13571034371852875,0.03167660906910896,0.14497412741184235,0.06966833025217056,0.1360224485397339,0.23929664492607117,0.17645101249217987
bowl,0.1720007210969925,0.17932994663715363,0.28976407647132874,0.18569406867027283,0.10961292684078217,0.12926612794399261,0.27851518988609314,0.21118052303791046
selections,0.29313933849334717,0.2996109426021576,0.23629195988178253,0.20442557334899902,0.1073179766535759,0.16164618730545044,0.22515660524368286,0.25070586800575256
