,when,will,roman,numerals,be,used,again,to,denote,the,super,bowl,number,?
on,0.37706470489501953,0.3240351676940918,0.15509356558322906,0.1492345631122589,0.37900757789611816,0.24785758554935455,0.31394922733306885,0.41031414270401,0.16328316926956177,0.5107308030128479,0.1569211632013321,0.1334993690252304,0.2978411018848419,0.2714994251728058
june,0.2469879388809204,0.15481974184513092,0.11824105679988861,0.1070602759718895,0.18770617246627808,0.10400602221488953,0.2855871319770813,0.22441016137599945,0.07681369036436081,0.24568822979927063,0.12735934555530548,0.15820787847042084,0.10977987945079803,0.31416764855384827
4,0.06794765591621399,-0.03192241117358208,0.16189806163311005,0.03203694894909859,-0.031255580484867096,0.046771492809057236,0.11201589554548264,0.059323787689208984,-0.042894795536994934,0.15499350428581238,0.046946682035923004,0.020155208185315132,-0.03914346173405647,0.010515431873500347
",",0.36674630641937256,0.29706671833992004,0.26863154768943787,0.23818567395210266,0.39254459738731384,0.3120402991771698,0.36606305837631226,0.44245919585227966,0.22066441178321838,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.2535701394081116,0.31091248989105225
2014,0.1509266346693039,0.0248110294342041,0.10688325762748718,0.050574127584695816,0.06913494318723679,-0.007408102974295616,0.14707235991954803,0.016496146097779274,-0.013470727950334549,0.059490643441677094,0.0236821286380291,0.07104186713695526,0.04202742502093315,0.058127544820308685
",",0.36674630641937256,0.29706671833992004,0.26863154768943787,0.23818567395210266,0.39254459738731384,0.3120402991771698,0.36606305837631226,0.44245919585227966,0.22066441178321838,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.2535701394081116,0.31091248989105225
the,0.5091903209686279,0.3635469079017639,0.2862859070301056,0.25819507241249084,0.4248143136501312,0.3718377649784088,0.4104243218898773,0.535392165184021,0.2737175226211548,1.0,0.21959073841571808,0.21576224267482758,0.35145696997642517,0.22068053483963013
nfl,0.13304822146892548,0.18084147572517395,0.12639591097831726,0.2016570121049881,0.12418080866336823,0.12976689636707306,0.07141061127185822,0.1526731252670288,0.08586592227220535,0.15305201709270477,0.319060355424881,0.48354101181030273,0.16465535759925842,0.10610254108905792
announced,0.15404565632343292,0.32643622159957886,0.13161100447177887,0.118888258934021,0.18421369791030884,0.1661556363105774,0.1592705398797989,0.20247882604599,0.09391681849956512,0.2277132272720337,0.1638530194759369,0.11583950370550156,0.0691022053360939,0.17416009306907654
that,0.5860282182693481,0.4857470989227295,0.20374512672424316,0.2481309473514557,0.6036020517349243,0.37621384859085083,0.3886644244194031,0.5436353087425232,0.28340375423431396,0.5473989248275757,0.18258553743362427,0.10987387597560883,0.32951247692108154,0.32716336846351624
the,0.5091903209686279,0.3635469079017639,0.2862859070301056,0.25819507241249084,0.4248143136501312,0.3718377649784088,0.4104243218898773,0.535392165184021,0.2737175226211548,1.0,0.21959073841571808,0.21576224267482758,0.35145696997642517,0.22068053483963013
