,when,did,the,normans,attack,dyrrachium,?
the,0.5091903209686279,0.34736719727516174,1.0,0.2781367897987366,0.2508925497531891,0.2955700159072876,0.22068053483963013
further,0.2538713812828064,0.216647207736969,0.32531118392944336,0.21870286762714386,0.1631954312324524,0.17734025418758392,0.20960763096809387
decline,0.21354186534881592,0.2544007897377014,0.2774365544319153,0.24527586996555328,0.17969399690628052,0.209111288189888,0.131937175989151
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2173461765050888,0.20644454658031464,0.2948158383369446,0.1826142966747284
byzantine,0.17145349085330963,0.13554735481739044,0.20800244808197021,0.44761067628860474,0.16083307564258575,0.3398158848285675,0.21581105887889862
state-of-affairs,0.23510783910751343,0.24487048387527466,0.2913438677787781,0.2671213448047638,0.21683597564697266,0.20487114787101746,0.19202600419521332
paved,0.16604207456111908,0.1952291578054428,0.23181872069835663,0.19169001281261444,0.052671533077955246,0.23024769127368927,0.12806759774684906
the,0.5091903209686279,0.34736719727516174,1.0,0.2781367897987366,0.2508925497531891,0.2955700159072876,0.22068053483963013
road,0.155549556016922,0.10854122787714005,0.27181798219680786,0.14199554920196533,0.14009499549865723,0.1813027709722519,0.10894691944122314
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.2506018877029419,0.19954605400562286,0.2512475550174713,0.29463258385658264
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.16186057031154633,0.2556389570236206,0.3348354995250702,0.23916715383529663
third,0.23858320713043213,0.19128914177417755,0.4229298532009125,0.12040093541145325,0.137417733669281,0.22057950496673584,0.15394791960716248
attack,0.25451144576072693,0.13678960502147675,0.2508925497531891,0.24041514098644257,1.0,0.2290293127298355,0.126759335398674
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.23263490200042725,0.1944931447505951,0.25859686732292175,0.20430970191955566
1185,0.020122379064559937,0.06657782942056656,-0.036333922296762466,-0.030781464651226997,0.0036403415724635124,0.10252624750137329,-0.006280554458498955
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.207779198884964,0.29392024874687195,0.3094370365142822,0.31091248989105225
when,0.9999999403953552,0.3228907287120819,0.5091903209686279,0.21106265485286713,0.25451144576072693,0.2973613440990448,0.22841128706932068
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.16186057031154633,0.2556389570236206,0.3348354995250702,0.23916715383529663
large,0.2779814898967743,0.2084006518125534,0.3828733265399933,0.2002423256635666,0.19168433547019958,0.3653741180896759,0.1355665624141693
norman,0.18821191787719727,0.1672605574131012,0.23459704220294952,0.7264348268508911,0.11192570626735687,0.15872089564800262,0.12243545055389404
army,0.2435331642627716,0.21148359775543213,0.31011611223220825,0.33769968152046204,0.3572985529899597,0.2684312164783478,0.180583193898201
invaded,0.2871313691139221,0.2517090439796448,0.35555320978164673,0.46918362379074097,0.3388758599758148,0.2809375524520874,0.20599597692489624
dyrrachium,0.2973613440990448,0.18310648202896118,0.2955700159072876,0.28412291407585144,0.2290293127298355,1.0000001192092896,0.2153829038143158
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.207779198884964,0.29392024874687195,0.3094370365142822,0.31091248989105225
owing,0.27961406111717224,0.29348307847976685,0.31687432527542114,0.2899717390537262,0.1945142298936844,0.16214671730995178,0.1274413764476776
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.2506018877029419,0.19954605400562286,0.2512475550174713,0.29463258385658264
the,0.5091903209686279,0.34736719727516174,1.0,0.2781367897987366,0.2508925497531891,0.2955700159072876,0.22068053483963013
betrayal,0.2788398563861847,0.2500785291194916,0.28133559226989746,0.24994945526123047,0.23109711706638336,0.22452379763126373,0.1884389966726303
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2173461765050888,0.20644454658031464,0.2948158383369446,0.1826142966747284
high,0.20577524602413177,0.15957149863243103,0.28034812211990356,0.13815540075302124,0.11278483271598816,0.25703275203704834,0.11137914657592773
byzantine,0.17145349085330963,0.13554735481739044,0.20800244808197021,0.44761067628860474,0.16083307564258575,0.3398158848285675,0.21581105887889862
officials,0.278388649225235,0.3401864171028137,0.36026763916015625,0.18732523918151855,0.14108699560165405,0.17701517045497894,0.1505519449710846
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.2287112921476364,0.3003302216529846,0.3321150243282318,0.4130953550338745
