,along,with,internal,combustion,engines,",",what,machines,have,superseded,steam,in,some,areas,?
for,0.249526709318161,0.39140474796295166,0.21200111508369446,0.23782002925872803,0.19945158064365387,0.4464869201183319,0.3017193675041199,0.2706963121891022,0.41175219416618347,0.27592653036117554,0.19393667578697205,0.4322226941585541,0.4257155656814575,0.2626132369041443,0.264628142118454
mobile,0.15196749567985535,0.18201114237308502,0.24492208659648895,0.20745542645454407,0.1833111196756363,0.2336195558309555,0.20647284388542175,0.23443536460399628,0.18791130185127258,0.1902587115764618,0.28600838780403137,0.2290361225605011,0.21909213066101074,0.19333899021148682,0.15319456160068512
applications,0.11303357034921646,0.24006901681423187,0.25904831290245056,0.38423675298690796,0.3646574318408966,0.29862213134765625,0.20821766555309296,0.4712046980857849,0.273336261510849,0.29118308424949646,0.3146214783191681,0.2334391176700592,0.31135642528533936,0.3387916386127472,0.19125857949256897
steam,0.22119560837745667,0.21801024675369263,0.21935473382472992,0.5523067712783813,0.4903687536716461,0.2264556586742401,0.15672586858272552,0.4200895428657532,0.15978071093559265,0.2447795420885086,1.0000001192092896,0.19852672517299652,0.2320948839187622,0.13164156675338745,0.113324373960495
has,0.27603578567504883,0.44092974066734314,0.1316433995962143,0.19524434208869934,0.165262833237648,0.3734780251979828,0.20338068902492523,0.1272239238023758,0.6353569626808167,0.15880705416202545,0.13945941627025604,0.4173259735107422,0.3587830364704132,0.26786115765571594,0.15994466841220856
been,0.235473170876503,0.2804456949234009,0.14628508687019348,0.22339047491550446,0.19427621364593506,0.34873589873313904,0.2567804455757141,0.2134949415922165,0.6493861675262451,0.28841620683670044,0.175981804728508,0.3515113592147827,0.42383694648742676,0.29139333963394165,0.24354910850524902
largely,0.1674591600894928,0.20874223113059998,0.23222696781158447,0.24252839386463165,0.22811682522296906,0.24212822318077087,0.25660550594329834,0.2272927314043045,0.3075169324874878,0.32221439480781555,0.2017110288143158,0.2371911108493805,0.3906775414943695,0.3685188293457031,0.08185246586799622
superseded,0.15323376655578613,0.19859057664871216,0.2732180058956146,0.21899232268333435,0.29901352524757385,0.2742447853088379,0.26111072301864624,0.20018726587295532,0.23495163023471832,1.0000001192092896,0.2447795420885086,0.22552341222763062,0.24907737970352173,0.1513187289237976,0.22590570151805878
by,0.34227433800697327,0.39731505513191223,0.16261973977088928,0.22674179077148438,0.18518580496311188,0.3680937886238098,0.2455483376979828,0.24781198799610138,0.3359639644622803,0.2909157872200012,0.18134352564811707,0.370934396982193,0.306446373462677,0.2005605250597,0.17966607213020325
internal,0.1540311872959137,0.27123862504959106,1.0,0.5056101679801941,0.35454675555229187,0.17594550549983978,0.2065390944480896,0.25347352027893066,0.2622898817062378,0.2732180058956146,0.21935473382472992,0.20769467949867249,0.25206008553504944,0.15510371327400208,0.1665428727865219
combustion,0.10784672945737839,0.22355996072292328,0.5056101679801941,1.0,0.5888161063194275,0.2079315334558487,0.2678600549697876,0.398631751537323,0.2532806694507599,0.21899232268333435,0.5523067712783813,0.2270977944135666,0.2772027850151062,0.12200945615768433,0.2177530825138092
engines,0.10451225191354752,0.21779674291610718,0.35454675555229187,0.5888161063194275,1.0000001192092896,0.20245449244976044,0.1634974628686905,0.3918200731277466,0.2422233670949936,0.29901352524757385,0.4903687536716461,0.18084456026554108,0.2136966586112976,0.21961556375026703,0.18940703570842743
or,0.2587498426437378,0.38158315420150757,0.32101738452911377,0.3234851062297821,0.16979892551898956,0.3769497275352478,0.33867141604423523,0.30527928471565247,0.46389055252075195,0.26935720443725586,0.2369248867034912,0.3586423695087433,0.5009974837303162,0.3565015196800232,0.32389625906944275
electric,0.22418370842933655,0.17031213641166687,0.1605360507965088,0.3918512761592865,0.27716219425201416,0.22981849312782288,0.15451551973819733,0.30992916226387024,0.19374091923236847,0.11498948186635971,0.3633075952529907,0.19779469072818756,0.19740770757198334,0.11437037587165833,0.15674720704555511
motors,0.1210886687040329,0.12280909717082977,0.1726006269454956,0.43737176060676575,0.4789537489414215,0.18115511536598206,0.180420383810997,0.336084246635437,0.16857358813285828,0.12237446755170822,0.3802523612976074,0.16052447259426117,0.14862877130508423,0.1675228476524353,0.16430476307868958
.,0.27491724491119385,0.4446153938770294,0.19502860307693481,0.2124136984348297,0.24894580245018005,0.6812511086463928,0.3567904531955719,0.22565115988254547,0.41614407300949097,0.3435967266559601,0.22855372726917267,0.5591574311256409,0.40663889050483704,0.23760369420051575,0.4130953550338745
