,what,insight,of,galileo,was,associated,with,constant,velocity,?
this,0.5489566326141357,0.2835654616355896,0.45148900151252747,0.23764172196388245,0.3638818562030792,0.27648818492889404,0.36358317732810974,0.2505357265472412,0.2540037930011749,0.3155723512172699
law,0.2145031988620758,0.21788831055164337,0.2816956341266632,0.2656131386756897,0.21553055942058563,0.11404020339250565,0.12950056791305542,0.27736684679985046,0.18315158784389496,0.1528988480567932
is,0.28837618231773376,0.1315934807062149,0.4854315221309662,0.14211519062519073,0.5810302495956421,0.2300606518983841,0.3250955045223236,0.1972285658121109,0.18647955358028412,0.22961433231830597
an,0.2821882665157318,0.18777363002300262,0.32280945777893066,0.18796603381633759,0.3694365322589874,0.2386062890291214,0.2730048894882202,0.14934922754764557,0.2044711709022522,0.19793890416622162
extension,0.24965603649616241,0.2723081707954407,0.20317310094833374,0.1145964190363884,0.18498201668262482,0.17173419892787933,0.24223463237285614,0.1680031716823578,0.23344509303569794,0.24237069487571716
of,0.33290785551071167,0.12511052191257477,1.0,0.20429757237434387,0.4069072902202606,0.3077163100242615,0.41827285289764404,0.25393494963645935,0.15038157999515533,0.1826142966747284
galileo,0.23183517158031464,0.2788047790527344,0.20429757237434387,1.0,0.26998451352119446,0.08878140151500702,0.16581039130687714,0.2765372097492218,0.34076330065727234,0.1773405522108078
's,0.02692362666130066,0.0453760027885437,-0.03817026689648628,-0.07949594408273697,0.008974763564765453,-0.07321830838918686,-0.04624466598033905,-0.015898186713457108,-0.020696857944130898,-0.023395681753754616
insight,0.3574843108654022,1.0000001192092896,0.12511052191257477,0.2788047790527344,0.1489662379026413,0.1677277684211731,0.12587712705135345,0.20832021534442902,0.23174604773521423,0.34185463190078735
that,0.6297725439071655,0.2801051139831543,0.41498205065727234,0.285929411649704,0.33670201897621155,0.2675568461418152,0.4154358208179474,0.2775205373764038,0.2781139016151428,0.32716336846351624
constant,0.22559526562690735,0.20832021534442902,0.25393494963645935,0.2765372097492218,0.11607828736305237,0.2059129923582077,0.23216186463832855,1.0,0.45832493901252747,0.14516431093215942
velocity,0.21937116980552673,0.23174604773521423,0.15038157999515533,0.34076330065727234,0.12663620710372925,0.08468692749738693,0.18260422348976135,0.45832493901252747,1.0000001192092896,0.20807628333568573
was,0.22111038863658905,0.1489662379026413,0.4069072902202606,0.26998451352119446,1.0000001192092896,0.16673633456230164,0.27411898970603943,0.11607828736305237,0.12663620710372925,0.18412111699581146
associated,0.15836219489574432,0.1677277684211731,0.3077163100242615,0.08878140151500702,0.16673633456230164,0.9999999403953552,0.3939831554889679,0.2059129923582077,0.08468692749738693,0.1453326791524887
with,0.2464839518070221,0.12587712705135345,0.41827285289764404,0.16581039130687714,0.27411898970603943,0.3939831554889679,0.9999999403953552,0.23216186463832855,0.18260422348976135,0.2433311939239502
a,0.3320399522781372,0.13960503041744232,0.5052502155303955,0.1346738189458847,0.4508470594882965,0.22056666016578674,0.3783375024795532,0.26609575748443604,0.2071385234594345,0.23916715383529663
lack,0.28247135877609253,0.3202376365661621,0.2861039936542511,0.13489635288715363,0.12372270971536636,0.26608434319496155,0.24107974767684937,0.17942775785923004,0.22382903099060059,0.16953514516353607
of,0.33290785551071167,0.12511052191257477,1.0,0.20429757237434387,0.4069072902202606,0.3077163100242615,0.41827285289764404,0.25393494963645935,0.15038157999515533,0.1826142966747284
