,where,were,schirra,",",eisele,and,cunningham,relocated,to,after,different,astronauts,were,selected,for,the,as-258,mission,?
mcdivitt,0.22802616655826569,0.22011950612068176,0.5183874368667603,0.3708037734031677,0.4635688066482544,0.3106919527053833,0.42547714710235596,0.2550072968006134,0.2671937942504883,0.3366202712059021,0.18504270911216736,0.3730388581752777,0.22011950612068176,0.23812530934810638,0.2782796621322632,0.3079850971698761,0.2475927323102951,0.3485526442527771,0.20508883893489838
",",0.3149496018886566,0.36755475401878357,0.33227598667144775,1.0000001192092896,0.2767774164676666,0.6633074283599854,0.33806002140045166,0.23454871773719788,0.44245919585227966,0.38860568404197693,0.32220861315727234,0.23683924973011017,0.36755475401878357,0.21025213599205017,0.4464869201183319,0.4933079481124878,0.17582957446575165,0.21226151287555695,0.31091248989105225
scott,0.13621605932712555,0.20614665746688843,0.3354640007019043,0.2646353542804718,0.3193807899951935,0.28129836916923523,0.31269708275794983,0.15621958673000336,0.15144622325897217,0.20271088182926178,0.0750173032283783,0.20001782476902008,0.20614665746688843,0.1746930181980133,0.21616168320178986,0.20135091245174408,0.10436243563890457,0.18000935018062592,0.0875725969672203
and,0.43859338760375977,0.42175528407096863,0.22293023765087128,0.6633074283599854,0.18173886835575104,1.0,0.2998959720134735,0.2557746171951294,0.48971283435821533,0.3765919506549835,0.39536112546920776,0.20313000679016113,0.42175528407096863,0.25557422637939453,0.5064792633056641,0.5171257257461548,0.15157777070999146,0.16932862997055054,0.20544172823429108
schweickart,0.1812237799167633,0.15459808707237244,0.49005329608917236,0.36241257190704346,0.45086994767189026,0.29839542508125305,0.300270676612854,0.1641208678483963,0.19744059443473816,0.22381167113780975,0.19887784123420715,0.10296221822500229,0.15459808707237244,0.10985580831766129,0.17584852874279022,0.27045074105262756,0.05422656238079071,0.1410077065229416,0.16077299416065216
were,0.2363632768392563,1.0000001192092896,0.18380433320999146,0.36755475401878357,0.2007489800453186,0.42175528407096863,0.24072173237800598,0.27871185541152954,0.31913647055625916,0.36224013566970825,0.3418048620223999,0.2418980598449707,1.0000001192092896,0.18268117308616638,0.33592689037323,0.3906462490558624,0.05515480041503906,0.16210246086120605,0.17890112102031708
promoted,0.16995613276958466,0.19242268800735474,0.20446133613586426,0.28000184893608093,0.21349550783634186,0.2072608917951584,0.18625538051128387,0.2610040307044983,0.2082895189523697,0.2726971507072449,0.1343851238489151,0.13045260310173035,0.19242268800735474,0.3016566336154938,0.23649972677230835,0.2648380994796753,0.09788095951080322,0.1780649572610855,0.2079106867313385
to,0.47735077142715454,0.31913647055625916,0.19579409062862396,0.44245919585227966,0.11079759895801544,0.48971283435821533,0.21435794234275818,0.2634791433811188,1.0,0.37890323996543884,0.3617510497570038,0.22723354399204254,0.31913647055625916,0.2167104333639145,0.4451248347759247,0.535392165184021,0.2262529879808426,0.26700642704963684,0.29463258385658264
the,0.5003893971443176,0.3906462490558624,0.24150578677654266,0.4933079481124878,0.25543972849845886,0.5171257257461548,0.2787105143070221,0.3594534695148468,0.535392165184021,0.4565047025680542,0.36412742733955383,0.197182759642601,0.3906462490558624,0.31003430485725403,0.4739971458911896,1.0,0.17412622272968292,0.22673439979553223,0.22068053483963013
prime,0.1555541604757309,0.11367364972829819,0.20572598278522491,0.2565026581287384,0.17323479056358337,0.21528048813343048,0.2333928346633911,0.18879729509353638,0.2015804797410965,0.20167937874794006,0.13490036129951477,0.0811123177409172,0.11367364972829819,0.19977369904518127,0.17833133041858673,0.19960100948810577,0.040378015488386154,0.09702515602111816,0.11276303976774216
