,name,a,type,of,toyota,compact,trucks,?
compact,0.14979059994220734,0.2634568512439728,0.20317402482032776,0.20587393641471863,0.34020185470581055,1.0000001192092896,0.31129342317581177,0.17753523588180542
trucks,0.17501996457576752,0.2127259224653244,0.15329322218894958,0.18114368617534637,0.4452035129070282,0.31129342317581177,1.0,0.19884294271469116
were,0.1580192744731903,0.17203083634376526,0.09534358233213425,0.34038281440734863,0.17140133678913116,0.18678876757621765,0.269724041223526,0.17890112102031708
introduced,0.13045251369476318,0.2573881149291992,0.1235562413930893,0.23328952491283417,0.21982815861701965,0.2586101293563843,0.23000209033489227,0.16386865079402924
",",0.28145334124565125,0.427140474319458,0.1804078221321106,0.4946078956127167,0.21259759366512299,0.1423269510269165,0.263661652803421,0.31091248989105225
such,0.14280109107494354,0.2706976532936096,0.2636772096157074,0.3209529519081116,0.15582607686519623,0.22122104465961456,0.21023234724998474,0.17851735651493073
as,0.2851914167404175,0.39550232887268066,0.19307732582092285,0.3886612355709076,0.22407671809196472,0.23397819697856903,0.2304784506559372,0.27043893933296204
the,0.3171212375164032,0.5829201340675354,0.21819381415843964,0.733189046382904,0.175506591796875,0.22287693619728088,0.1993885487318039,0.22068053483963013
toyota,0.18980596959590912,0.1984649896621704,0.05684515833854675,0.1666925847530365,1.0,0.34020185470581055,0.4452035129070282,0.06279262900352478
hilux,0.276030033826828,0.27482980489730835,0.14790746569633484,0.32540029287338257,0.32166045904159546,0.20527435839176178,0.2462289184331894,0.15392935276031494
and,0.21235932409763336,0.3739250600337982,0.16898801922798157,0.5116966962814331,0.14685073494911194,0.16858063638210297,0.2874619960784912,0.20544172823429108
the,0.3171212375164032,0.5829201340675354,0.21819381415843964,0.733189046382904,0.175506591796875,0.22287693619728088,0.1993885487318039,0.22068053483963013
datsun,0.21806223690509796,0.22730602324008942,0.14305639266967773,0.1974756419658661,0.4126764237880707,0.20563776791095734,0.2049597203731537,0.24280552566051483
truck,0.17902326583862305,0.2318187654018402,0.17479147017002106,0.1412232220172882,0.4548594355583191,0.23404303193092346,0.8051121234893799,0.16663828492164612
",",0.28145334124565125,0.427140474319458,0.1804078221321106,0.4946078956127167,0.21259759366512299,0.1423269510269165,0.263661652803421,0.31091248989105225
followed,0.21323242783546448,0.2840714454650879,0.18471667170524597,0.3060508966445923,0.08336973190307617,0.14196324348449707,0.06705678999423981,0.20567169785499573
by,0.25480157136917114,0.32094135880470276,0.15232881903648376,0.3646814823150635,0.1600928157567978,0.156997412443161,0.19879762828350067,0.17966607213020325
the,0.3171212375164032,0.5829201340675354,0.21819381415843964,0.733189046382904,0.175506591796875,0.22287693619728088,0.1993885487318039,0.22068053483963013
mazda,0.18801701068878174,0.16886553168296814,0.10213876515626907,0.19350723922252655,0.517851710319519,0.26715579628944397,0.40321090817451477,0.22066384553909302
truck,0.17902326583862305,0.2318187654018402,0.17479147017002106,0.1412232220172882,0.4548594355583191,0.23404303193092346,0.8051121234893799,0.16663828492164612
(,0.2706909477710724,0.3206180930137634,0.1677488386631012,0.35032153129577637,0.12960021197795868,0.15983055531978607,0.180281400680542,0.40561532974243164
sold,0.17910070717334747,0.2147083878517151,0.10908089578151703,0.2036660611629486,0.3840199112892151,0.28713664412498474,0.33047547936439514,0.14943712949752808
as,0.2851914167404175,0.39550232887268066,0.19307732582092285,0.3886612355709076,0.22407671809196472,0.23397819697856903,0.2304784506559372,0.27043893933296204
the,0.3171212375164032,0.5829201340675354,0.21819381415843964,0.733189046382904,0.175506591796875,0.22287693619728088,0.1993885487318039,0.22068053483963013
ford,0.1221846416592598,0.16902533173561096,0.09423113614320755,0.2179923951625824,0.40168505907058716,0.28199127316474915,0.3964422643184662,0.19164219498634338
courier,0.14184166491031647,0.23116102814674377,0.09447018057107925,0.2629488408565521,0.20180116593837738,0.23409749567508698,0.2570412755012512,0.08312901109457016
),0.2638341188430786,0.3640355169773102,0.18612703680992126,0.3680361211299896,0.1379135698080063,0.1603434532880783,0.18840941786766052,0.42300865054130554
",",0.28145334124565125,0.427140474319458,0.1804078221321106,0.4946078956127167,0.21259759366512299,0.1423269510269165,0.263661652803421,0.31091248989105225
and,0.21235932409763336,0.3739250600337982,0.16898801922798157,0.5116966962814331,0.14685073494911194,0.16858063638210297,0.2874619960784912,0.20544172823429108
the,0.3171212375164032,0.5829201340675354,0.21819381415843964,0.733189046382904,0.175506591796875,0.22287693619728088,0.1993885487318039,0.22068053483963013
isuzu-built,0.229994997382164,0.27481016516685486,0.204141303896904,0.2526824176311493,0.5168911814689636,0.312549889087677,0.4323905408382416,0.09129298478364944
chevrolet,0.23275595903396606,0.1863500326871872,0.1493694931268692,0.1439085155725479,0.5503338575363159,0.403560072183609,0.5057542324066162,0.1429024338722229
luv,0.1746917963027954,0.22189410030841827,0.10044387727975845,0.10581813007593155,0.2723032832145691,0.1918756663799286,0.23035399615764618,0.2433045357465744
.,0.24737101793289185,0.50484299659729,0.23195341229438782,0.5352458953857422,0.2003622055053711,0.1941089928150177,0.2804436683654785,0.4130953550338745
