,what,can,be,the,result,of,a,change,in,an,organization,?
teachers,0.2526462972164154,0.1946156919002533,0.20256873965263367,0.22025763988494873,0.0774323046207428,0.27737662196159363,0.2509842813014984,0.14727000892162323,0.2128150761127472,0.12090782821178436,0.2131412923336029,0.19522249698638916
face,0.227594256401062,0.22259989380836487,0.23039700090885162,0.2601291239261627,0.23983778059482574,0.19828438758850098,0.2207985818386078,0.21056045591831207,0.17266811430454254,0.1305890530347824,0.14414256811141968,0.12476722151041031
several,0.22446060180664062,0.32839062809944153,0.3049358129501343,0.40559855103492737,0.12628479301929474,0.3271615505218506,0.29992109537124634,0.20816819369792938,0.39405709505081177,0.21064363420009613,0.2620496153831482,0.15595775842666626
occupational,0.19267335534095764,0.24495981633663177,0.20093098282814026,0.1973530650138855,0.10239485651254654,0.26960793137550354,0.24232584238052368,0.1320045441389084,0.20106375217437744,0.19572286307811737,0.25259289145469666,0.12401652336120605
hazards,0.24034540355205536,0.3573473393917084,0.2697191834449768,0.2174634337425232,0.2910471260547638,0.2060418576002121,0.25150901079177856,0.21313203871250153,0.2056831270456314,0.14709652960300446,0.2278180867433548,0.22479578852653503
in,0.30808621644973755,0.26527702808380127,0.3481820821762085,0.6662389636039734,0.25670310854911804,0.5696388483047485,0.539380669593811,0.2510564923286438,1.0,0.2605783939361572,0.2513086795806885,0.20430970191955566
their,0.35142919421195984,0.3564860224723816,0.3200586438179016,0.516537070274353,0.2298729121685028,0.4329940676689148,0.29698723554611206,0.28483736515045166,0.34976133704185486,0.19624626636505127,0.195579394698143,0.1898253709077835
line,0.2245367169380188,0.1918898969888687,0.21854959428310394,0.29789501428604126,0.17363005876541138,0.23765452206134796,0.23499317467212677,0.16559958457946777,0.2258777767419815,0.14570118486881256,0.06603701412677765,0.16271452605724335
of,0.33290785551071167,0.2603091299533844,0.33904364705085754,0.733189046382904,0.231380432844162,1.0,0.5052502155303955,0.2569013833999634,0.5696388483047485,0.32280945777893066,0.25438958406448364,0.1826142966747284
work,0.3762225806713104,0.28794336318969727,0.34449198842048645,0.2704800069332123,0.10479757934808731,0.23473061621189117,0.266241192817688,0.32871606945991516,0.2753349542617798,0.22936125099658966,0.24161405861377716,0.2621155381202698
",",0.3087472915649414,0.3139454126358032,0.39254459738731384,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.427140474319458,0.2752361297607422,0.5201468467712402,0.3581022024154663,0.1819751113653183,0.31091248989105225
including,0.18328791856765747,0.2102493792772293,0.2110714614391327,0.3738902807235718,0.12760405242443085,0.44195112586021423,0.21045410633087158,0.11588741838932037,0.35857823491096497,0.13861823081970215,0.23064656555652618,0.1633303165435791
occupational,0.19267335534095764,0.24495981633663177,0.20093098282814026,0.1973530650138855,0.10239485651254654,0.26960793137550354,0.24232584238052368,0.1320045441389084,0.20106375217437744,0.19572286307811737,0.25259289145469666,0.12401652336120605
stress,0.33004483580589294,0.3481190502643585,0.265773743391037,0.18694822490215302,0.22706110775470734,0.1941838562488556,0.2622493505477905,0.2860985994338989,0.1894814521074295,0.1546071618795395,0.14266793429851532,0.2845553457736969
",",0.3087472915649414,0.3139454126358032,0.39254459738731384,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.427140474319458,0.2752361297607422,0.5201468467712402,0.3581022024154663,0.1819751113653183,0.31091248989105225
which,0.5261979103088379,0.41132649779319763,0.476310670375824,0.6521818041801453,0.31989866495132446,0.5011631846427917,0.56894451379776,0.3397163152694702,0.4840516746044159,0.3611921966075897,0.3044796586036682,0.25814583897590637
can,0.34502777457237244,1.0,0.5791122913360596,0.312528520822525,0.2741678059101105,0.2603091299533844,0.3915780484676361,0.38303205370903015,0.26527702808380127,0.23671309649944305,0.133668452501297,0.3226337134838104
negatively,0.23769304156303406,0.33794909715652466,0.34476539492607117,0.2790641486644745,0.31328895688056946,0.18762752413749695,0.2802250385284424,0.2317952662706375,0.21876925230026245,0.2331952452659607,0.15799273550510406,0.11435684561729431
impact,0.25162962079048157,0.2237747609615326,0.24134670197963715,0.22336715459823608,0.2513858377933502,0.21139270067214966,0.24985632300376892,0.26384028792381287,0.18933768570423126,0.16689299046993256,0.19246752560138702,0.18429921567440033
