,how,frequent,is,snow,in,the,southwest,of,the,state,?
but,0.43101516366004944,0.24724280834197998,0.4106791317462921,0.21839872002601624,0.48674455285072327,0.4859698414802551,0.1573401242494583,0.39942997694015503,0.4859698414802551,0.2526400089263916,0.27921953797340393
snow,0.1660781353712082,0.26008209586143494,0.2117786705493927,0.9999999403953552,0.1431034654378891,0.20050467550754547,0.10699175298213959,0.16572466492652893,0.20050467550754547,0.12918314337730408,0.1894082874059677
is,0.22544461488723755,0.19669964909553528,1.0,0.2117786705493927,0.5394441485404968,0.5823672413825989,0.26429513096809387,0.4854315221309662,0.5823672413825989,0.2627358138561249,0.22961433231830597
very,0.4865594804286957,0.27957090735435486,0.3671363294124603,0.2166057974100113,0.3209688663482666,0.34171217679977417,0.16061940789222717,0.34437474608421326,0.34171217679977417,0.16279727220535278,0.20864155888557434
rare,0.17777769267559052,0.3195074796676636,0.29281729459762573,0.19890674948692322,0.20041552186012268,0.23127084970474243,0.061283014714717865,0.24919116497039795,0.23127084970474243,0.16082167625427246,0.14820347726345062
in,0.2601168751716614,0.20610728859901428,0.5394441485404968,0.1431034654378891,1.0,0.6662389636039734,0.3074305057525635,0.5696388483047485,0.6662389636039734,0.33316072821617126,0.20430970191955566
the,0.33890387415885925,0.20967717468738556,0.5823672413825989,0.20050467550754547,0.6662389636039734,1.0,0.2974209487438202,0.733189046382904,1.0,0.3097178041934967,0.22068053483963013
southwest,0.12323164939880371,0.0961686223745346,0.26429513096809387,0.10699175298213959,0.3074305057525635,0.2974209487438202,1.0,0.2579437494277954,0.2974209487438202,0.23889371752738953,0.11322080343961716
of,0.2480744868516922,0.17798742651939392,0.4854315221309662,0.16572466492652893,0.5696388483047485,0.733189046382904,0.2579437494277954,1.0,0.733189046382904,0.34253445267677307,0.1826142966747284
the,0.33890387415885925,0.20967717468738556,0.5823672413825989,0.20050467550754547,0.6662389636039734,1.0,0.2974209487438202,0.733189046382904,1.0,0.3097178041934967,0.22068053483963013
state,0.15028610825538635,0.11566868424415588,0.2627358138561249,0.12918314337730408,0.33316072821617126,0.3097178041934967,0.23889371752738953,0.34253445267677307,0.3097178041934967,1.0,0.1160883978009224
",",0.22659391164779663,0.1712440401315689,0.4691906273365021,0.30345797538757324,0.5201468467712402,0.4933079481124878,0.2651968002319336,0.4946078956127167,0.4933079481124878,0.29481780529022217,0.31091248989105225
it,0.36714982986450195,0.15717433393001556,0.6328473687171936,0.23722630739212036,0.5130809545516968,0.6251175999641418,0.3324347734451294,0.38761502504348755,0.6251175999641418,0.32295069098472595,0.25732165575027466
occurs,0.15888327360153198,0.3218217194080353,0.3398558497428894,0.14941340684890747,0.3241814076900482,0.30771008133888245,0.1449616551399231,0.24937129020690918,0.30771008133888245,0.22579896450042725,0.15104985237121582
on,0.32655060291290283,0.21148759126663208,0.3635730445384979,0.20982666313648224,0.46853652596473694,0.5107308030128479,0.1404264271259308,0.3966929316520691,0.5107308030128479,0.18138433992862701,0.2714994251728058
the,0.33890387415885925,0.20967717468738556,0.5823672413825989,0.20050467550754547,0.6662389636039734,1.0,0.2974209487438202,0.733189046382904,1.0,0.3097178041934967,0.22068053483963013
southeast,0.14396770298480988,0.08311975747346878,0.26845720410346985,0.14271560311317444,0.332625150680542,0.32264992594718933,0.7482216358184814,0.3134217858314514,0.32264992594718933,0.29705575108528137,0.1004139706492424
of,0.2480744868516922,0.17798742651939392,0.4854315221309662,0.16572466492652893,0.5696388483047485,0.733189046382904,0.2579437494277954,1.0,0.733189046382904,0.34253445267677307,0.1826142966747284
the,0.33890387415885925,0.20967717468738556,0.5823672413825989,0.20050467550754547,0.6662389636039734,1.0,0.2974209487438202,0.733189046382904,1.0,0.3097178041934967,0.22068053483963013
state,0.15028610825538635,0.11566868424415588,0.2627358138561249,0.12918314337730408,0.33316072821617126,0.3097178041934967,0.23889371752738953,0.34253445267677307,0.3097178041934967,1.0,0.1160883978009224
.,0.3287222981452942,0.14382433891296387,0.4569662809371948,0.25120657682418823,0.5591574311256409,0.5934505462646484,0.23890219628810883,0.5352458953857422,0.5934505462646484,0.31380724906921387,0.4130953550338745
