,when,did,setanta,sports,say,it,would,launch,as,a,subscription,service,?
the,0.5091903209686279,0.34736719727516174,0.23956644535064697,0.20313861966133118,0.3200206458568573,0.6251175999641418,0.4133751392364502,0.2628649175167084,0.48381632566452026,0.5829201340675354,0.26760369539260864,0.22661015391349792,0.22068053483963013
announcement,0.18412145972251892,0.26421767473220825,0.10723831504583359,0.21305102109909058,0.34357750415802,0.20858824253082275,0.37754735350608826,0.3718098998069763,0.221759632229805,0.21016322076320648,0.37791281938552856,0.2789764106273651,0.24608203768730164
came,0.2824265956878662,0.4016856253147125,0.1850730925798416,0.1425086110830307,0.30718275904655457,0.27454036474227905,0.3780665099620819,0.18722911179065704,0.20288845896720886,0.2477586567401886,0.10280470550060272,0.1703135371208191,0.1739392727613449
a,0.44397395849227905,0.2552328109741211,0.24850638210773468,0.1933065801858902,0.3464781641960144,0.5452592968940735,0.398599237203598,0.19873975217342377,0.39550232887268066,1.0,0.27930477261543274,0.23104366660118103,0.23916715383529663
day,0.30730122327804565,0.20275387167930603,0.15802788734436035,0.17055383324623108,0.24981868267059326,0.2486180067062378,0.2307528257369995,0.2513629198074341,0.23300392925739288,0.18630309402942657,0.21132847666740417,0.22015322744846344,0.2141837179660797
after,0.5331412553787231,0.30330467224121094,0.18760736286640167,0.1227424144744873,0.26476210355758667,0.36872005462646484,0.31067174673080444,0.2291828840970993,0.3014480769634247,0.3831600844860077,0.11942405253648758,0.1891869306564331,0.16608688235282898
setanta,0.1818118691444397,0.13221487402915955,1.0,0.2971038520336151,0.08949975669384003,0.21390078961849213,0.12089689075946808,0.1479516625404358,0.18761669099330902,0.24850638210773468,0.2551872134208679,0.1315636783838272,0.1556110829114914
sports,0.18312768638134003,0.12759751081466675,0.2971038520336151,0.9999999403953552,0.10858175903558731,0.1934262365102768,0.18740861117839813,0.19685518741607666,0.1638442724943161,0.1933065801858902,0.1614868938922882,0.19060836732387543,0.04557104781270027
confirmed,0.16947171092033386,0.23830153048038483,0.1104801744222641,0.15093682706356049,0.2393960803747177,0.19953522086143494,0.30726590752601624,0.21581923961639404,0.22026334702968597,0.21397903561592102,0.21197830140590668,0.20600345730781555,0.20580808818340302
that,0.5860282182693481,0.47518548369407654,0.21167609095573425,0.18669648468494415,0.5852095484733582,0.5921133160591125,0.5895259380340576,0.23042123019695282,0.4735107421875,0.47537946701049805,0.2499164193868637,0.24765339493751526,0.32716336846351624
it,0.4775012135505676,0.2993364930152893,0.21390078961849213,0.1934262365102768,0.34911516308784485,0.9999999403953552,0.36398744583129883,0.1887495517730713,0.4461488723754883,0.5452592968940735,0.267913281917572,0.22391626238822937,0.25732165575027466
would,0.4219970703125,0.6268245577812195,0.12089689075946808,0.18740861117839813,0.46688976883888245,0.36398744583129883,1.0000001192092896,0.22639283537864685,0.3824005722999573,0.398599237203598,0.2673559784889221,0.20397862792015076,0.37178951501846313
launch,0.21188455820083618,0.19841566681861877,0.1479516625404358,0.19685518741607666,0.19574950635433197,0.1887495517730713,0.22639283537864685,0.9999999403953552,0.1635143756866455,0.19873975217342377,0.32418742775917053,0.28502675890922546,0.22009649872779846
in,0.4431333839893341,0.2593238651752472,0.2587471604347229,0.27591386437416077,0.26482993364334106,0.5130809545516968,0.30461156368255615,0.19686491787433624,0.3887844979763031,0.539380669593811,0.2119540274143219,0.1740635335445404,0.20430970191955566
march,0.22895319759845734,0.27992504835128784,0.15895098447799683,0.14036239683628082,0.20639775693416595,0.253664493560791,0.27102699875831604,0.20484724640846252,0.2616936266422272,0.23374363780021667,0.23917332291603088,0.20603667199611664,0.2802562415599823
as,0.4437963366508484,0.3596470057964325,0.18761669099330902,0.1638442724943161,0.3316376805305481,0.4461488723754883,0.3824005722999573,0.1635143756866455,1.0,0.39550232887268066,0.18730632960796356,0.21829554438591003,0.27043893933296204
