,what,problem,did,some,tree,ring,data,have,?
the,0.42745697498321533,0.24928659200668335,0.34736719727516174,0.4566698372364044,0.2565799951553345,0.2354331910610199,0.20546740293502808,0.40389683842658997,0.22068053483963013
section,0.28602200746536255,0.276350736618042,0.18138541281223297,0.2630709111690521,0.10450420528650284,0.13164055347442627,0.14908857643604279,0.23970681428909302,0.2733710706233978
discussed,0.4131682515144348,0.41352829337120056,0.28326693177223206,0.34840306639671326,0.15499964356422424,0.11604628711938858,0.2658962309360504,0.3995392918586731,0.39791521430015564
the,0.42745697498321533,0.24928659200668335,0.34736719727516174,0.4566698372364044,0.2565799951553345,0.2354331910610199,0.20546740293502808,0.40389683842658997,0.22068053483963013
divergence,0.21409821510314941,0.22725246846675873,0.1449081003665924,0.2412567138671875,0.253441721200943,0.19786706566810608,0.20005635917186737,0.2465302050113678,0.10567541420459747
problem,0.42183366417884827,1.0,0.2389146089553833,0.3374573290348053,0.20373526215553284,0.1470452845096588,0.19781024754047394,0.3683631420135498,0.3762950301170349
affecting,0.308133989572525,0.39382249116897583,0.18733270466327667,0.32148677110671997,0.17788374423980713,0.10916608572006226,0.19119314849376678,0.3481268882751465,0.1855245977640152
certain,0.4561643898487091,0.3782275319099426,0.3046872019767761,0.617815375328064,0.2189158946275711,0.18302470445632935,0.24444012343883514,0.5001439452171326,0.2516106069087982
tree,0.17175592482089996,0.20373526215553284,0.13018974661827087,0.21742364764213562,1.0000001192092896,0.25238755345344543,0.1327655166387558,0.19482815265655518,0.10740261524915695
ring,0.19784773886203766,0.1470452845096588,0.1583530157804489,0.15678155422210693,0.25238755345344543,0.9999999403953552,0.14473415911197662,0.1885361522436142,0.054174330085515976
data,0.23453554511070251,0.19781024754047394,0.1821516454219818,0.18171559274196625,0.1327655166387558,0.14473415911197662,1.0,0.21906204521656036,0.17909851670265198
.,0.3567904531955719,0.22562150657176971,0.35288307070732117,0.40663889050483704,0.19005756080150604,0.16478390991687775,0.24345596134662628,0.41614407300949097,0.4130953550338745
