,who,is,the,quarterback,for,the,panthers,?
the,0.3733934462070465,0.5823672413825989,1.0,0.23757418990135193,0.4739971458911896,1.0,0.2602776288986206,0.22068053483963013
panthers,0.2132880985736847,0.17272613942623138,0.2602776288986206,0.46138665080070496,0.25358447432518005,0.2602776288986206,0.9999999403953552,0.16608978807926178
finished,0.18257364630699158,0.17314960062503815,0.2754973769187927,0.19569359719753265,0.261849045753479,0.2754973769187927,0.2405824065208435,0.14789283275604248
the,0.3733934462070465,0.5823672413825989,1.0,0.23757418990135193,0.4739971458911896,1.0,0.2602776288986206,0.22068053483963013
regular,0.2929244339466095,0.18558871746063232,0.3214086890220642,0.2009545862674713,0.3314341604709625,0.3214086890220642,0.2117871195077896,0.18334713578224182
season,0.13809308409690857,0.1786249428987503,0.2507155239582062,0.360336571931839,0.24490800499916077,0.2507155239582062,0.3867887854576111,0.16793298721313477
with,0.3282766342163086,0.3250955045223236,0.4223487675189972,0.1795865148305893,0.39140474796295166,0.4223487675189972,0.23276561498641968,0.2433311939239502
a,0.36608949303627014,0.658733606338501,0.5829201340675354,0.20472733676433563,0.44038116931915283,0.5829201340675354,0.2255268394947052,0.23916715383529663
15–1,-0.1907285451889038,-0.08549003303050995,-0.2592649459838867,-0.028205571696162224,-0.26083904504776,-0.2592649459838867,0.03621317446231842,0.04290514066815376
record,0.24139603972434998,0.19413821399211884,0.23569516837596893,0.2873646914958954,0.24185582995414734,0.23569516837596893,0.218548983335495,0.14407116174697876
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.2844501733779907,0.4464869201183319,0.4933079481124878,0.2494642585515976,0.31091248989105225
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.202833354473114,0.5064792633056641,0.5171257257461548,0.2230100929737091,0.20544172823429108
quarterback,0.17410103976726532,0.19901543855667114,0.23757418990135193,1.0000001192092896,0.2683273255825043,0.23757418990135193,0.46138665080070496,0.13221268355846405
cam,0.1493443101644516,0.20740602910518646,0.18275147676467896,0.25592461228370667,0.22685806453227997,0.18275147676467896,0.32430368661880493,0.1622646003961563
newton,0.19243690371513367,0.21921560168266296,0.1876603662967682,0.29465755820274353,0.18168501555919647,0.1876603662967682,0.2555108666419983,0.09645649790763855
was,0.3318818509578705,0.5810302495956421,0.48711544275283813,0.24103644490242004,0.3863949179649353,0.48711544275283813,0.2605615258216858,0.18412111699581146
named,0.38541290163993835,0.28335005044937134,0.3521348536014557,0.19720998406410217,0.22057102620601654,0.3521348536014557,0.18414606153964996,0.1297498345375061
the,0.3733934462070465,0.5823672413825989,1.0,0.23757418990135193,0.4739971458911896,1.0,0.2602776288986206,0.22068053483963013
nfl,0.13425186276435852,0.12479410320520401,0.15305201709270477,0.6395521759986877,0.23749186098575592,0.15305201709270477,0.4153780937194824,0.10610254108905792
most,0.35393568873405457,0.41165053844451904,0.47635307908058167,0.17665012180805206,0.3906237483024597,0.47635307908058167,0.18297190964221954,0.2107497900724411
valuable,0.27010053396224976,0.22445952892303467,0.2574840486049652,0.3326582610607147,0.3648983836174011,0.2574840486049652,0.15950192511081696,0.20664997398853302
player,0.21536648273468018,0.2354840487241745,0.19900773465633392,0.4891320466995239,0.2470785230398178,0.19900773465633392,0.23960936069488525,0.18988972902297974
(,0.2443375140428543,0.35393038392066956,0.33289089798927307,0.2489609718322754,0.3357032239437103,0.33289089798927307,0.24568988382816315,0.40561532974243164
mvp,0.15547040104866028,0.14655865728855133,0.19830666482448578,0.49506956338882446,0.27104631066322327,0.19830666482448578,0.3432699143886566,0.19954749941825867
),0.2457384318113327,0.37732169032096863,0.3456730246543884,0.2467087209224701,0.3639558255672455,0.3456730246543884,0.24380707740783691,0.42300865054130554
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.23691914975643158,0.4726039469242096,0.5934505462646484,0.23446570336818695,0.4130953550338745
