,what,authority,enforced,the,ban,on,the,95,theses,?
the,0.42745697498321533,0.2645063102245331,0.23242081701755524,1.0,0.1830999106168747,0.5107308030128479,1.0,-0.027035299688577652,0.32067108154296875,0.22068053483963013
enforcement,0.2799559533596039,0.3919328451156616,0.7085436582565308,0.31401222944259644,0.30720627307891846,0.21304383873939514,0.31401222944259644,0.01611997000873089,0.1630801111459732,0.1750432252883911
of,0.33290785551071167,0.28063252568244934,0.22296646237373352,0.733189046382904,0.15118597447872162,0.3966929316520691,0.733189046382904,0.03395380079746246,0.27413663268089294,0.1826142966747284
the,0.42745697498321533,0.2645063102245331,0.23242081701755524,1.0,0.1830999106168747,0.5107308030128479,1.0,-0.027035299688577652,0.32067108154296875,0.22068053483963013
ban,0.2884827256202698,0.19557152688503265,0.38825860619544983,0.1830999106168747,1.0000001192092896,0.24485474824905396,0.1830999106168747,-0.1039082333445549,0.09477628022432327,0.29495060443878174
on,0.34226128458976746,0.17171882092952728,0.17819556593894958,0.5107308030128479,0.24485474824905396,0.9999999403953552,0.5107308030128479,0.03208969905972481,0.2588106691837311,0.2714994251728058
the,0.42745697498321533,0.2645063102245331,0.23242081701755524,1.0,0.1830999106168747,0.5107308030128479,1.0,-0.027035299688577652,0.32067108154296875,0.22068053483963013
95,-0.11634417623281479,0.06839647144079208,0.03414939343929291,-0.027035299688577652,-0.1039082333445549,0.03208969905972481,-0.027035299688577652,1.0000001192092896,-0.0005049377214163542,-0.15227507054805756
theses,0.22175903618335724,0.25280529260635376,0.14226651191711426,0.32067108154296875,0.09477628022432327,0.2588106691837311,0.32067108154296875,-0.0005049377214163542,1.0,0.19188037514686584
fell,0.1721644401550293,0.08220618218183517,0.21209709346294403,0.2598440647125244,0.1375250518321991,0.2488616406917572,0.2598440647125244,-0.04548651725053787,0.12281116098165512,0.13107693195343018
to,0.455847829580307,0.2155669927597046,0.28481602668762207,0.535392165184021,0.26575782895088196,0.41031414270401,0.535392165184021,-0.008685051463544369,0.24799592792987823,0.29463258385658264
the,0.42745697498321533,0.2645063102245331,0.23242081701755524,1.0,0.1830999106168747,0.5107308030128479,1.0,-0.027035299688577652,0.32067108154296875,0.22068053483963013
secular,0.26444122195243835,0.3534982204437256,0.29051336646080017,0.24261851608753204,0.14984403550624847,0.1456981748342514,0.24261851608753204,-0.024309823289513588,0.29707008600234985,0.13290788233280182
authorities,0.23251837491989136,0.7187918424606323,0.4201165735721588,0.2784515917301178,0.20332716405391693,0.1996127814054489,0.2784515917301178,0.04885674640536308,0.32278913259506226,0.17285770177841187
.,0.3567904531955719,0.19641262292861938,0.18034225702285767,0.5934505462646484,0.20274263620376587,0.49257001280784607,0.5934505462646484,-0.028137177228927612,0.29926246404647827,0.4130953550338745
