,what,do,most,platyctenida,have,on,their,aboral,surface,?
most,0.3219912350177765,0.31522849202156067,1.0,0.22312688827514648,0.44364631175994873,0.28303956985473633,0.3699820935726166,0.18030864000320435,0.18969692289829254,0.2107497900724411
platyctenida,0.1795387864112854,0.26318103075027466,0.22312688827514648,1.0000001192092896,0.2583516836166382,0.1767856329679489,0.2033599466085434,0.30646684765815735,0.3464421033859253,0.20022863149642944
have,0.39808809757232666,0.49831271171569824,0.44364631175994873,0.2583516836166382,0.9999999403953552,0.36494916677474976,0.523270845413208,0.3126889169216156,0.24156825244426727,0.32991164922714233
oval,0.12945684790611267,0.1277458518743515,0.1450725942850113,0.29820770025253296,0.21531789004802704,0.1404356211423874,0.1610865741968155,0.18918636441230774,0.2789798080921173,0.057541023939847946
bodies,0.1688588559627533,0.23864081501960754,0.21241258084774017,0.32245704531669617,0.3680446147918701,0.17646045982837677,0.3776066303253174,0.20449461042881012,0.33481836318969727,0.18285469710826874
that,0.6297725439071655,0.44533252716064453,0.4497850239276886,0.18659822642803192,0.6182622313499451,0.42569106817245483,0.4266771972179413,0.2784402370452881,0.30130770802497864,0.32716336846351624
are,0.29724663496017456,0.41111594438552856,0.48698675632476807,0.2596614360809326,0.6577680706977844,0.268924742937088,0.46887820959091187,0.278048574924469,0.24727550148963928,0.24591213464736938
flattened,0.17925192415714264,0.22649505734443665,0.17314669489860535,0.4803166091442108,0.3746383488178253,0.2461603432893753,0.2777998149394989,0.2129150629043579,0.4985567629337311,0.14000996947288513
in,0.30808621644973755,0.23402775824069977,0.41416558623313904,0.210525244474411,0.36843645572662354,0.46853652596473694,0.34976133704185486,0.2299441546201706,0.20246390998363495,0.20430970191955566
the,0.42745697498321533,0.30239659547805786,0.47635307908058167,0.22278061509132385,0.40389683842658997,0.5107308030128479,0.516537070274353,0.24541665613651276,0.2555135488510132,0.22068053483963013
oral-aboral,0.32524392008781433,0.2555064260959625,0.2036864012479782,0.4100998044013977,0.29683616757392883,0.22929991781711578,0.31393569707870483,0.8695651888847351,0.2767294943332672,0.25096696615219116
direction,0.25776705145835876,0.18628260493278503,0.130137637257576,0.07131873816251755,0.17844794690608978,0.20268428325653076,0.1933876872062683,0.20200425386428833,0.37458059191703796,0.10739318281412125
",",0.3087472915649414,0.3283645510673523,0.3636029064655304,0.28492745757102966,0.3541618287563324,0.49057599902153015,0.3045167922973633,0.2603401839733124,0.23000483214855194,0.31091248989105225
with,0.2464839518070221,0.23744353652000427,0.336320698261261,0.16585984826087952,0.48046383261680603,0.40749499201774597,0.4258328378200531,0.21346449851989746,0.1969025433063507,0.2433311939239502
a,0.3320399522781372,0.26237669587135315,0.3508910834789276,0.2670738399028778,0.338716596364975,0.3848365545272827,0.29698723554611206,0.17822478711605072,0.24436084926128387,0.23916715383529663
pair,0.1797199696302414,0.18702144920825958,0.1763189733028412,0.23173105716705322,0.31741735339164734,0.1934850513935089,0.37486565113067627,0.16395120322704315,0.2015388458967209,0.11695868521928787
of,0.33290785551071167,0.26150479912757874,0.4178851246833801,0.26930728554725647,0.3802283704280853,0.3966929316520691,0.4329940676689148,0.27554333209991455,0.24204103648662567,0.1826142966747284
tentilla-bearing,0.37359946966171265,0.26060184836387634,0.32336246967315674,0.39408162236213684,0.3981441557407379,0.2779451906681061,0.37894830107688904,0.31428951025009155,0.4113103449344635,0.2706320881843567
tentacles,0.17259258031845093,0.2578895092010498,0.24815836548805237,0.42995935678482056,0.3148491680622101,0.22140857577323914,0.37007778882980347,0.2916114032268524,0.4466818869113922,0.15145425498485565
on,0.34226128458976746,0.3025321364402771,0.28303956985473633,0.1767856329679489,0.36494916677474976,0.9999999403953552,0.3598666191101074,0.2489093691110611,0.2674844264984131,0.2714994251728058
the,0.42745697498321533,0.30239659547805786,0.47635307908058167,0.22278061509132385,0.40389683842658997,0.5107308030128479,0.516537070274353,0.24541665613651276,0.2555135488510132,0.22068053483963013
aboral,0.3328080177307129,0.2892201244831085,0.18030864000320435,0.30646684765815735,0.3126889169216156,0.2489093691110611,0.2968793213367462,1.0000001192092896,0.25019142031669617,0.24511504173278809
surface,0.23580394685268402,0.17361098527908325,0.18969692289829254,0.3464421033859253,0.24156825244426727,0.2674844264984131,0.17626304924488068,0.25019142031669617,0.9999998807907104,0.14613434672355652
.,0.3567904531955719,0.3613996207714081,0.35404038429260254,0.28028279542922974,0.41614407300949097,0.49257001280784607,0.34427863359451294,0.26526206731796265,0.2543797492980957,0.4130953550338745
