,who,is,the,english,translator,of,this,hymn,?
this,0.3345087468624115,0.480927973985672,0.6274310946464539,0.2799903452396393,0.16955849528312683,0.45148900151252747,0.9999999403953552,0.16291919350624084,0.3155723512172699
behavior,0.24586783349514008,0.194302499294281,0.2124595195055008,0.1745799034833908,0.12877725064754486,0.1818811446428299,0.3136577606201172,0.009766263887286186,0.20805177092552185
started,0.2424432635307312,0.21546094119548798,0.3222070634365082,0.2662573456764221,0.20870071649551392,0.22928385436534882,0.29889413714408875,0.1424422562122345,0.19447724521160126
with,0.3282766342163086,0.3250955045223236,0.4223487675189972,0.1562870889902115,0.13513778150081635,0.41827285289764404,0.36358317732810974,0.148435577750206,0.2433311939239502
his,0.44966956973075867,0.24372583627700806,0.4394008219242096,0.20864935219287872,0.23377780616283417,0.38364991545677185,0.3549620509147644,0.20094148814678192,0.18075084686279297
learning,0.25985077023506165,0.19600103795528412,0.2504628002643585,0.2636641263961792,0.2890734076499939,0.23709416389465332,0.2750687301158905,0.18520203232765198,0.25810256600379944
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.17198967933654785,0.12642523646354675,1.0,0.45148900151252747,0.27317509055137634,0.1826142966747284
the,0.3733934462070465,0.5823672413825989,1.0,0.23982001841068268,0.17395974695682526,0.733189046382904,0.6274310946464539,0.22713270783424377,0.22068053483963013
execution,0.1693163961172104,0.1931447684764862,0.2074618637561798,0.11713139712810516,0.18676328659057617,0.2427012324333191,0.26141902804374695,0.07555404305458069,0.15878841280937195
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.17198967933654785,0.12642523646354675,1.0,0.45148900151252747,0.27317509055137634,0.1826142966747284
johann,0.2507777810096741,0.12211661785840988,0.1716882735490799,0.1702652871608734,0.2877666652202606,0.19805940985679626,0.16754618287086487,0.2852459251880646,0.1194499209523201
esch,0.10931240022182465,0.28567907214164734,0.2576843202114105,0.17988985776901245,0.16822393238544464,0.24286475777626038,0.16893760859966278,0.12358668446540833,0.18257418274879456
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.3409043252468109,0.2829202115535736,0.5116966962814331,0.42353692650794983,0.1816401183605194,0.20544172823429108
heinrich,0.19076097011566162,0.1208101436495781,0.22804324328899384,0.11043333262205124,0.24705348908901215,0.21753917634487152,0.1939058154821396,0.22248801589012146,0.16990648210048676
voes,0.23703251779079437,0.2180837243795395,0.3069547414779663,0.18785566091537476,0.16571399569511414,0.264090359210968,0.22472138702869415,0.2788707911968231,0.23562505841255188
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.3339248597621918,0.3141685426235199,0.4946078956127167,0.4316047728061676,0.22048476338386536,0.31091248989105225
the,0.3733934462070465,0.5823672413825989,1.0,0.23982001841068268,0.17395974695682526,0.733189046382904,0.6274310946464539,0.22713270783424377,0.22068053483963013
first,0.39065709710121155,0.30889374017715454,0.49448907375335693,0.23087243735790253,0.22887039184570312,0.3536086082458496,0.41690850257873535,0.20774662494659424,0.18701928853988647
individuals,0.349673330783844,0.23137153685092926,0.3022412955760956,0.09747084230184555,0.0708022490143776,0.27365922927856445,0.31017783284187317,0.05439183488488197,0.20243582129478455
to,0.42656609416007996,0.42745086550712585,0.535392165184021,0.21984367072582245,0.11948500573635101,0.41548454761505127,0.5759071707725525,0.1294938325881958,0.29463258385658264
be,0.3371641933917999,0.4819129705429077,0.4248143136501312,0.20368270576000214,0.12604641914367676,0.33904364705085754,0.566177248954773,0.14811815321445465,0.3324260413646698
martyred,0.32458600401878357,0.164727121591568,0.3024164140224457,0.2199801504611969,0.3009397089481354,0.3294887840747833,0.22099733352661133,0.3472682535648346,0.1638646274805069
by,0.39727845788002014,0.3899846076965332,0.4408751428127289,0.20002366602420807,0.18025454878807068,0.3646814823150635,0.38438332080841064,0.1872738152742386,0.17966607213020325
the,0.3733934462070465,0.5823672413825989,1.0,0.23982001841068268,0.17395974695682526,0.733189046382904,0.6274310946464539,0.22713270783424377,0.22068053483963013
roman,0.1856684684753418,0.16690842807292938,0.2862859070301056,0.17874711751937866,0.16481362283229828,0.31028008460998535,0.21620680391788483,0.26079413294792175,0.1663191318511963
