,what,percentage,of,seats,did,political,parties,identifying,as,islamist,win,in,the,egyptian,parliamentary,election,of,2011-2012,?
in,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.26510122418403625,0.2593238651752472,0.22136160731315613,0.21453756093978882,0.166841521859169,0.3887844979763031,0.19697563350200653,0.2503834664821625,1.0,0.6662389636039734,0.145795539021492,0.2472391128540039,0.2450414001941681,0.5696388483047485,0.09958241134881973,0.20430970191955566
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.25880131125450134,0.34736719727516174,0.20477235317230225,0.2535073459148407,0.2894144356250763,0.48381632566452026,0.2459319531917572,0.28308698534965515,0.6662389636039734,1.0,0.22032245993614197,0.2708897888660431,0.22873377799987793,0.733189046382904,0.10129208862781525,0.22068053483963013
egyptian,0.15441232919692993,0.06720858812332153,0.20001496374607086,0.08694471418857574,0.17705166339874268,0.2141188532114029,0.08444783836603165,0.13613063097000122,0.21681414544582367,0.38436397910118103,0.1631370484828949,0.145795539021492,0.22032245993614197,1.0,0.16310830414295197,0.10829930007457733,0.20001496374607086,0.0457465685904026,0.14169205725193024
parliamentary,0.23120512068271637,0.24324342608451843,0.33805084228515625,0.4233335256576538,0.18926255404949188,0.4611716568470001,0.43011316657066345,0.1061892956495285,0.17422887682914734,0.3600134551525116,0.18998032808303833,0.2472391128540039,0.2708897888660431,0.16310830414295197,1.0,0.5905603170394897,0.33805084228515625,-0.03628521040081978,0.1612216979265213
election,0.2325795590877533,0.21429851651191711,0.23051156103610992,0.48095691204071045,0.21878118813037872,0.4484173059463501,0.4163273572921753,0.16931524872779846,0.21759408712387085,0.2674066126346588,0.3317860960960388,0.2450414001941681,0.22873377799987793,0.10829930007457733,0.5905603170394897,0.9999999403953552,0.23051156103610992,-0.07885828614234924,0.23105260729789734
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.22755272686481476,0.3015086054801941,0.27072274684906006,0.219932422041893,0.20195230841636658,0.48816442489624023,0.18959079682826996,0.2999197840690613,0.5201468467712402,0.4933079481124878,0.21981480717658997,0.23071794211864471,0.22834618389606476,0.4946078956127167,0.11328321695327759,0.31091248989105225
2011–2012,0.25960543751716614,0.2356974333524704,0.11094193905591965,0.11668940633535385,0.1588950902223587,0.11635543406009674,0.11631109565496445,0.04581085219979286,0.17035669088363647,0.08338815718889236,0.09694219380617142,0.13786470890045166,0.14136169850826263,0.055177971720695496,0.14458084106445312,0.10179522633552551,0.11094193905591965,0.5138351917266846,0.13207070529460907
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.22755272686481476,0.3015086054801941,0.27072274684906006,0.219932422041893,0.20195230841636658,0.48816442489624023,0.18959079682826996,0.2999197840690613,0.5201468467712402,0.4933079481124878,0.21981480717658997,0.23071794211864471,0.22834618389606476,0.4946078956127167,0.11328321695327759,0.31091248989105225
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.25880131125450134,0.34736719727516174,0.20477235317230225,0.2535073459148407,0.2894144356250763,0.48381632566452026,0.2459319531917572,0.28308698534965515,0.6662389636039734,1.0,0.22032245993614197,0.2708897888660431,0.22873377799987793,0.733189046382904,0.10129208862781525,0.22068053483963013
political,0.21846716105937958,0.1469082087278366,0.27319738268852234,0.25843682885169983,0.21022029221057892,1.0000001192092896,0.6070764660835266,0.181767076253891,0.21393902599811554,0.45655131340026855,0.1886664181947708,0.22136160731315613,0.20477235317230225,0.2141188532114029,0.4611716568470001,0.4484173059463501,0.27319738268852234,0.033651288598775864,0.17130474746227264
