,the,flags,on,the,moon,left,by,the,u.s.,manned,apollo,missions,are,all,still,standing,save,for,which,mission,'s,flag,?
all,0.4860881567001343,0.2552257776260376,0.3832052946090698,0.4860881567001343,0.15991857647895813,0.2304716259241104,0.2944089472293854,0.4860881567001343,0.074127696454525,0.21922509372234344,0.15919139981269836,0.250182569026947,0.5343062281608582,1.0000001192092896,0.3996075987815857,0.354315847158432,0.32344359159469604,0.41144001483917236,0.50777268409729,0.11677316576242447,0.03181743621826172,0.1869763880968094,0.29575422406196594
of,0.733189046382904,0.29490622878074646,0.3966929316520691,0.733189046382904,0.18815091252326965,0.2218635529279709,0.3646814823150635,0.733189046382904,0.011562774889171124,0.17604194581508636,0.1786269098520279,0.2598918080329895,0.39081433415412903,0.42798417806625366,0.3288819193840027,0.30196839570999146,0.21277251839637756,0.4185989499092102,0.5011631846427917,0.20170781016349792,-0.03817026689648628,0.2675327956676483,0.1826142966747284
the,1.0,0.2511677145957947,0.5107308030128479,1.0,0.23613092303276062,0.33113980293273926,0.4408751428127289,1.0,0.06592652946710587,0.2392944097518921,0.2169172167778015,0.26288601756095886,0.40399202704429626,0.4860881567001343,0.40142056345939636,0.32312217354774475,0.24351766705513,0.4739971458911896,0.6521818041801453,0.22673439979553223,-0.01540423184633255,0.27358174324035645,0.22068053483963013
u.,0.21289505064487457,0.05793841555714607,0.12561525404453278,0.21289505064487457,-0.025993268936872482,0.08901489526033401,0.05198528245091438,0.21289505064487457,0.2211625725030899,0.13705118000507355,-0.005130286328494549,0.15916037559509277,0.034583237022161484,0.07942655682563782,0.019179118797183037,0.1045578196644783,-0.09338495135307312,0.07415652275085449,0.07591412216424942,0.15921789407730103,-0.010568694211542606,0.016193397343158722,-0.06354963779449463
s.,-0.04539619758725166,-0.02320871502161026,-0.046693962067365646,-0.04539619758725166,-0.0479264110326767,0.018015027046203613,-0.0594702810049057,-0.04539619758725166,0.8390329480171204,-0.04084299877285957,-0.03313273563981056,-0.02750597521662712,-0.09035167098045349,0.022848233580589294,-0.019452298060059547,-0.017926733940839767,0.13267681002616882,0.046290744096040726,-0.024714117869734764,-0.06313415616750717,-0.0037727716844528913,-0.0283990316092968,0.07581593841314316
flags,0.2511677145957947,1.0000001192092896,0.1942603588104248,0.2511677145957947,0.13041232526302338,0.08661766350269318,0.13307729363441467,0.2511677145957947,0.005489844363182783,0.12837859988212585,0.04310046508908272,0.29201820492744446,0.24145112931728363,0.2552257776260376,0.27215179800987244,0.2111012488603592,0.1534930169582367,0.23388494551181793,0.2422771155834198,0.22393541038036346,0.06487821787595749,0.6631976366043091,0.19655367732048035
left,0.33113980293273926,0.08661766350269318,0.30747801065444946,0.33113980293273926,0.09804370254278183,1.0,0.2067900449037552,0.33113980293273926,0.09375697374343872,0.17583492398262024,0.13033144176006317,0.17312878370285034,0.1584164947271347,0.2304716259241104,0.24864540994167328,0.201191708445549,0.1730813980102539,0.19966527819633484,0.22905652225017548,0.1522214710712433,0.0003564352518878877,0.1642991453409195,0.13251960277557373
on,0.5107308030128479,0.1942603588104248,0.9999999403953552,0.5107308030128479,0.20249907672405243,0.30747801065444946,0.33887791633605957,0.5107308030128479,0.0330372117459774,0.22706209123134613,0.16069947183132172,0.2538504898548126,0.268924742937088,0.3832052946090698,0.317820280790329,0.25366199016571045,0.2062581181526184,0.36199691891670227,0.4245251417160034,0.21317659318447113,0.0026888418942689896,0.18557922542095184,0.2714994251728058
the,1.0,0.2511677145957947,0.5107308030128479,1.0,0.23613092303276062,0.33113980293273926,0.4408751428127289,1.0,0.06592652946710587,0.2392944097518921,0.2169172167778015,0.26288601756095886,0.40399202704429626,0.4860881567001343,0.40142056345939636,0.32312217354774475,0.24351766705513,0.4739971458911896,0.6521818041801453,0.22673439979553223,-0.01540423184633255,0.27358174324035645,0.22068053483963013
moon,0.23613092303276062,0.13041232526302338,0.20249907672405243,0.23613092303276062,1.0,0.09804370254278183,0.2189643681049347,0.23613092303276062,-0.031946003437042236,0.3893072307109833,0.512973427772522,0.30764681100845337,0.16114117205142975,0.15991857647895813,0.17969228327274323,0.1659243106842041,0.21264638006687164,0.2043032944202423,0.19790339469909668,0.34793826937675476,0.0421946756541729,0.13994845747947693,0.1442703753709793
