,who,is,antigone,'s,father,in,the,play,?
one,0.40083858370780945,0.4544198513031006,0.20232835412025452,0.06913424283266068,0.21877731382846832,0.4129433035850525,0.5514441132545471,0.24414552748203278,0.2673267424106598
of,0.2827862501144409,0.4854315221309662,0.2282322198152542,-0.03817026689648628,0.22142449021339417,0.5696388483047485,0.733189046382904,0.15350224077701569,0.1826142966747284
the,0.3733934462070465,0.5823672413825989,0.20033924281597137,-0.01540423184633255,0.24010279774665833,0.6662389636039734,1.0,0.24793598055839539,0.22068053483963013
oldest,0.2502763569355011,0.3135911226272583,0.1516818404197693,-0.014085551723837852,0.20516584813594818,0.33251360058784485,0.30836519598960876,0.17077448964118958,0.14864160120487213
depictions,0.22975975275039673,0.23677951097488403,0.31593823432922363,-0.007141482084989548,0.20872186124324799,0.22689732909202576,0.2684508264064789,0.15006107091903687,0.14728380739688873
of,0.2827862501144409,0.4854315221309662,0.2282322198152542,-0.03817026689648628,0.22142449021339417,0.5696388483047485,0.733189046382904,0.15350224077701569,0.1826142966747284
civil,0.14972704648971558,0.16941262781620026,0.1779717206954956,-0.06354409456253052,0.17654192447662354,0.26466667652130127,0.2477465271949768,0.0800999104976654,0.1494513899087906
disobedience,0.34217217564582825,0.21453623473644257,0.25068399310112,0.027719656005501747,0.3106941878795624,0.3054615259170532,0.30963727831840515,0.18516378104686737,0.19890835881233215
is,0.24293622374534607,1.0,0.15813754498958588,0.02396530658006668,0.21280217170715332,0.5394441485404968,0.5823672413825989,0.2174319475889206,0.22961433231830597
in,0.2792111933231354,0.5394441485404968,0.17945496737957,-0.037580832839012146,0.25954100489616394,1.0,0.6662389636039734,0.24321173131465912,0.20430970191955566
sophocles,0.36925312876701355,0.20376694202423096,0.44340935349464417,0.06185459718108177,0.26192522048950195,0.2046385407447815,0.2736586928367615,0.34479448199272156,0.1973816305398941
',0.22534559667110443,0.5508411526679993,0.17648760974407196,0.07651367038488388,0.26398441195487976,0.4158826768398285,0.474788099527359,0.16186515986919403,0.330942302942276
play,0.2742305099964142,0.2174319475889206,0.22160761058330536,0.08983290195465088,0.17927011847496033,0.24321173131465912,0.24793598055839539,1.0,0.11059518158435822
antigone,0.1943591684103012,0.15813754498958588,1.0,-0.002772110514342785,0.23369018733501434,0.17945496737957,0.20033924281597137,0.22160761058330536,0.10473794490098953
",",0.3365725874900818,0.4691906273365021,0.209270179271698,-0.0016132977325469255,0.30597206950187683,0.5201468467712402,0.4933079481124878,0.2231253683567047,0.31091248989105225
in,0.2792111933231354,0.5394441485404968,0.17945496737957,-0.037580832839012146,0.25954100489616394,1.0,0.6662389636039734,0.24321173131465912,0.20430970191955566
which,0.3688730001449585,0.4457404911518097,0.15784083306789398,0.03856118768453598,0.19622015953063965,0.4840516746044159,0.6521818041801453,0.24836887419223785,0.25814583897590637
antigone,0.1943591684103012,0.15813754498958588,1.0,-0.002772110514342785,0.23369018733501434,0.17945496737957,0.20033924281597137,0.22160761058330536,0.10473794490098953
",",0.3365725874900818,0.4691906273365021,0.209270179271698,-0.0016132977325469255,0.30597206950187683,0.5201468467712402,0.4933079481124878,0.2231253683567047,0.31091248989105225
one,0.40083858370780945,0.4544198513031006,0.20232835412025452,0.06913424283266068,0.21877731382846832,0.4129433035850525,0.5514441132545471,0.24414552748203278,0.2673267424106598
of,0.2827862501144409,0.4854315221309662,0.2282322198152542,-0.03817026689648628,0.22142449021339417,0.5696388483047485,0.733189046382904,0.15350224077701569,0.1826142966747284
