,how,much,of,gdp,does,manufactoriing,account,for,?
although,0.26196205615997314,0.4015255868434906,0.3024747669696808,0.05392461642622948,0.3092105984687805,0.1958455890417099,0.2484154850244522,0.2825305759906769,0.15541206300258636
kenya,0.17591707408428192,0.08246253430843353,0.22226637601852417,0.14304453134536743,0.15162554383277893,0.19293946027755737,0.12463591247797012,0.22047242522239685,0.17197901010513306
is,0.22544461488723755,0.3156087100505829,0.4854315221309662,0.1348358541727066,0.4403602182865143,0.24179230630397797,0.1971616894006729,0.43268078565597534,0.22961433231830597
the,0.33890387415885925,0.35023224353790283,0.733189046382904,0.16116170585155487,0.35928019881248474,0.2495395839214325,0.21117976307868958,0.4739971458911896,0.22068053483963013
most,0.311336874961853,0.4205867648124695,0.4178851246833801,0.15265649557113647,0.30044323205947876,0.23715665936470032,0.15602201223373413,0.3906237483024597,0.2107497900724411
industrially,0.1819431483745575,0.31374409794807434,0.28146132826805115,0.33862054347991943,0.14188013970851898,0.616510272026062,0.08586107194423676,0.28690585494041443,0.07898832112550735
developed,0.1512427031993866,0.2722461521625519,0.21960023045539856,0.12570327520370483,0.14594046771526337,0.35369181632995605,0.11754178255796432,0.22294896841049194,0.10763012617826462
country,0.17206698656082153,0.254434198141098,0.28866857290267944,0.31972363591194153,0.21151480078697205,0.20785470306873322,0.18853597342967987,0.2644098401069641,0.12647280097007751
in,0.2601168751716614,0.2725222110748291,0.5696388483047485,0.17962713539600372,0.214483380317688,0.2837860882282257,0.15171845257282257,0.4322226941585541,0.20430970191955566
the,0.33890387415885925,0.35023224353790283,0.733189046382904,0.16116170585155487,0.35928019881248474,0.2495395839214325,0.21117976307868958,0.4739971458911896,0.22068053483963013
african,0.12331631779670715,0.15948429703712463,0.23470255732536316,0.12457472831010818,0.12760108709335327,0.089016392827034,0.17848989367485046,0.15476080775260925,0.11862778663635254
great,0.20413632690906525,0.3239916265010834,0.3168134391307831,0.0922713428735733,0.1330372840166092,0.1518728882074356,0.18222355842590332,0.19302397966384888,0.13135133683681488
lakes,0.09607591480016708,0.2161831557750702,0.3004763126373291,0.12132222950458527,0.16938108205795288,0.2396453320980072,0.15255753695964813,0.2170482724905014,0.12022668123245239
region,0.15155482292175293,0.17411746084690094,0.2852717339992523,0.3046968877315521,0.10874218493700027,0.2589298486709595,0.12604273855686188,0.17531010508537292,0.13441751897335052
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.17147020995616913,0.28617382049560547,0.28977182507514954,0.2591261863708496,0.4464869201183319,0.31091248989105225
manufacturing,0.17770209908485413,0.17943300306797028,0.26644885540008545,0.3558294177055359,0.14351007342338562,0.8529140949249268,0.043108634650707245,0.26200976967811584,0.11596895009279251
still,0.38034671545028687,0.45936664938926697,0.3288819193840027,0.16818098723888397,0.3817117214202881,0.26270177960395813,0.23696795105934143,0.37984156608581543,0.3039587736129761
accounts,0.24195288121700287,0.25432175397872925,0.2083580046892166,0.30002349615097046,0.2293139547109604,0.1424117535352707,0.8569905757904053,0.29955625534057617,0.32252734899520874
for,0.3308170735836029,0.2994346022605896,0.4185989499092102,0.16771060228347778,0.35159170627593994,0.2942681908607483,0.25532788038253784,0.9999999403953552,0.264628142118454
only,0.36590442061424255,0.411008358001709,0.49632513523101807,0.1608581393957138,0.45203697681427,0.23527252674102783,0.32733890414237976,0.49157920479774475,0.2767370045185089
14,0.03452076017856598,0.0508834607899189,0.05099077150225639,0.057433120906353,0.04189109802246094,0.0966276079416275,0.041560251265764236,-0.055861979722976685,0.11697390675544739
%,0.1237400695681572,0.26866111159324646,0.19953428208827972,0.3315473198890686,0.1996830552816391,0.2055610567331314,0.16030900180339813,0.16658860445022583,0.21441808342933655
of,0.2480744868516922,0.2671096920967102,1.0,0.173078253865242,0.3119818866252899,0.26431527733802795,0.19751501083374023,0.4185989499092102,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.733189046382904,0.16116170585155487,0.35928019881248474,0.2495395839214325,0.21117976307868958,0.4739971458911896,0.22068053483963013
gdp,0.24845188856124878,0.24348674714565277,0.173078253865242,1.0000001192092896,0.20845764875411987,0.35968953371047974,0.2579655647277832,0.16771060228347778,0.232579305768013
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.17039258778095245,0.3022993505001068,0.29586225748062134,0.21396027505397797,0.4726039469242096,0.4130953550338745
