,how,many,homes,did,the,alta,vista,tract,have,five,years,after,billings,&,meyering,acquired,it,?
a,0.29312583804130554,0.2872205972671509,0.1711449772119522,0.2552328109741211,0.5829201340675354,0.1560647040605545,0.18345870077610016,0.2040528953075409,0.338716596364975,0.2874281108379364,0.23773819208145142,0.3831600844860077,0.1720898598432541,0.07266713678836823,0.27224108576774597,0.16495825350284576,0.5452592968940735,0.23916715383529663
mere,0.20040251314640045,0.18499033153057098,0.0857619121670723,0.1846163421869278,0.20554959774017334,0.05803999304771423,0.12559333443641663,0.16220149397850037,0.3072342276573181,0.16941793262958527,0.19710604846477509,0.19142360985279083,0.13230983912944794,0.10760623216629028,0.18921011686325073,0.16803346574306488,0.224387988448143,0.2517111897468567
half,0.19052551686763763,0.2529585361480713,0.16208796203136444,0.12883292138576508,0.3189295828342438,0.059542492032051086,0.08630990982055664,0.1412879079580307,0.252441942691803,0.329691082239151,0.29827001690864563,0.23608151078224182,0.1462157964706421,0.15056106448173523,0.17767556011676788,0.10626459121704102,0.2682355046272278,0.07471233606338501
decade,0.16695289313793182,0.2173006236553192,0.09512761980295181,0.15830519795417786,0.2552448511123657,0.07215871661901474,0.0891176238656044,0.13927282392978668,0.20212769508361816,0.2105269730091095,0.3334464728832245,0.24334123730659485,0.20717398822307587,0.053684499114751816,0.17144840955734253,0.14640416204929352,0.17343537509441376,0.11237446963787079
later,0.2534695267677307,0.3450429439544678,0.22574016451835632,0.38386887311935425,0.4060266613960266,0.153345987200737,0.19470107555389404,0.17597071826457977,0.3055685758590698,0.3676893413066864,0.3774924874305725,0.5807580947875977,0.23159129917621613,0.1510971635580063,0.27247729897499084,0.23257772624492645,0.3362252712249756,0.1417175978422165
the,0.33890387415885925,0.4335206151008606,0.22941356897354126,0.34736719727516174,1.0,0.21644072234630585,0.19021748006343842,0.2717020511627197,0.40389683842658997,0.41977158188819885,0.2912273406982422,0.4565047025680542,0.2178543508052826,0.14992168545722961,0.3445998430252075,0.22202405333518982,0.6251175999641418,0.22068053483963013
tract,0.23491032421588898,0.17963187396526337,0.15368419885635376,0.06217226758599281,0.2717020511627197,0.19173619151115417,0.13086426258087158,0.9999999403953552,0.24915099143981934,0.18949691951274872,0.1788773387670517,0.13108302652835846,0.15009526908397675,0.09327072650194168,0.1847141683101654,0.2142590880393982,0.24672146141529083,0.1459975689649582
had,0.2549138069152832,0.40130746364593506,0.2827519476413727,0.540525496006012,0.3875846862792969,0.16584159433841705,0.12351492792367935,0.179026797413826,0.6263401508331299,0.3599399924278259,0.36797329783439636,0.4133172631263733,0.25462964177131653,0.15368397533893585,0.29701533913612366,0.23384134471416473,0.2910259962081909,0.20728366076946259
267,0.0662904605269432,-0.001401756308041513,-0.10169609636068344,-0.018195590004324913,0.06394819170236588,-0.07022484391927719,-0.008075296878814697,0.09622713923454285,0.0035601879935711622,0.0490688756108284,-0.015051085501909256,0.037110816687345505,0.06448383629322052,-0.004387178923934698,0.019279133528470993,-0.020429397001862526,0.04105609282851219,0.06828461587429047
homes,0.17951394617557526,0.3374091684818268,1.0,0.2329649180173874,0.22941356897354126,0.19240924715995789,0.2087661474943161,0.15368419885635376,0.28429946303367615,0.2389114648103714,0.26189643144607544,0.23029299080371857,0.25072550773620605,0.04653836041688919,0.13778817653656006,0.17676909267902374,0.2157745063304901,0.12707971036434174
.,0.3287222981452942,0.3974229395389557,0.27827757596969604,0.35288307070732117,0.5934505462646484,0.24957479536533356,0.20176298916339874,0.19527077674865723,0.41614407300949097,0.34172043204307556,0.31919315457344055,0.35870397090911865,0.30370670557022095,0.16452857851982117,0.3289528489112854,0.17389816045761108,0.5593622326850891,0.4130953550338745
