,when,did,pachauri,resign,as,chair,of,the,ipcc,?
before,0.5650408267974854,0.33642593026161194,0.21326588094234467,0.2561831474304199,0.3552539646625519,0.16633543372154236,0.3282964527606964,0.45900648832321167,0.15341489017009735,0.2507109045982361
this,0.4959332048892975,0.3609912693500519,0.19830013811588287,0.22096721827983856,0.43993282318115234,0.09411635994911194,0.45148900151252747,0.6274310946464539,0.2609120011329651,0.3155723512172699
election,0.24046973884105682,0.21878118813037872,0.13452519476413727,0.5370999574661255,0.21759408712387085,0.27082559466362,0.23051156103610992,0.22873377799987793,0.25631093978881836,0.23105260729789734
",",0.36674630641937256,0.3015086054801941,0.2773801386356354,0.21818605065345764,0.48816442489624023,0.13867062330245972,0.4946078956127167,0.4933079481124878,0.15590040385723114,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,0.2887033224105835,0.20793606340885162,0.48381632566452026,0.1899619996547699,0.733189046382904,1.0,0.24925659596920013,0.22068053483963013
ipcc,0.17001821100711823,0.2459706962108612,0.25978317856788635,0.2436855584383011,0.17363275587558746,0.2737242877483368,0.20174051821231842,0.24925659596920013,1.0000001192092896,0.22295254468917847
was,0.37326499819755554,0.41399896144866943,0.26917096972465515,0.27222940325737,0.3677520453929901,0.2363465279340744,0.4069072902202606,0.48711544275283813,0.16744299232959747,0.18412111699581146
led,0.2072276622056961,0.3213953971862793,0.26023444533348083,0.2847074866294861,0.20535489916801453,0.13806384801864624,0.32918456196784973,0.3267505168914795,0.2534172236919403,0.09273858368396759
by,0.4376842677593231,0.18574509024620056,0.19069376587867737,0.09662109613418579,0.3815547823905945,0.20889812707901,0.3646814823150635,0.4408751428127289,0.18031758069992065,0.17966607213020325
his,0.37120407819747925,0.3546801507472992,0.30256372690200806,0.33834752440452576,0.3146366477012634,0.21473219990730286,0.38364991545677185,0.4394008219242096,0.17504876852035522,0.18075084686279297
vice-chair,0.23032350838184357,0.1707153022289276,0.32642263174057007,0.3217933177947998,0.24693191051483154,0.7847399711608887,0.22533968091011047,0.23485249280929565,0.2365192025899887,0.14705583453178406
ismail,0.13533760607242584,0.15627925097942352,0.43613070249557495,0.20763646066188812,0.23439355194568634,0.13622218370437622,0.21218781173229218,0.2209443747997284,0.18016979098320007,0.09844514727592468
el,0.06804928183555603,0.13261128962039948,0.3112443685531616,0.12582309544086456,0.20937582850456238,0.12001984566450119,0.17381444573402405,0.22364778816699982,0.1873530000448227,0.16662782430648804
gizouli,0.2776462435722351,0.2161160707473755,0.5272786021232605,0.22029715776443481,0.2857179343700409,0.21773971617221832,0.3302648663520813,0.3475729525089264,0.29974597692489624,0.23032115399837494
",",0.36674630641937256,0.3015086054801941,0.2773801386356354,0.21818605065345764,0.48816442489624023,0.13867062330245972,0.4946078956127167,0.4933079481124878,0.15590040385723114,0.31091248989105225
who,0.48282691836357117,0.34038686752319336,0.3242393434047699,0.24422749876976013,0.3923053741455078,0.204286128282547,0.2827862501144409,0.3733934462070465,0.21932992339134216,0.26220351457595825
was,0.37326499819755554,0.41399896144866943,0.26917096972465515,0.27222940325737,0.3677520453929901,0.2363465279340744,0.4069072902202606,0.48711544275283813,0.16744299232959747,0.18412111699581146
designated,0.16771680116653442,0.10455703735351562,0.19735637307167053,0.05470938980579376,0.30198028683662415,0.13635355234146118,0.22357919812202454,0.23178240656852722,0.10937461256980896,0.1318070888519287
acting,0.2619445025920868,0.21370171010494232,0.19283343851566315,0.2849186658859253,0.3539750576019287,0.15654899179935455,0.25130656361579895,0.26443079113960266,0.1154598593711853,0.15597198903560638
chair,0.18732446432113647,0.11691562831401825,0.1386682242155075,0.2557794153690338,0.17720340192317963,0.9999999403953552,0.20146237313747406,0.1899619996547699,0.2737242877483368,0.12348068505525589
after,0.5331412553787231,0.30330467224121094,0.23645003139972687,0.30199897289276123,0.3014480769634247,0.17037415504455566,0.3867455720901489,0.4565047025680542,0.07751352339982986,0.16608688235282898
the,0.5091903209686279,0.34736719727516174,0.2887033224105835,0.20793606340885162,0.48381632566452026,0.1899619996547699,0.733189046382904,1.0,0.24925659596920013,0.22068053483963013
resignation,0.261880487203598,0.17018069326877594,0.23052425682544708,0.6764830350875854,0.2645861804485321,0.2175367921590805,0.2197260707616806,0.22580647468566895,0.20068320631980896,0.16713038086891174
of,0.3757161796092987,0.2513895630836487,0.26019054651260376,0.21576671302318573,0.3886612355709076,0.20146237313747406,1.0,0.733189046382904,0.20174051821231842,0.1826142966747284
rajendra,0.12486545741558075,0.1696455031633377,0.4864397346973419,0.14638465642929077,0.25861799716949463,0.13215257227420807,0.24134209752082825,0.2506994307041168,0.2465311735868454,0.14685603976249695
k.,0.03603988140821457,0.11360865086317062,0.15060794353485107,0.17818927764892578,0.11162103712558746,0.022427834570407867,-0.024758286774158478,-0.04743805527687073,0.18108750879764557,0.4099535048007965
pachauri,0.18750816583633423,0.19359461963176727,0.9999999403953552,0.16331391036510468,0.2744612693786621,0.1386682242155075,0.26019054651260376,0.2887033224105835,0.25978317856788635,0.2064822018146515
in,0.4431333839893341,0.2593238651752472,0.2453491985797882,0.16034407913684845,0.3887844979763031,0.17214225232601166,0.5696388483047485,0.6662389636039734,0.1257958561182022,0.20430970191955566
february,0.2621206045150757,0.25426602363586426,0.2242630571126938,0.29157423973083496,0.2597405016422272,0.11514692008495331,0.20366249978542328,0.26483774185180664,0.1285850554704666,0.29594847559928894
2015,0.006577361840754747,0.02002497762441635,0.22151963412761688,0.05777548998594284,0.04859122261404991,0.015126904472708702,0.21138253808021545,0.1466771513223648,-0.0086481012403965,-0.029954981058835983
.,0.475719153881073,0.35288307070732117,0.2698054313659668,0.2191290706396103,0.515582263469696,0.1565769910812378,0.5352458953857422,0.5934505462646484,0.20098818838596344,0.4130953550338745
