,why,would,a,teacher,'s,college,exist,?
around,0.27834004163742065,0.2666807472705841,0.3187784254550934,0.13865794241428375,-0.039796680212020874,0.0783928856253624,0.24345481395721436,0.14729668200016022
the,0.30742117762565613,0.4133751392364502,0.5829201340675354,0.17760860919952393,-0.01540423184633255,0.19751401245594025,0.3024537265300751,0.22068053483963013
world,0.21353740990161896,0.22606314718723297,0.22239887714385986,0.1239258274435997,0.11877062171697617,0.1405039131641388,0.1531435251235962,0.17579582333564758
many,0.38531482219696045,0.33440667390823364,0.2872205972671509,0.16581547260284424,0.01698932610452175,0.20574161410331726,0.3568662405014038,0.2124512493610382
governments,0.20884954929351807,0.3086525499820709,0.22102735936641693,0.11148720234632492,0.03380228206515312,0.1758451610803604,0.29699471592903137,0.18805137276649475
operate,0.21329303085803986,0.29437458515167236,0.21306559443473816,0.13689784705638885,0.020892245694994926,0.13148728013038635,0.3168429732322693,0.16664595901966095
teacher,0.13404840230941772,0.18345347046852112,0.31202319264411926,0.9999998807907104,0.026857737451791763,0.39874279499053955,0.1074933111667633,0.1797819435596466
's,-0.016663772985339165,0.036968596279621124,0.04866964742541313,0.026857737451791763,0.9999999403953552,0.012106797657907009,0.047799836844205856,-0.023395681753754616
colleges,0.14995066821575165,0.18162360787391663,0.21794883906841278,0.3632963299751282,0.039614032953977585,0.7231911420822144,0.188734769821167,0.15586905181407928
",",0.2827242314815521,0.32586824893951416,0.427140474319458,0.2884024977684021,-0.0016132977325469255,0.23942269384860992,0.2977049946784973,0.31091248989105225
which,0.4444611668586731,0.3854503035545349,0.56894451379776,0.1306145042181015,0.03856118768453598,0.16956104338169098,0.3443399667739868,0.25814583897590637
are,0.3273901343345642,0.32024338841438293,0.265255331993103,0.09182974696159363,-0.008927806280553341,0.13193604350090027,0.4066506326198578,0.24591213464736938
generally,0.3794300854206085,0.36361581087112427,0.37653425335884094,0.12230245023965836,0.017207007855176926,0.11622904241085052,0.2948369085788727,0.23411904275417328
established,0.08588067442178726,0.11141114681959152,0.23500119149684906,0.16652779281139374,-0.05163693428039551,0.17657320201396942,0.25944283604621887,0.15917523205280304
to,0.4100138247013092,0.5965728163719177,0.45503583550453186,0.1991342306137085,0.03782717138528824,0.21170179545879364,0.2506487965583801,0.29463258385658264
serve,0.2097279131412506,0.3319612145423889,0.22927480936050415,0.12982116639614105,-0.06989327818155289,0.12826313078403473,0.22709493339061737,0.19925682246685028
and,0.27806392312049866,0.34921059012413025,0.3739250600337982,0.27571162581443787,0.06895173341035843,0.24619808793067932,0.2538236081600189,0.20544172823429108
protect,0.27875426411628723,0.26812005043029785,0.21272259950637817,0.05453856289386749,-0.06260327994823456,0.05976446345448494,0.2249269336462021,0.20180222392082214
the,0.30742117762565613,0.4133751392364502,0.5829201340675354,0.17760860919952393,-0.01540423184633255,0.19751401245594025,0.3024537265300751,0.22068053483963013
public,0.19395671784877777,0.2115112692117691,0.19607044756412506,0.23250755667686462,0.060657959431409836,0.20546965301036835,0.12310425192117691,0.19872993230819702
interest,0.30843985080718994,0.2439950704574585,0.2706421911716461,0.27719631791114807,-0.04592332988977432,0.12673011422157288,0.2072288990020752,0.2411724328994751
through,0.1861940324306488,0.25157630443573,0.3399752974510193,0.12142515927553177,-0.020649312064051628,0.1598307490348816,0.17776474356651306,0.16913433372974396
certifying,0.1948530077934265,0.1851193904876709,0.2652209997177124,0.2559151351451874,-0.06454572826623917,0.208319753408432,0.1632668375968933,0.28355228900909424
",",0.2827242314815521,0.32586824893951416,0.427140474319458,0.2884024977684021,-0.0016132977325469255,0.23942269384860992,0.2977049946784973,0.31091248989105225
governing,0.1399262696504593,0.18696090579032898,0.22193856537342072,0.10246554017066956,0.027716519311070442,0.16972728073596954,0.21588024497032166,0.15836504101753235
and,0.27806392312049866,0.34921059012413025,0.3739250600337982,0.27571162581443787,0.06895173341035843,0.24619808793067932,0.2538236081600189,0.20544172823429108
enforcing,0.2851843237876892,0.42369747161865234,0.2306765764951706,0.14574910700321198,-0.01609990745782852,0.07888251543045044,0.2513221502304077,0.24808692932128906
the,0.30742117762565613,0.4133751392364502,0.5829201340675354,0.17760860919952393,-0.01540423184633255,0.19751401245594025,0.3024537265300751,0.22068053483963013
standards,0.2293814867734909,0.2781592011451721,0.1997949630022049,0.13633975386619568,-0.015006564557552338,0.1820193976163864,0.2524208128452301,0.2011813372373581
of,0.28464117646217346,0.3353942930698395,0.5052502155303955,0.19968076050281525,-0.03817026689648628,0.2384195327758789,0.28013259172439575,0.1826142966747284
practice,0.2299521267414093,0.27087995409965515,0.27658340334892273,0.27965492010116577,0.06984969228506088,0.23494400084018707,0.20838534832000732,0.21386858820915222
for,0.3869043290615082,0.39877474308013916,0.44038116931915283,0.23373261094093323,-0.07241261005401611,0.22815082967281342,0.23112118244171143,0.264628142118454
the,0.30742117762565613,0.4133751392364502,0.5829201340675354,0.17760860919952393,-0.01540423184633255,0.19751401245594025,0.3024537265300751,0.22068053483963013
teaching,0.21033628284931183,0.22758165001869202,0.21643459796905518,0.6199770569801331,-0.021572323516011238,0.3922744691371918,0.1700516939163208,0.20424684882164001
profession,0.16072975099086761,0.2082192748785019,0.3185056746006012,0.439242959022522,-0.000873688084539026,0.2964911162853241,0.17004188895225525,0.13789935410022736
.,0.32909876108169556,0.35067233443260193,0.50484299659729,0.225234717130661,-0.003708066651597619,0.24378922581672668,0.29937607049942017,0.4130953550338745
