,why,did,tesla,sever,ties,with,his,family,?
in,0.23227278888225555,0.2593238651752472,0.17097744345664978,0.27816376090049744,0.16207359731197357,0.4080928862094879,0.3598145842552185,0.2165997177362442,0.20430970191955566
december,0.16465680301189423,0.2542226016521454,0.10906380414962769,0.22998066246509552,0.11137637495994568,0.14869219064712524,0.27263614535331726,0.15362727642059326,0.2480352818965912
1878,0.03752594068646431,-0.013777859508991241,0.013019487261772156,-0.09159871935844421,-0.05156758427619934,-0.012001215480268002,-0.05818820372223854,0.08086445182561874,0.08696702867746353
",",0.2827242314815521,0.3015086054801941,0.20599327981472015,0.2813892066478729,0.2590780258178711,0.4120737314224243,0.3378419280052185,0.22142739593982697,0.31091248989105225
tesla,0.1375875622034073,0.09757418930530548,0.9999999403953552,0.09201126545667648,0.017783600836992264,0.16424812376499176,0.1580733060836792,0.04926548898220062,0.10250775516033173
left,0.19035162031650543,0.27335280179977417,0.0739469900727272,0.1753721386194229,0.10115976631641388,0.219827800989151,0.25896263122558594,0.16823795437812805,0.13251960277557373
graz,0.14987793564796448,0.15470579266548157,0.27265462279319763,0.1362287998199463,0.1741011142730713,0.1714370846748352,0.24396251142024994,0.18229183554649353,0.19033589959144592
and,0.27806392312049866,0.34479495882987976,0.19560420513153076,0.2661329209804535,0.32915666699409485,0.5477725267410278,0.4234102666378021,0.23506124317646027,0.20544172823429108
severed,0.10013844072818756,0.17354895174503326,0.046775151044130325,0.5597174167633057,0.2516728639602661,0.30482953786849976,0.29303815960884094,0.1618720144033432,0.08613809198141098
all,0.3601224720478058,0.33943864703178406,0.14510658383369446,0.22099415957927704,0.1769353151321411,0.3876307010650635,0.30359330773353577,0.21070411801338196,0.29575422406196594
relations,0.1568055897951126,0.2268659770488739,0.1307172328233719,0.21782585978507996,0.44345059990882874,0.29748082160949707,0.27572527527809143,0.24941644072532654,0.13942402601242065
with,0.24107445776462555,0.25472134351730347,0.16424812376499176,0.26883018016815186,0.31800684332847595,0.9999999403953552,0.33836179971694946,0.16764762997627258,0.2433311939239502
his,0.19196097552776337,0.3546801507472992,0.1580733060836792,0.25624850392341614,0.23569729924201965,0.33836179971694946,0.9999998807907104,0.26740866899490356,0.18075084686279297
family,0.15713384747505188,0.19502942264080048,0.04926548898220062,0.16558422148227692,0.17053751647472382,0.16764762997627258,0.26740866899490356,0.9999998807907104,0.15222905576229095
to,0.4100138247013092,0.4452643394470215,0.17548894882202148,0.2239743024110794,0.21806193888187408,0.4239959120750427,0.3715193271636963,0.21285007894039154,0.29463258385658264
hide,0.31492888927459717,0.21967408061027527,0.047895822674036026,0.06155183166265488,0.12840870022773743,0.16185975074768066,0.1664278507232666,0.2279004156589508,0.280157208442688
the,0.30742117762565613,0.34736719727516174,0.1324402391910553,0.31148475408554077,0.21061654388904572,0.4223487675189972,0.4394008219242096,0.2394849956035614,0.22068053483963013
fact,0.47569704055786133,0.30747947096824646,0.19631604850292206,0.14050669968128204,0.16698315739631653,0.24442344903945923,0.2526119649410248,0.1852474957704544,0.2798655927181244
that,0.5601457357406616,0.47518548369407654,0.22102725505828857,0.17786040902137756,0.18667694926261902,0.4154358208179474,0.3173833191394806,0.2221977561712265,0.32716336846351624
he,0.26086166501045227,0.3292143940925598,0.12373391538858414,0.24635908007621765,0.16462571918964386,0.2845253646373749,0.7171558737754822,0.26473504304885864,0.2089974731206894
dropped,0.12283893674612045,0.3167249262332916,0.149772047996521,0.20160230994224548,0.1577630490064621,0.22939619421958923,0.20433175563812256,0.16268324851989746,0.1272711455821991
out,0.33142736554145813,0.28413498401641846,0.2017683982849121,0.14173586666584015,0.17617863416671753,0.3367781639099121,0.3022425174713135,0.11229555308818817,0.22020699083805084
of,0.28464117646217346,0.2513895630836487,0.18837453424930573,0.24654273688793182,0.14440490305423737,0.41827285289764404,0.38364991545677185,0.1893671154975891,0.1826142966747284
school,0.13372941315174103,0.19696208834648132,0.16295383870601654,0.1745728850364685,0.11625786870718002,0.13135014474391937,0.25444892048835754,0.19613710045814514,0.15091250836849213
.,0.32909876108169556,0.35288307070732117,0.17949827015399933,0.2278001755475998,0.20543749630451202,0.4446153938770294,0.3119256794452667,0.24114800989627838,0.4130953550338745
