,in,what,year,was,the,super,bowl,last,held,in,the,miami/south,florida,area,?
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.21959073841571808,0.21576224267482758,0.3698786795139313,0.32185450196266174,0.6662389636039734,1.0,0.33673715591430664,0.24091358482837677,0.37834644317626953,0.22068053483963013
south,0.33642083406448364,0.15388517081737518,0.18804097175598145,0.2792486846446991,0.3129390776157379,0.13015596568584442,0.17958779633045197,0.1511668711900711,0.2228555530309677,0.33642083406448364,0.3129390776157379,0.6084596514701843,0.26513609290122986,0.3531528413295746,0.12336621433496475
florida/miami,0.24693997204303741,0.1516270637512207,0.21515220403671265,0.2592602074146271,0.2696992754936218,0.2097877860069275,0.3453962206840515,0.18437734246253967,0.210771381855011,0.24693997204303741,0.2696992754936218,0.7210342288017273,0.9191710948944092,0.3288433849811554,0.17255498468875885
area,0.33632898330688477,0.21965408325195312,0.1947406381368637,0.24981513619422913,0.37834644317626953,0.09147491306066513,0.19680163264274597,0.1486259549856186,0.21001197397708893,0.33632898330688477,0.37834644317626953,0.4008174538612366,0.2439051866531372,1.0,0.12640461325645447
has,0.4173259735107422,0.20338068902492523,0.2526876926422119,0.40313825011253357,0.4177538752555847,0.15233033895492554,0.17163237929344177,0.21276867389678955,0.20941133797168732,0.4173259735107422,0.4177538752555847,0.3050927221775055,0.15315955877304077,0.3084876537322998,0.15994466841220856
previously,0.2762584090232849,0.24305304884910583,0.17864316701889038,0.41197097301483154,0.33854439854621887,0.24618855118751526,0.13252989947795868,0.28733351826667786,0.23809833824634552,0.2762584090232849,0.33854439854621887,0.2880895435810089,0.2061014175415039,0.1655423641204834,0.15811841189861298
hosted,0.2707974314689636,0.10146842896938324,0.1695714294910431,0.266493022441864,0.2576315402984619,0.1794566810131073,0.17901405692100525,0.17835794389247894,0.4446128308773041,0.2707974314689636,0.2576315402984619,0.26439541578292847,0.184020534157753,0.13607744872570038,0.09810540825128555
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.21959073841571808,0.21576224267482758,0.3698786795139313,0.32185450196266174,0.6662389636039734,1.0,0.33673715591430664,0.24091358482837677,0.37834644317626953,0.22068053483963013
event,0.27304479479789734,0.26981404423713684,0.27466505765914917,0.28341150283813477,0.2960145175457001,0.20683135092258453,0.22903870046138763,0.22930040955543518,0.45807647705078125,0.27304479479789734,0.2960145175457001,0.24457600712776184,0.18408998847007751,0.2332121580839157,0.16076280176639557
10,0.22690178453922272,0.11840458959341049,0.01397665310651064,0.16597506403923035,0.2880653440952301,0.053164973855018616,0.06414627283811569,0.03762996196746826,0.19603994488716125,0.22690178453922272,0.2880653440952301,0.18057048320770264,0.056678712368011475,0.20031359791755676,0.022911956533789635
times,0.2427823841571808,0.21414996683597565,0.306132435798645,0.2859917879104614,0.29093852639198303,0.19135531783103943,0.25533148646354675,0.27124476432800293,0.20805951952934265,0.2427823841571808,0.29093852639198303,0.2146729677915573,0.17718975245952606,0.19833897054195404,0.18880689144134521
(,0.3087427020072937,0.2411840260028839,0.2556702494621277,0.2980341613292694,0.33289089798927307,0.17553061246871948,0.15949074923992157,0.290768563747406,0.18327336013317108,0.3087427020072937,0.33289089798927307,0.27081215381622314,0.17940615117549896,0.18064655363559723,0.40561532974243164
tied,0.19519025087356567,0.13032014667987823,0.21488185226917267,0.27358072996139526,0.24453675746917725,0.15753702819347382,0.19662193953990936,0.2253817468881607,0.25682467222213745,0.19519025087356567,0.24453675746917725,0.203059121966362,0.14990445971488953,0.14836983382701874,0.14687292277812958
for,0.4322226941585541,0.3017193675041199,0.29294124245643616,0.3863949179649353,0.4739971458911896,0.22938419878482819,0.24430087208747864,0.3043119013309479,0.2495253086090088,0.4322226941585541,0.4739971458911896,0.27305489778518677,0.23894089460372925,0.20941852033138275,0.264628142118454
most,0.41416558623313904,0.3219912350177765,0.26422736048698425,0.29933857917785645,0.47635307908058167,0.22041858732700348,0.20814399421215057,0.27070826292037964,0.20313653349876404,0.41416558623313904,0.47635307908058167,0.2876974642276764,0.1407700926065445,0.2143535614013672,0.2107497900724411
with,0.4080928862094879,0.2464839518070221,0.3220449686050415,0.27411898970603943,0.4223487675189972,0.1518537551164627,0.18353787064552307,0.1975114792585373,0.1774713099002838,0.4080928862094879,0.4223487675189972,0.27909210324287415,0.14567138254642487,0.2303420901298523,0.2433311939239502
new,0.3758552670478821,0.2130378633737564,0.25045546889305115,0.2748313844203949,0.3845241069793701,0.2769954204559326,0.1471257209777832,0.19813843071460724,0.1381063163280487,0.3758552670478821,0.3845241069793701,0.3780641555786133,0.27774372696876526,0.16119444370269775,0.14782847464084625
orleans,0.20925204455852509,0.14538788795471191,0.2162962406873703,0.25941523909568787,0.22309443354606628,0.1912957727909088,0.3010152578353882,0.14278468489646912,0.1550019383430481,0.20925204455852509,0.22309443354606628,0.42564964294433594,0.4029251039028168,0.21813926100730896,0.13097690045833588
),0.3326910734176636,0.26259949803352356,0.24282371997833252,0.3267642855644226,0.3456730246543884,0.1971341073513031,0.16361013054847717,0.30915912985801697,0.1961527168750763,0.3326910734176636,0.3456730246543884,0.26637986302375793,0.17448092997074127,0.18319392204284668,0.42300865054130554
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.29026782512664795,0.2880980372428894,0.5201468467712402,0.4933079481124878,0.3684512972831726,0.21896368265151978,0.2664283812046051,0.31091248989105225
with,0.4080928862094879,0.2464839518070221,0.3220449686050415,0.27411898970603943,0.4223487675189972,0.1518537551164627,0.18353787064552307,0.1975114792585373,0.1774713099002838,0.4080928862094879,0.4223487675189972,0.27909210324287415,0.14567138254642487,0.2303420901298523,0.2433311939239502
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.21959073841571808,0.21576224267482758,0.3698786795139313,0.32185450196266174,0.6662389636039734,1.0,0.33673715591430664,0.24091358482837677,0.37834644317626953,0.22068053483963013
most,0.41416558623313904,0.3219912350177765,0.26422736048698425,0.29933857917785645,0.47635307908058167,0.22041858732700348,0.20814399421215057,0.27070826292037964,0.20313653349876404,0.41416558623313904,0.47635307908058167,0.2876974642276764,0.1407700926065445,0.2143535614013672,0.2107497900724411
recent,0.2857761085033417,0.24256184697151184,0.23897750675678253,0.2536894679069519,0.31046223640441895,0.2514570653438568,0.24412648379802704,0.39662089943885803,0.1415988653898239,0.2857761085033417,0.31046223640441895,0.2742522060871124,0.19586586952209473,0.22170385718345642,0.2544887959957123
one,0.4129433035850525,0.376489520072937,0.346388578414917,0.3752199709415436,0.5514441132545471,0.21711376309394836,0.19098831713199615,0.3381962776184082,0.25712814927101135,0.4129433035850525,0.5514441132545471,0.3341017961502075,0.1873392015695572,0.22590439021587372,0.2673267424106598
being,0.33162933588027954,0.3760843276977539,0.2561481297016144,0.5201660394668579,0.419739305973053,0.19301097095012665,0.16827359795570374,0.289389044046402,0.2188621312379837,0.33162933588027954,0.419739305973053,0.2581397593021393,0.21194590628147125,0.19597968459129333,0.26743772625923157
