,what,prize,did,peter,higgs,win,?
multiple,0.19839626550674438,0.17737391591072083,0.13390448689460754,0.08531338721513748,0.25864875316619873,0.11288236081600189,0.1591399908065796
circumnavigator,0.15190398693084717,0.1509966254234314,0.17331546545028687,0.2271532118320465,0.19983869791030884,0.24784401059150696,0.10119042545557022
david,0.1299152821302414,0.1553112417459488,0.15711668133735657,0.31673336029052734,0.12674972414970398,0.14035440981388092,0.04158485680818558
scott,0.09048497676849365,0.183063343167305,0.1324414312839508,0.23685616254806519,0.17207853496074677,0.17385730147361755,0.0875725969672203
cowper,0.1830899864435196,0.20330989360809326,0.19484548270702362,0.27034175395965576,0.2316916137933731,0.09915397316217422,0.15600058436393738
",",0.3087472915649414,0.28670501708984375,0.3015086054801941,0.2641889452934265,0.2295442670583725,0.2999197840690613,0.31091248989105225
nobel,0.20388969779014587,0.8436678051948547,0.18714043498039246,0.16152191162109375,0.3677954375743866,0.24203380942344666,0.15008176863193512
prize,0.1654435694217682,0.9999999403953552,0.20095181465148926,0.16204287111759186,0.3039360046386719,0.32561349868774414,0.14158497750759125
winning,0.10492657124996185,0.3867320418357849,0.29349252581596375,0.17953328788280487,0.17936775088310242,0.6084633469581604,0.1251823455095291
physicist,0.19407397508621216,0.4227965772151947,0.1487301141023636,0.21132105588912964,0.4261738955974579,0.18962199985980988,0.1378137767314911
peter,0.15377900004386902,0.16204287111759186,0.1588931679725647,1.0,0.21115167438983917,0.10829876363277435,0.11650477349758148
higgs,0.3127676546573639,0.3039360046386719,0.1440126597881317,0.21115167438983917,1.0,0.1706467717885971,0.23764504492282867
",",0.3087472915649414,0.28670501708984375,0.3015086054801941,0.2641889452934265,0.2295442670583725,0.2999197840690613,0.31091248989105225
and,0.31309178471565247,0.19794146716594696,0.34479495882987976,0.1996251344680786,0.16491621732711792,0.25380003452301025,0.20544172823429108
former,0.13598288595676422,0.07957658916711807,0.0988369733095169,0.1425015926361084,0.10793202370405197,0.14673057198524475,0.10570605844259262
wwe,0.19748395681381226,0.1603526771068573,0.15749233961105347,0.12543654441833496,0.2044946551322937,0.20920519530773163,0.18301190435886383
nxt,0.1851315200328827,0.22351966798305511,0.1329626441001892,0.09625868499279022,0.20071180164813995,0.2922573387622833,0.15114960074424744
champion,0.11434172838926315,0.18121586740016937,0.15843114256858826,0.10979168117046356,0.16600337624549866,0.4869506061077118,0.14080514013767242
neville,0.17929023504257202,0.10392149537801743,0.17631633579730988,0.29264912009239197,0.26473402976989746,0.2581224739551544,0.13867589831352234
were,0.22298263013362885,0.12308207899332047,0.4162326455116272,0.16788648068904877,0.11811099201440811,0.20955902338027954,0.17890112102031708
born,0.16581368446350098,0.2505415081977844,0.15831230580806732,0.18530291318893433,0.20123213529586792,0.24817746877670288,0.19166848063468933
in,0.30808621644973755,0.21274791657924652,0.2593238651752472,0.168073832988739,0.14041756093502045,0.2503834664821625,0.20430970191955566
the,0.42745697498321533,0.18969248235225677,0.34736719727516174,0.24086274206638336,0.19618834555149078,0.28308698534965515,0.22068053483963013
city,0.17493832111358643,0.13560126721858978,0.12266099452972412,0.19212652742862701,0.08469197899103165,0.19820645451545715,0.13423943519592285
.,0.3567904531955719,0.24712836742401123,0.35288307070732117,0.2575187087059021,0.21551112830638885,0.25577837228775024,0.4130953550338745
