,how,long,did,tesla,spend,redesigning,the,motor,and,generators,?
after,0.23871733248233795,0.25804978609085083,0.30330467224121094,0.0752151682972908,0.25444483757019043,0.17210839688777924,0.4565047025680542,0.09285293519496918,0.3765919506549835,0.12152152508497238,0.16608688235282898
months,0.22324973344802856,0.34182459115982056,0.29584890604019165,0.07674213498830795,0.3785887658596039,0.21208007633686066,0.2680157423019409,0.13229835033416748,0.2746278941631317,0.1618756502866745,0.2804218530654907
of,0.2480744868516922,0.2567519545555115,0.2513895630836487,0.18837453424930573,0.2479970008134842,0.20711636543273926,0.733189046382904,0.20839329063892365,0.5116966962814331,0.2220006138086319,0.1826142966747284
work,0.38187548518180847,0.19637826085090637,0.336654931306839,0.2545209228992462,0.36101022362709045,0.33441051840782166,0.2704800069332123,0.15267574787139893,0.37551814317703247,0.2337580919265747,0.2621155381202698
",",0.22659391164779663,0.3431144952774048,0.3015086054801941,0.20599327981472015,0.2790883779525757,0.21547764539718628,0.4933079481124878,0.16592276096343994,0.6633074283599854,0.21559548377990723,0.31091248989105225
tesla,0.19128404557704926,0.14681872725486755,0.09757418930530548,0.9999999403953552,0.03899729624390602,0.2946285307407379,0.1324402391910553,0.3617369830608368,0.19560420513153076,0.3713798522949219,0.10250775516033173
fulfilled,0.22815804183483124,0.12323835492134094,0.3298371136188507,0.1076027974486351,0.2622273564338684,0.2557525634765625,0.29782068729400635,0.12834163010120392,0.2897023558616638,0.113363116979599,0.23714420199394226
the,0.33890387415885925,0.3075225353240967,0.34736719727516174,0.1324402391910553,0.21215185523033142,0.3127821087837219,1.0,0.26024484634399414,0.5171257257461548,0.2787470817565918,0.22068053483963013
task,0.3436976969242096,0.1721419394016266,0.1997641772031784,0.14715448021888733,0.3114193081855774,0.28127044439315796,0.22566188871860504,0.17040812969207764,0.23869574069976807,0.21289721131324768,0.289821058511734
and,0.33647966384887695,0.3395216166973114,0.34479495882987976,0.19560420513153076,0.2863690257072449,0.20784029364585876,0.5171257257461548,0.20162664353847504,1.0,0.2554577887058258,0.20544172823429108
inquired,0.15692254900932312,0.10818102210760117,0.2363477498292923,0.17333944141864777,0.11178981512784958,0.248520165681839,0.2903255522251129,0.1759989857673645,0.22336074709892273,0.18012429773807526,0.2086907923221588
about,0.44264400005340576,0.39844584465026855,0.28723078966140747,0.16756023466587067,0.28448039293289185,0.1716352254152298,0.37995871901512146,0.16160744428634644,0.3875081241130829,0.17818765342235565,0.302409827709198
payment,0.19359762966632843,0.10023220628499985,0.18888795375823975,0.2469467669725418,0.24077260494232178,0.2550186812877655,0.22787606716156006,0.20634965598583221,0.21492411196231842,0.2324281930923462,0.174774169921875
.,0.3287222981452942,0.3247973620891571,0.35288307070732117,0.17949827015399933,0.26459771394729614,0.2673731744289398,0.5934505462646484,0.19128412008285522,0.588965117931366,0.23543702065944672,0.4130953550338745
