,what,replaced,the,sky+box,?
in,0.30808621644973755,0.2068215310573578,0.6662389636039734,0.29786503314971924,0.20430970191955566
january,0.19257698953151703,0.16963112354278564,0.2467057853937149,0.18530762195587158,0.28608936071395874
2010,0.2741409242153168,0.09278565645217896,0.31722962856292725,0.17511765658855438,0.21232788264751434
bskyb,0.17457032203674316,0.16787412762641907,0.20915858447551727,0.518721342086792,0.2979319989681244
discontinued,0.17781729996204376,0.4241970479488373,0.23268692195415497,0.31312331557273865,0.16722558438777924
the,0.42745697498321533,0.2645455598831177,1.0,0.3158526122570038,0.22068053483963013
sky+,0.12067124247550964,0.1718284785747528,0.2895233631134033,0.7015733122825623,0.13872939348220825
box,0.20509275794029236,0.1384223997592926,0.25871407985687256,0.5924498438835144,0.21736569702625275
",",0.3087472915649414,0.21472671627998352,0.4933079481124878,0.27187034487724304,0.31091248989105225
limited,0.23110276460647583,0.1763313114643097,0.2757521867752075,0.22392059862613678,0.09444807469844818
the,0.42745697498321533,0.2645455598831177,1.0,0.3158526122570038,0.22068053483963013
standard,0.22809998691082,0.21946167945861816,0.29008856415748596,0.31759533286094666,0.17029257118701935
sky,0.16493305563926697,0.06885432451963425,0.26521286368370056,0.5117096900939941,0.11270341277122498
box,0.20509275794029236,0.1384223997592926,0.25871407985687256,0.5924498438835144,0.21736569702625275
to,0.455847829580307,0.2211306393146515,0.535392165184021,0.2852213978767395,0.29463258385658264
multiroom,0.2151329219341278,0.25059476494789124,0.2565760910511017,0.44439697265625,0.14623306691646576
upgrade,0.18096618354320526,0.3101561665534973,0.2122071534395218,0.3455691635608673,0.17494012415409088
only,0.41415658593177795,0.2796187400817871,0.5497692227363586,0.2965787947177887,0.2767370045185089
and,0.31309178471565247,0.2584592401981354,0.5171257257461548,0.2559717297554016,0.20544172823429108
started,0.21609699726104736,0.26713284850120544,0.3222070634365082,0.17900702357292175,0.19447724521160126
to,0.455847829580307,0.2211306393146515,0.535392165184021,0.2852213978767395,0.29463258385658264
issue,0.32369524240493774,0.09051644057035446,0.22164808213710785,0.19204667210578918,0.32172858715057373
the,0.42745697498321533,0.2645455598831177,1.0,0.3158526122570038,0.22068053483963013
sky+hd,0.20940111577510834,0.20278920233249664,0.3039562702178955,0.6960493922233582,0.17647938430309296
box,0.20509275794029236,0.1384223997592926,0.25871407985687256,0.5924498438835144,0.21736569702625275
as,0.31749409437179565,0.33300021290779114,0.48381632566452026,0.24576857686042786,0.27043893933296204
standard,0.22809998691082,0.21946167945861816,0.29008856415748596,0.31759533286094666,0.17029257118701935
",",0.3087472915649414,0.21472671627998352,0.4933079481124878,0.27187034487724304,0.31091248989105225
thus,0.30745524168014526,0.1749611794948578,0.4036877751350403,0.25824323296546936,0.18769288063049316
giving,0.28628480434417725,0.054952338337898254,0.3626074492931366,0.12740129232406616,0.2052922248840332
all,0.41981086134910583,0.17400026321411133,0.4860881567001343,0.2994133234024048,0.29575422406196594
new,0.2130378633737564,0.19021332263946533,0.3845241069793701,0.30898281931877136,0.14782847464084625
subscribers,0.19859471917152405,0.08460107445716858,0.2519393563270569,0.33999478816986084,0.2567959725856781
the,0.42745697498321533,0.2645455598831177,1.0,0.3158526122570038,0.22068053483963013
functions,0.22357098758220673,0.13900092244148254,0.2567043900489807,0.28561294078826904,0.13745930790901184
of,0.33290785551071167,0.20067165791988373,0.733189046382904,0.18921113014221191,0.1826142966747284
sky+,0.12067124247550964,0.1718284785747528,0.2895233631134033,0.7015733122825623,0.13872939348220825
.,0.3567904531955719,0.2553439438343048,0.5934505462646484,0.3317359387874603,0.4130953550338745
