,what,was,the,target,percentage,of,households,bskyb,wanted,to,reach,?
confirming,0.29070624709129333,0.29663118720054626,0.3460308313369751,0.2302343100309372,0.16634197533130646,0.30918073654174805,0.12769590318202972,0.12070678174495697,0.24199163913726807,0.28467100858688354,0.1522519290447235,0.2766484320163727
it,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.25045228004455566,0.26621147990226746,0.38761502504348755,0.192594975233078,0.16915087401866913,0.25168225169181824,0.513711154460907,0.27278128266334534,0.25732165575027466
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.12925851345062256,0.17636419832706451,0.37755560874938965,0.29948997497558594,0.14911578595638275,0.5502877235412598,0.37984350323677063,0.21661508083343506,0.20728366076946259
reached,0.20202487707138062,0.3110939562320709,0.29860952496528625,0.10796201974153519,0.16297103464603424,0.18604008853435516,0.16806788742542267,0.09794140607118607,0.17758139967918396,0.20677556097507477,0.6885289549827576,0.1518019139766693
its,0.30393704771995544,0.3518870174884796,0.559237003326416,0.2276940494775772,0.2212667465209961,0.48690423369407654,0.1553763896226883,0.16232934594154358,0.20386196672916412,0.3691340684890747,0.2553219795227051,0.15103481709957123
target,0.22247901558876038,0.10821832716464996,0.25054478645324707,0.9999999403953552,0.21757851541042328,0.15346646308898926,0.16463902592658997,0.1496441513299942,0.1503933072090149,0.275001585483551,0.24867957830429077,0.24974246323108673
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.19288919866085052,0.21945469081401825,0.4946078956127167,0.2694286108016968,0.2852807641029358,0.2753742039203644,0.44245919585227966,0.2441277652978897,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.25054478645324707,0.2736506462097168,0.733189046382904,0.26440316438674927,0.20915858447551727,0.3011050522327423,0.535392165184021,0.31808504462242126,0.22068053483963013
broadcaster,0.13187484443187714,0.2724062502384186,0.1970033198595047,0.11429587006568909,0.16413035988807678,0.15151214599609375,0.16733533143997192,0.265547513961792,0.12078122049570084,0.15827877819538116,0.10592806339263916,0.13187550008296967
said,0.3951668441295624,0.43711766600608826,0.3024602234363556,0.11658449470996857,0.1716044694185257,0.29014745354652405,0.18460826575756073,0.14232036471366882,0.5324009656906128,0.34274402260780334,0.18572008609771729,0.28991883993148804
its,0.30393704771995544,0.3518870174884796,0.559237003326416,0.2276940494775772,0.2212667465209961,0.48690423369407654,0.1553763896226883,0.16232934594154358,0.20386196672916412,0.3691340684890747,0.2553219795227051,0.15103481709957123
reach,0.23399507999420166,0.15866006910800934,0.31808504462242126,0.24867957830429077,0.21796584129333496,0.20552729070186615,0.18237626552581787,0.09845954179763794,0.1722634732723236,0.37959611415863037,1.0,0.13152138888835907
into,0.2180619090795517,0.2322220653295517,0.39493247866630554,0.1883350908756256,0.12550069391727448,0.32255905866622925,0.14680273830890656,0.15044942498207092,0.14539697766304016,0.38810545206069946,0.21155856549739838,0.15662476420402527
36,-0.22702908515930176,-0.17483988404273987,-0.13033781945705414,-0.06244169548153877,-0.07134682685136795,-0.08931336551904678,0.008949441835284233,-0.2724464237689972,-0.2566094994544983,-0.21620690822601318,-0.13166195154190063,-0.2611904740333557
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.2120290845632553,0.5639340281486511,0.19953428208827972,0.4648574888706207,0.2214018702507019,0.12280823290348053,0.18513022363185883,0.18271619081497192,0.21441808342933655
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.15346646308898926,0.24724560976028442,1.0,0.2765655219554901,0.16413870453834534,0.28092440962791443,0.41548454761505127,0.20552729070186615,0.1826142966747284
households,0.1889873743057251,0.17632555961608887,0.26440316438674927,0.16463902592658997,0.4049142301082611,0.2765655219554901,1.0000001192092896,0.17223213613033295,0.19140829145908356,0.2464071661233902,0.18237626552581787,0.17362827062606812
