,what,was,the,importance,of,the,congress,?
nevertheless,0.3331672251224518,0.2595745027065277,0.29583513736724854,0.36008578538894653,0.2589026987552643,0.29583513736724854,0.20065152645111084,0.12207362055778503
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2806650400161743,0.4946078956127167,0.4933079481124878,0.1747896373271942,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.2901651859283447,0.733189046382904,1.0,0.27082565426826477,0.22068053483963013
format,0.16273964941501617,0.1396103948354721,0.21678368747234344,0.054903700947761536,0.1439143568277359,0.21678368747234344,0.20593582093715668,0.2222042977809906
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.30354931950569153,1.0,0.733189046382904,0.2447044849395752,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.2901651859283447,0.733189046382904,1.0,0.27082565426826477,0.22068053483963013
congress,0.16679982841014862,0.23910820484161377,0.27082565426826477,0.2026582658290863,0.2447044849395752,0.27082565426826477,1.0,0.2020287960767746
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.31810495257377625,0.5116966962814331,0.5171257257461548,0.19613592326641083,0.20544172823429108
many,0.36131182312965393,0.260356068611145,0.4335206151008606,0.38511335849761963,0.37253960967063904,0.4335206151008606,0.17146539688110352,0.2124512493610382
specifics,0.4171423316001892,0.13402016460895538,0.3180072605609894,0.3113757073879242,0.2384362518787384,0.3180072605609894,0.17167864739894867,0.3348795473575592
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.30354931950569153,1.0,0.733189046382904,0.2447044849395752,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.2901651859283447,0.733189046382904,1.0,0.27082565426826477,0.22068053483963013
plan,0.2947953939437866,0.2407723069190979,0.2852855324745178,0.1107935905456543,0.2742128372192383,0.2852855324745178,0.2513138949871063,0.1961054503917694
became,0.1434093862771988,0.6575068235397339,0.36325156688690186,0.2370743751525879,0.3638904094696045,0.36325156688690186,0.20276810228824615,0.11374033987522125
the,0.42745697498321533,0.48711544275283813,1.0,0.2901651859283447,0.733189046382904,1.0,0.27082565426826477,0.22068053483963013
prototype,0.13903237879276276,0.2668575942516327,0.21771349012851715,0.08933562785387039,0.12379930168390274,0.21771349012851715,0.12760108709335327,0.159245103597641
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.30082738399505615,0.4185989499092102,0.4739971458911896,0.2006673514842987,0.264628142118454
confederation,0.1672668308019638,0.254781037569046,0.338320255279541,0.22380605340003967,0.3036113679409027,0.338320255279541,0.47250720858573914,0.1559038907289505
during,0.24137552082538605,0.4470829963684082,0.4838213622570038,0.2514035105705261,0.3869180977344513,0.4838213622570038,0.21441522240638733,0.1325719803571701
the,0.42745697498321533,0.48711544275283813,1.0,0.2901651859283447,0.733189046382904,1.0,0.27082565426826477,0.22068053483963013
war,0.22516006231307983,0.3560331463813782,0.366199791431427,0.24026210606098175,0.31680163741111755,0.366199791431427,0.2857903838157654,0.15510529279708862
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.30354931950569153,1.0,0.733189046382904,0.2447044849395752,0.1826142966747284
independence,0.24622133374214172,0.24797119200229645,0.2836182415485382,0.2830055356025696,0.2965129017829895,0.2836182415485382,0.4364767074584961,0.12301119416952133
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.22653226554393768,0.5352458953857422,0.5934505462646484,0.2424917221069336,0.4130953550338745
