,when,did,watt,finish,the,development,of,his,improvements,to,newcomen,'s,engine,?
the,0.5091903209686279,0.34736719727516174,0.1903349757194519,0.23846492171287537,1.0,0.3362044394016266,0.733189046382904,0.4394008219242096,0.269887775182724,0.535392165184021,0.2645798325538635,-0.01540423184633255,0.21651263535022736,0.22068053483963013
next,0.31436362862586975,0.22386232018470764,0.1462242156267166,0.28840380907058716,0.35833123326301575,0.18242980539798737,0.2935165464878082,0.25353002548217773,0.24879109859466553,0.3416391611099243,0.17607399821281433,-0.056625429540872574,0.08792553842067719,0.167460098862648
major,0.17186790704727173,0.20997437834739685,0.10147612541913986,0.14983020722866058,0.31775903701782227,0.24778911471366882,0.2641255557537079,0.17332184314727783,0.26665881276130676,0.19240309298038483,0.09320186078548431,-0.010959804058074951,0.13686148822307587,0.19788557291030884
step,0.21440967917442322,0.14902596175670624,0.16212764382362366,0.2751625180244446,0.20505109429359436,0.24648255109786987,0.22579428553581238,0.22305911779403687,0.2539220452308655,0.29304254055023193,0.0927758440375328,-0.02321682497859001,0.20972295105457306,0.23299238085746765
occurred,0.221700981259346,0.2772168517112732,0.08278550207614899,0.11531037837266922,0.3372073173522949,0.2254222333431244,0.31296631693840027,0.17678846418857574,0.23591956496238708,0.16706319153308868,0.13261474668979645,-0.034319814294576645,0.1169285699725151,0.15880417823791504
when,0.9999999403953552,0.3228907287120819,0.19903084635734558,0.25343891978263855,0.5091903209686279,0.19914807379245758,0.3757161796092987,0.37120407819747925,0.1994951218366623,0.5423505902290344,0.16854435205459595,-0.03368149697780609,0.2008768618106842,0.22841128706932068
james,0.2130039930343628,0.20904116332530975,0.3038761615753174,0.09798260778188705,0.22481533885002136,0.13748589158058167,0.18323110044002533,0.30549123883247375,0.1464521437883377,0.22204333543777466,0.1816493570804596,0.043919146060943604,0.14642857015132904,0.12139993160963058
watt,0.19903084635734558,0.17172856628894806,1.0,0.15532459318637848,0.1903349757194519,0.22241365909576416,0.21599632501602173,0.20514556765556335,0.25721684098243713,0.18281418085098267,0.25657278299331665,-0.022533712908625603,0.31998884677886963,0.16354146599769592
developed,0.19180624186992645,0.24445466697216034,0.17929807305335999,0.05579730123281479,0.24490751326084137,0.5277126431465149,0.21960023045539856,0.17389048635959625,0.2943444848060608,0.19491806626319885,0.10023465007543564,0.04590931162238121,0.25843650102615356,0.10763012617826462
(,0.2459595799446106,0.18979617953300476,0.20556430518627167,0.1564323902130127,0.33289089798927307,0.1779509335756302,0.35032153129577637,0.16098198294639587,0.22710931301116943,0.30882009863853455,0.23320816457271576,0.0012731997994706035,0.11642640084028244,0.40561532974243164
1763–1775,0.05603468790650368,0.0016756950644776225,-0.07070828229188919,0.0083958450704813,0.023404328152537346,0.040641773492097855,0.05005640164017677,-0.10486701130867004,0.07793524861335754,0.06741807609796524,-0.0688188448548317,-0.039704401046037674,0.03855080530047417,0.14145879447460175
),0.2538422644138336,0.18584993481636047,0.2012144923210144,0.17806127667427063,0.3456730246543884,0.19437392055988312,0.3680361211299896,0.18606403470039368,0.23869973421096802,0.31236231327056885,0.2550394833087921,0.021107977256178856,0.12827058136463165,0.42300865054130554
an,0.33026179671287537,0.22598257660865784,0.16085246205329895,0.1008419618010521,0.4207492768764496,0.199787899851799,0.32280945777893066,0.24025635421276093,0.22045299410820007,0.3138085603713989,0.17987559735774994,0.025255560874938965,0.18337401747703552,0.19793890416622162
improved,0.22863540053367615,0.27103501558303833,0.26211056113243103,0.23344409465789795,0.21394658088684082,0.33958348631858826,0.21225644648075104,0.25343307852745056,0.7339924573898315,0.22972281277179718,0.2656186819076538,0.043154362589120865,0.35964372754096985,0.22755856812000275
version,0.20694629848003387,0.21677692234516144,0.1191042885184288,0.16828908026218414,0.27268242835998535,0.24453090131282806,0.14166875183582306,0.15563099086284637,0.2952105402946472,0.24018406867980957,0.1728828251361847,-0.009124638512730598,0.23894956707954407,0.2573966085910797
