,in,what,type,of,molecules,are,oxygen,found,?
the,0.6662389636039734,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2374771386384964,0.40399202704429626,0.20428593456745148,0.3452354073524475,0.22068053483963013
element,0.16983667016029358,0.24694041907787323,0.3095826804637909,0.21102571487426758,0.36058488488197327,0.18915845453739166,0.35867807269096375,0.19412413239479065,0.18393386900424957
is,0.5394441485404968,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.20481984317302704,0.5330929756164551,0.21825239062309265,0.3526395261287689,0.22961433231830597
found,0.39141854643821716,0.1796332150697708,0.17831085622310638,0.2982911467552185,0.1582992672920227,0.2740558087825775,0.1673429310321808,0.9999999403953552,0.16790300607681274
in,1.0,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2197362184524536,0.3841303884983063,0.1672476977109909,0.39141854643821716,0.20430970191955566
almost,0.3422279357910156,0.2467888444662094,0.18003590404987335,0.3144364058971405,0.1483774483203888,0.34548285603523254,0.17669527232646942,0.2764711081981659,0.1372147500514984
all,0.3335905969142914,0.41981086134910583,0.21204189956188202,0.42798417806625366,0.2254909873008728,0.5343062281608582,0.22770634293556213,0.24743787944316864,0.29575422406196594
biomolecules,0.2893311083316803,0.23952345550060272,0.20124010741710663,0.30919113755226135,0.9261598587036133,0.3925575017929077,0.5253282785415649,0.20606178045272827,0.16725566983222961
that,0.435920387506485,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.29100579023361206,0.45265161991119385,0.2717767655849457,0.29063743352890015,0.32716336846351624
are,0.3841303884983063,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.3300325572490692,1.0,0.24342744052410126,0.2740558087825775,0.24591213464736938
important,0.3796374499797821,0.31164905428886414,0.215251624584198,0.43301743268966675,0.21085958182811737,0.33294984698295593,0.19456547498703003,0.21520721912384033,0.17812499403953552
to,0.45010748505592346,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2749134600162506,0.3504326641559601,0.24193501472473145,0.25225648283958435,0.29463258385658264
(,0.3087427020072937,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.18329155445098877,0.23263892531394958,0.189798504114151,0.1583331823348999,0.40561532974243164
or,0.3586423695087433,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.3301488161087036,0.5374364256858826,0.2669152021408081,0.22172152996063232,0.32389625906944275
generated,0.19890514016151428,0.2341722995042801,0.2759529650211334,0.27549460530281067,0.30513566732406616,0.2570653259754181,0.24160659313201904,0.277922123670578,0.28358349204063416
by,0.370934396982193,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.22475433349609375,0.37842893600463867,0.1292176991701126,0.17248263955116272,0.17966607213020325
),0.3326910734176636,0.26259949803352356,0.18612703680992126,0.3680361211299896,0.17004519701004028,0.2373749315738678,0.19541971385478973,0.16750772297382355,0.42300865054130554
life,0.27054134011268616,0.24693015217781067,0.15995503962039948,0.2788603901863098,0.1861208826303482,0.194062277674675,0.27629178762435913,0.18346527218818665,0.21677987277507782
.,0.5591574311256409,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.25748172402381897,0.3452940285205841,0.2554275095462799,0.3618174195289612,0.4130953550338745
