,because,of,the,danger,inherent,in,concentrated,oxygen,",",what,is,a,concern,about,keeping,it,?
steel,0.1998540759086609,0.21713677048683167,0.23159778118133545,0.15705879032611847,0.09226519614458084,0.15349873900413513,0.1749914586544037,0.24806176126003265,0.21332605183124542,0.1452551931142807,0.17788487672805786,0.21665041148662567,0.11198214441537857,0.16791439056396484,0.12863436341285706,0.16397057473659515,0.15723858773708344
pipes,0.2592736482620239,0.1556324064731598,0.21330536901950836,0.2003072053194046,0.14968164265155792,0.16140933334827423,0.25091809034347534,0.3190501928329468,0.21031174063682556,0.15654517710208893,0.20837338268756866,0.21143141388893127,0.1605442762374878,0.11020282655954361,0.24380333721637726,0.22850291430950165,0.20887963473796844
and,0.5069696307182312,0.5116966962814331,0.5171257257461548,0.30210548639297485,0.25088801980018616,0.4954058527946472,0.337016761302948,0.22261030972003937,0.6633074283599854,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.2441520392894745,0.3875081241130829,0.28098368644714355,0.40957894921302795,0.20544172823429108
storage,0.23456422984600067,0.24337847530841827,0.22913692891597748,0.16453325748443604,0.2587811350822449,0.2390899360179901,0.21596676111221313,0.23631079494953156,0.1611064225435257,0.18395499885082245,0.23896168172359467,0.2568609416484833,0.18588486313819885,0.1635058969259262,0.3242053687572479,0.20538614690303802,0.15578968822956085
vessels,0.2458382099866867,0.23589366674423218,0.2874694764614105,0.19104988873004913,0.18009014427661896,0.12977609038352966,0.24027083814144135,0.4044823944568634,0.18216577172279358,0.16299140453338623,0.1639316976070404,0.19362807273864746,0.11393977701663971,0.11948209255933762,0.22252607345581055,0.2159772366285324,0.11436066776514053
used,0.3645826578140259,0.3075267970561981,0.3718377649784088,0.2696993350982666,0.23630274832248688,0.3090210556983948,0.2972164452075958,0.21276918053627014,0.3120402991771698,0.27546408772468567,0.3288823366165161,0.3864384889602661,0.2406754493713379,0.2304701954126358,0.2361437827348709,0.3575260639190674,0.22430120408535004
to,0.5166091918945312,0.41548454761505127,0.535392165184021,0.2797633111476898,0.24480590224266052,0.45010748505592346,0.2865214943885803,0.24193501472473145,0.44245919585227966,0.455847829580307,0.42745086550712585,0.45503583550453186,0.29657939076423645,0.391953706741333,0.2579748034477234,0.513711154460907,0.29463258385658264
store,0.23413041234016418,0.21870145201683044,0.2639283239841461,0.11439496278762817,0.0992438867688179,0.3481425344944,0.15192006528377533,0.13953526318073273,0.27140161395072937,0.18931551277637482,0.24926087260246277,0.25129345059394836,0.13259096443653107,0.1898195743560791,0.21165773272514343,0.2465267926454544,0.17555226385593414
and,0.5069696307182312,0.5116966962814331,0.5171257257461548,0.30210548639297485,0.25088801980018616,0.4954058527946472,0.337016761302948,0.22261030972003937,0.6633074283599854,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.2441520392894745,0.3875081241130829,0.28098368644714355,0.40957894921302795,0.20544172823429108
transmit,0.24055540561676025,0.20769038796424866,0.2503734529018402,0.22823432087898254,0.2792472541332245,0.14338745176792145,0.12403158843517303,0.23560641705989838,0.17895877361297607,0.21877305209636688,0.20121359825134277,0.23485954105854034,0.20936278998851776,0.21577391028404236,0.22597970068454742,0.2075878530740738,0.16771046817302704
both,0.4347982704639435,0.3565710783004761,0.4931981563568115,0.19004873931407928,0.23964615166187286,0.3960166871547699,0.2673906087875366,0.21540284156799316,0.38080528378486633,0.3361809551715851,0.31409940123558044,0.3171786069869995,0.26819711923599243,0.24329400062561035,0.32041582465171814,0.37194210290908813,0.19455738365650177
gaseous,0.2690889835357666,0.31292828917503357,0.28062355518341064,0.16203349828720093,0.3912814259529114,0.22336186468601227,0.3400578796863556,0.5299525260925293,0.20976068079471588,0.28648024797439575,0.2596348226070404,0.2712211012840271,0.25026026368141174,0.1855856329202652,0.23071029782295227,0.26851367950439453,0.1947249323129654
and,0.5069696307182312,0.5116966962814331,0.5171257257461548,0.30210548639297485,0.25088801980018616,0.4954058527946472,0.337016761302948,0.22261030972003937,0.6633074283599854,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.2441520392894745,0.3875081241130829,0.28098368644714355,0.40957894921302795,0.20544172823429108
liquid,0.27218613028526306,0.2296105921268463,0.25047987699508667,0.15166068077087402,0.21625059843063354,0.19967526197433472,0.371730774641037,0.4322830140590668,0.18898124992847443,0.24017377197742462,0.2801579535007477,0.2669180929660797,0.14498834311962128,0.15272241830825806,0.20557351410388947,0.33848634362220764,0.18412289023399353
oxygen,0.28859952092170715,0.16848602890968323,0.20428593456745148,0.25070303678512573,0.21546083688735962,0.1672476977109909,0.2913258969783783,0.9999999403953552,0.21812842786312103,0.16781960427761078,0.21825239062309265,0.21662019193172455,0.16989760100841522,0.1566355675458908,0.190448597073555,0.26699385046958923,0.16786395013332367
will,0.4218653738498688,0.2473582625389099,0.3635469079017639,0.24517245590686798,0.21028845012187958,0.2580665349960327,0.17168664932250977,0.2768942415714264,0.29706671833992004,0.3510494530200958,0.3723262846469879,0.3401327431201935,0.26731306314468384,0.22317971289157867,0.24594347178936005,0.33041369915008545,0.35046905279159546
