,how,many,yards,was,the,missed,field,goal,?
but,0.43101516366004944,0.46599987149238586,0.16519498825073242,0.36023372411727905,0.4859698414802551,0.3748616874217987,0.22850951552391052,0.20926803350448608,0.27921953797340393
the,0.33890387415885925,0.4335206151008606,0.16070343554019928,0.48711544275283813,1.0,0.24222715198993683,0.2105809599161148,0.2443244755268097,0.22068053483963013
broncos,0.11217407882213593,0.1706678420305252,0.4475782513618469,0.23574475944042206,0.25985947251319885,0.25025475025177,0.17617598176002502,0.2679499089717865,0.18377114832401276
defense,0.14550013840198517,0.1536635160446167,0.2856094241142273,0.2295428365468979,0.2604767382144928,0.11307907849550247,0.21468985080718994,0.2372472584247589,0.21935760974884033
halted,0.1441645473241806,0.1555916965007782,0.29412949085235596,0.29067519307136536,0.29331764578819275,0.3409339487552643,0.2204175889492035,0.2825532853603363,0.202400803565979
the,0.33890387415885925,0.4335206151008606,0.16070343554019928,0.48711544275283813,1.0,0.24222715198993683,0.2105809599161148,0.2443244755268097,0.22068053483963013
drive,0.1935412734746933,0.18613727390766144,0.2445821315050125,0.18442629277706146,0.2083187699317932,0.17743602395057678,0.10428697615861893,0.27302247285842896,0.11447915434837341
on,0.32655060291290283,0.32520127296447754,0.15043845772743225,0.3909217119216919,0.5107308030128479,0.26678919792175293,0.192391499876976,0.2157920002937317,0.2714994251728058
the,0.33890387415885925,0.4335206151008606,0.16070343554019928,0.48711544275283813,1.0,0.24222715198993683,0.2105809599161148,0.2443244755268097,0.22068053483963013
26-yard,0.2622947096824646,0.21061858534812927,0.5442695617675781,0.33888426423072815,0.3325693905353546,0.2482176423072815,0.28308311104774475,0.25667035579681396,0.134776771068573
line,0.15736231207847595,0.12717783451080322,0.2396935075521469,0.1765366792678833,0.29789501428604126,0.13398271799087524,0.21467329561710358,0.19901156425476074,0.16271452605724335
",",0.22659391164779663,0.40610817074775696,0.16944201290607452,0.45456063747406006,0.4933079481124878,0.30212050676345825,0.27645614743232727,0.2145523726940155,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.22108176350593567,0.3740963041782379,0.5171257257461548,0.19218409061431885,0.26487240195274353,0.20885969698429108,0.20544172823429108
it,0.36714982986450195,0.39615920186042786,0.0795649066567421,0.4577186405658722,0.6251175999641418,0.21402770280838013,0.1835959255695343,0.1903461366891861,0.25732165575027466
ended,0.18768176436424255,0.20378006994724274,0.20243577659130096,0.4452953040599823,0.3356485068798065,0.2706211507320404,0.0627288669347763,0.23189735412597656,0.15429291129112244
with,0.3525622487068176,0.35744401812553406,0.14512313902378082,0.27411898970603943,0.4223487675189972,0.2760404646396637,0.15400348603725433,0.1991085708141327,0.2433311939239502
no,0.2603875398635864,0.27654168009757996,0.1316005140542984,0.19955526292324066,0.3461136817932129,0.2089386135339737,0.17145898938179016,0.10200107842683792,0.32165053486824036
points,0.22446410357952118,0.17477619647979736,0.33249494433403015,0.13673242926597595,0.2560983896255493,0.29550084471702576,0.19660845398902893,0.404293417930603,0.11006313562393188
when,0.4767928421497345,0.36563900113105774,0.15404455363750458,0.37326499819755554,0.5091903209686279,0.25619781017303467,0.20833460986614227,0.16456450521945953,0.22841128706932068
graham,0.1439102292060852,0.16213154792785645,0.22101886570453644,0.2738287150859833,0.20041067898273468,0.12071587890386581,0.09765046089887619,0.13701669871807098,0.11933253705501556
gano,0.0923214927315712,0.1426343470811844,0.1410108357667923,0.24232544004917145,0.22641095519065857,0.16222678124904633,0.1191931962966919,0.13990363478660583,0.12128016352653503
hit,0.16867467761039734,0.19037066400051117,0.26497578620910645,0.25608164072036743,0.2674407958984375,0.33344653248786926,0.1634659618139267,0.2308536171913147,0.14460130035877228
the,0.33890387415885925,0.4335206151008606,0.16070343554019928,0.48711544275283813,1.0,0.24222715198993683,0.2105809599161148,0.2443244755268097,0.22068053483963013
uprights,0.26238468289375305,0.27660611271858215,0.2810724973678589,0.12793174386024475,0.23435331881046295,0.12687690556049347,0.1829681098461151,0.21627283096313477,0.1998007446527481
on,0.32655060291290283,0.32520127296447754,0.15043845772743225,0.3909217119216919,0.5107308030128479,0.26678919792175293,0.192391499876976,0.2157920002937317,0.2714994251728058
a,0.29312583804130554,0.2872205972671509,0.19167225062847137,0.4508470594882965,0.5829201340675354,0.24180899560451508,0.2030690312385559,0.20853768289089203,0.23916715383529663
44-yard,0.23680628836154938,0.2326383739709854,0.4907134473323822,0.2875751554965973,0.29883286356925964,0.2187761664390564,0.2279983013868332,0.20087161660194397,0.1112428829073906
field,0.19519785046577454,0.1401631236076355,0.3101290166378021,0.15975919365882874,0.2105809599161148,0.2317122220993042,1.0,0.26796361804008484,0.11279727518558502
goal,0.20538218319416046,0.11800757050514221,0.3246974050998688,0.18331198394298553,0.2443244755268097,0.2689272165298462,0.26796361804008484,1.0000001192092896,0.1964566856622696
attempt,0.23973937332630157,0.18253685534000397,0.23450176417827606,0.2327374517917633,0.2614527940750122,0.2679177224636078,0.2087830752134323,0.3482929766178131,0.16559520363807678
.,0.3287222981452942,0.3974229395389557,0.17664551734924316,0.40146201848983765,0.5934505462646484,0.2785361111164093,0.23224417865276337,0.19919876754283905,0.4130953550338745
