,who,discovered,the,yellow,fever,virus,?
viruses,0.15059493482112885,0.2782747149467468,0.22837135195732117,0.30743852257728577,0.4102182388305664,0.8373210430145264,0.2074798345565796
were,0.3188014328479767,0.29743650555610657,0.3906462490558624,0.15519832074642181,0.1459358036518097,0.09984321147203445,0.17890112102031708
confirmed,0.22889703512191772,0.3847537338733673,0.2951974868774414,0.14353689551353455,0.1772233247756958,0.2301977425813675,0.20580808818340302
as,0.3923053741455078,0.21748995780944824,0.48381632566452026,0.2139393538236618,0.1791943460702896,0.08848585188388824,0.27043893933296204
human,0.265678733587265,0.15830758213996887,0.3103327453136444,0.1802045851945877,0.17368009686470032,0.35996711254119873,0.19748784601688385
pathogens,0.17308282852172852,0.30327340960502625,0.23115308582782745,0.26903969049453735,0.391584575176239,0.5974105596542358,0.21364152431488037
in,0.2792111933231354,0.2801778018474579,0.6662389636039734,0.20937198400497437,0.22277675569057465,0.2113294154405594,0.20430970191955566
1901,-0.008893604390323162,-0.08839350938796997,0.01573479175567627,0.03646247461438179,0.04553680866956711,0.010400529950857162,-0.041070252656936646
",",0.3365725874900818,0.26185235381126404,0.4933079481124878,0.26202648878097534,0.24012744426727295,0.2469908446073532,0.31091248989105225
with,0.3282766342163086,0.19195446372032166,0.4223487675189972,0.29236334562301636,0.19790038466453552,0.13785628974437714,0.2433311939239502
the,0.3733934462070465,0.27493247389793396,1.0,0.2507648169994354,0.22987264394760132,0.2104095071554184,0.22068053483963013
discovery,0.10811291635036469,0.7555883526802063,0.29877567291259766,0.20279072225093842,0.22058171033859253,0.3011569380760193,0.11594310402870178
of,0.2827862501144409,0.22074753046035767,0.733189046382904,0.23887859284877777,0.1963004767894745,0.23710672557353973,0.1826142966747284
the,0.3733934462070465,0.27493247389793396,1.0,0.2507648169994354,0.22987264394760132,0.2104095071554184,0.22068053483963013
yellow,0.16457633674144745,0.1925884485244751,0.2507648169994354,1.0,0.43246960639953613,0.30722907185554504,0.142889603972435
fever,0.19847525656223297,0.22085195779800415,0.22987264394760132,0.43246960639953613,0.9999999403953552,0.48152050375938416,0.19472312927246094
virus,0.1708989143371582,0.2690734267234802,0.2104095071554184,0.30722907185554504,0.48152050375938416,1.0,0.17680412530899048
by,0.39727845788002014,0.2291465401649475,0.4408751428127289,0.21716873347759247,0.19207905232906342,0.18439868092536926,0.17966607213020325
walter,0.2818695306777954,0.20679669082164764,0.16759788990020752,0.16416281461715698,0.11517085134983063,0.08579714596271515,0.1297207623720169
reed,0.1882859766483307,0.1751604527235031,0.20458559691905975,0.18331332504749298,0.1846569925546646,0.15658976137638092,0.1391095072031021
.,0.3541337847709656,0.23523737490177155,0.5934505462646484,0.2425307035446167,0.21077097952365875,0.20257869362831116,0.4130953550338745
