,innate,cells,can,act,as,mediators,in,the,activation,of,what,branch,of,the,immune,system,?
innate,1.0000001192092896,0.5340849757194519,0.293937623500824,0.2495909035205841,0.21250401437282562,0.3313785493373871,0.18022385239601135,0.2196919023990631,0.49310946464538574,0.255485475063324,0.2683543860912323,0.14243648946285248,0.255485475063324,0.2196919023990631,0.6130988597869873,0.3689802289009094,0.16386382281780243
cells,0.5340849757194519,1.0,0.32483595609664917,0.1418844312429428,0.2328435331583023,0.28362956643104553,0.1711641103029251,0.19095487892627716,0.4792545437812805,0.21305565536022186,0.1758001297712326,0.09472376108169556,0.21305565536022186,0.19095487892627716,0.5300963521003723,0.29856014251708984,0.1898086667060852
are,0.2676650285720825,0.2908284366130829,0.5408529043197632,0.22266654670238495,0.3826591968536377,0.33399704098701477,0.3841303884983063,0.40399202704429626,0.22869804501533508,0.39081433415412903,0.29724663496017456,0.18532468378543854,0.39081433415412903,0.40399202704429626,0.23878547549247742,0.21917270123958588,0.24591213464736938
also,0.2723403871059418,0.20753082633018494,0.4861826002597809,0.2388189285993576,0.5774298906326294,0.3058367967605591,0.5073733329772949,0.6021018624305725,0.2715519368648529,0.4924938678741455,0.42747777700424194,0.2384556531906128,0.4924938678741455,0.6021018624305725,0.23907321691513062,0.25791773200035095,0.21848613023757935
important,0.30309027433395386,0.2002943605184555,0.2711654007434845,0.19726727902889252,0.2693694233894348,0.2136523276567459,0.3796374499797821,0.39348116517066956,0.3145599663257599,0.43301743268966675,0.31164905428886414,0.2873744070529938,0.43301743268966675,0.39348116517066956,0.2676001489162445,0.21206511557102203,0.17812499403953552
mediators,0.3313785493373871,0.28362956643104553,0.3439770042896271,0.20063085854053497,0.2409607619047165,1.0,0.21789579093456268,0.29775312542915344,0.2880271077156067,0.22528284788131714,0.2681913375854492,0.1646999567747116,0.22528284788131714,0.29775312542915344,0.3192586302757263,0.2176068127155304,0.17032571136951447
in,0.18022385239601135,0.1711641103029251,0.26527702808380127,0.22050046920776367,0.3887844979763031,0.21789579093456268,1.0,0.6662389636039734,0.2594459056854248,0.5696388483047485,0.30808621644973755,0.21656033396720886,0.5696388483047485,0.6662389636039734,0.14682820439338684,0.21978288888931274,0.20430970191955566
the,0.2196919023990631,0.19095487892627716,0.312528520822525,0.28682878613471985,0.48381632566452026,0.29775312542915344,0.6662389636039734,1.0,0.30273205041885376,0.733189046382904,0.42745697498321533,0.2630956768989563,0.733189046382904,1.0,0.21364226937294006,0.3233085572719574,0.22068053483963013
activation,0.49310946464538574,0.4792545437812805,0.35845333337783813,0.3207046389579773,0.239231139421463,0.2880271077156067,0.2594459056854248,0.30273205041885376,0.9999998807907104,0.2020977884531021,0.2419547140598297,0.13435634970664978,0.2020977884531021,0.30273205041885376,0.4638541042804718,0.3515070378780365,0.19980524480342865
of,0.255485475063324,0.21305565536022186,0.2603091299533844,0.2802577316761017,0.3886612355709076,0.22528284788131714,0.5696388483047485,0.733189046382904,0.2020977884531021,1.0,0.33290785551071167,0.23972897231578827,1.0,0.733189046382904,0.16620753705501556,0.25597915053367615,0.1826142966747284
the,0.2196919023990631,0.19095487892627716,0.312528520822525,0.28682878613471985,0.48381632566452026,0.29775312542915344,0.6662389636039734,1.0,0.30273205041885376,0.733189046382904,0.42745697498321533,0.2630956768989563,0.733189046382904,1.0,0.21364226937294006,0.3233085572719574,0.22068053483963013
adaptive,0.526890218257904,0.3719173073768616,0.2221839278936386,0.17031501233577728,0.22404366731643677,0.3113672733306885,0.22990182042121887,0.25968632102012634,0.41847890615463257,0.18422213196754456,0.22806508839130402,0.07900162041187286,0.18422213196754456,0.25968632102012634,0.4945787191390991,0.31361085176467896,0.12147218734025955
immune,0.6130988597869873,0.5300963521003723,0.2696937620639801,0.16497139632701874,0.17487213015556335,0.3192586302757263,0.14682820439338684,0.21364226937294006,0.4638541042804718,0.16620753705501556,0.2410416603088379,0.1347350925207138,0.16620753705501556,0.21364226937294006,1.0,0.3962631821632385,0.16080476343631744
system,0.3689802289009094,0.29856014251708984,0.25937724113464355,0.22195035219192505,0.1973835676908493,0.2176068127155304,0.21978288888931274,0.3233085572719574,0.3515070378780365,0.25597915053367615,0.23557309806346893,0.1959027498960495,0.25597915053367615,0.3233085572719574,0.3962631821632385,1.0000001192092896,0.15556083619594574
.,0.2064800262451172,0.2868211269378662,0.35783761739730835,0.2025400698184967,0.515582263469696,0.21431683003902435,0.5591574311256409,0.5934505462646484,0.31713196635246277,0.5352458953857422,0.3567904531955719,0.1572728455066681,0.5352458953857422,0.5934505462646484,0.18267881870269775,0.2277725487947464,0.4130953550338745
