,what,alternate,payment,did,edison,offer,tesla,?
``,0.008517155423760414,0.04290091618895531,-0.004322171211242676,-0.029888948425650597,-0.09557203948497772,-0.04611703380942345,0.04274534806609154,0.0685480609536171
:64,0.033209092915058136,0.04393109306693077,0.06446309387683868,-0.0298941507935524,-0.05720436945557594,0.03500305116176605,-0.053876716643571854,0.025190016254782677
instead,0.4104403555393219,0.25172159075737,0.24000433087348938,0.34208473563194275,0.18040303885936737,0.2806014120578766,0.16731514036655426,0.2942638397216797
",",0.3087472915649414,0.23518507182598114,0.16071373224258423,0.3015086054801941,0.29400110244750977,0.2830800712108612,0.20599327981472015,0.31091248989105225
edison,0.15105706453323364,0.1826557070016861,0.25098443031311035,0.1372239738702774,0.9999999403953552,0.16944466531276703,0.35526686906814575,0.10244420915842056
offered,0.1662205457687378,0.17841064929962158,0.37355080246925354,0.40334975719451904,0.13795453310012817,0.7171011567115784,0.18253490328788757,0.22244536876678467
a,0.3320399522781372,0.25135019421577454,0.23411689698696136,0.2552328109741211,0.2415124475955963,0.20917463302612305,0.2211925983428955,0.23916715383529663
us,0.32081687450408936,0.1711663007736206,0.14336736500263214,0.23250600695610046,0.21895603835582733,0.15610063076019287,0.2018621414899826,0.2742428481578827
$,0.24858909845352173,0.09206541627645493,0.4111318588256836,0.23203131556510925,0.22612346708774567,0.2800801694393158,0.23458653688430786,0.2786129117012024
10,0.11840458959341049,0.03064119815826416,0.04795464873313904,0.1914099007844925,-0.05500078946352005,0.08418095111846924,-0.08889484405517578,0.022911956533789635
a,0.3320399522781372,0.25135019421577454,0.23411689698696136,0.2552328109741211,0.2415124475955963,0.20917463302612305,0.2211925983428955,0.23916715383529663
week,0.2483774870634079,0.19562160968780518,0.20762470364570618,0.2459598332643509,0.1737922579050064,0.3158864676952362,0.11419843137264252,0.25105318427085876
raise,0.19120202958583832,0.12744878232479095,0.291085809469223,0.24231767654418945,0.1469327062368393,0.30056703090667725,0.1319682002067566,0.13340649008750916
over,0.28007611632347107,0.12429041415452957,0.1878095418214798,0.2535076439380646,0.17568880319595337,0.29995065927505493,0.16356024146080017,0.25742942094802856
tesla,0.23221199214458466,0.12319330871105194,0.2469467669725418,0.09757418930530548,0.35526686906814575,0.201114684343338,0.9999999403953552,0.10250775516033173
's,0.02692362666130066,-0.011362173594534397,0.07128368318080902,0.05069678649306297,0.0115949846804142,0.08889953792095184,0.06449045985937119,-0.023395681753754616
us,0.32081687450408936,0.1711663007736206,0.14336736500263214,0.23250600695610046,0.21895603835582733,0.15610063076019287,0.2018621414899826,0.2742428481578827
$,0.24858909845352173,0.09206541627645493,0.4111318588256836,0.23203131556510925,0.22612346708774567,0.2800801694393158,0.23458653688430786,0.2786129117012024
18,-0.09284763038158417,0.0352310910820961,-0.11617457121610641,-0.16295963525772095,-0.09338648617267609,-0.0928339809179306,-0.12166083604097366,-0.04919438064098358
per,0.21384303271770477,0.12083090096712112,0.22231757640838623,0.14237605035305023,0.14697560667991638,0.21977736055850983,0.2078201323747635,0.22323818504810333
week,0.2483774870634079,0.19562160968780518,0.20762470364570618,0.2459598332643509,0.1737922579050064,0.3158864676952362,0.11419843137264252,0.25105318427085876
salary,0.2065381407737732,0.17472851276397705,0.4721810519695282,0.27847251296043396,0.1947774589061737,0.3596076965332031,0.2503458261489868,0.20685498416423798
;,0.10986888408660889,0.15384076535701752,0.006400751881301403,0.10727239400148392,-0.02163473144173622,0.03362434729933739,-0.03835732489824295,0.10349778085947037
tesla,0.23221199214458466,0.12319330871105194,0.2469467669725418,0.09757418930530548,0.35526686906814575,0.201114684343338,0.9999999403953552,0.10250775516033173
refused,0.19773393869400024,0.047548145055770874,0.24544697999954224,0.5581128597259521,0.07863277196884155,0.3609062135219574,0.04939310997724533,0.14580921828746796
the,0.42745697498321533,0.2994726002216339,0.22787606716156006,0.34736719727516174,0.25419825315475464,0.21118608117103577,0.1324402391910553,0.22068053483963013
offer,0.20134106278419495,0.27941474318504333,0.39187684655189514,0.30979153513908386,0.16944466531276703,0.9999998807907104,0.201114684343338,0.1774262934923172
and,0.31309178471565247,0.24455861747264862,0.21492411196231842,0.34479495882987976,0.13864636421203613,0.3224562108516693,0.19560420513153076,0.20544172823429108
immediately,0.3574325740337372,0.16850656270980835,0.29433202743530273,0.32630231976509094,0.186740905046463,0.2537689208984375,0.11511150747537613,0.21004259586334229
resigned,0.2188267707824707,0.031239314004778862,0.2274332046508789,0.32495298981666565,0.11876797676086426,0.217698872089386,0.09479314833879471,0.1498192995786667
.,0.3567904531955719,0.2329867035150528,0.17652547359466553,0.35288307070732117,0.2391979843378067,0.23210087418556213,0.17949827015399933,0.4130953550338745
