,what,did,the,industrial,revolution,cause,to,happen,to,newcastle,?
this,0.5489566326141357,0.3609912693500519,0.6274310946464539,0.24436329305171967,0.21921706199645996,0.32622772455215454,0.5759071707725525,0.387949675321579,0.5759071707725525,0.1843338906764984,0.3155723512172699
revolution,0.1946869045495987,0.21807503700256348,0.276140034198761,0.3976142108440399,0.9999999403953552,0.15030288696289062,0.18777814507484436,0.14902320504188538,0.18777814507484436,0.06105705350637436,0.1727980077266693
resulted,0.14803820848464966,0.27626562118530273,0.2975946068763733,0.13524095714092255,0.23561283946037292,0.41107508540153503,0.24989460408687592,0.27508267760276794,0.24989460408687592,0.106887087225914,0.1391388475894928
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.3118434548377991,0.23010264337062836,0.24822883307933807,0.45010748505592346,0.2613373398780823,0.45010748505592346,0.19270820915699005,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,1.0,0.30435431003570557,0.276140034198761,0.2551237642765045,0.535392165184021,0.2880464494228363,0.535392165184021,0.2253497689962387,0.22068053483963013
urbanization,0.1920248121023178,0.11162614822387695,0.3108367621898651,0.4307379126548767,0.2811092138290405,0.2244333028793335,0.24816253781318665,0.21813656389713287,0.24816253781318665,0.12863466143608093,0.19104407727718353
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.3120400011539459,0.27144062519073486,0.25979894399642944,0.41548454761505127,0.23650258779525757,0.41548454761505127,0.18781472742557526,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,1.0,0.30435431003570557,0.276140034198761,0.2551237642765045,0.535392165184021,0.2880464494228363,0.535392165184021,0.2253497689962387,0.22068053483963013
city,0.17493832111358643,0.12266099452972412,0.35769423842430115,0.3795790374279022,0.2521553933620453,0.09850287437438965,0.20300441980361938,0.10480723530054092,0.20300441980361938,0.32860881090164185,0.13423943519592285
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.2738547623157501,0.2770307958126068,0.267557293176651,0.4645031690597534,0.2506430745124817,0.4645031690597534,0.2714749276638031,0.4130953550338745
