,what,type,of,atmosphere,helped,fuel,the,fire,throughout,the,cabin,?
during,0.24137552082538605,0.1538453847169876,0.3869180977344513,0.24737019836902618,0.3647162616252899,0.2507975697517395,0.4838213622570038,0.21057194471359253,0.5211911797523499,0.4838213622570038,0.22419993579387665,0.1325719803571701
this,0.5489566326141357,0.36936521530151367,0.45148900151252747,0.2617276608943939,0.2181582897901535,0.24059391021728516,0.6274310946464539,0.19925758242607117,0.3272508978843689,0.6274310946464539,0.16966092586517334,0.3155723512172699
hold,0.20790280401706696,0.17571261525154114,0.2465030699968338,0.07003280520439148,0.2045697122812271,0.1545274406671524,0.3067915439605713,0.17190933227539062,0.2564811408519745,0.3067915439605713,0.17696210741996765,0.18586084246635437
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.26560261845588684,0.2661169171333313,0.19458916783332825,0.4933079481124878,0.24915234744548798,0.22385434806346893,0.4933079481124878,0.18909597396850586,0.31091248989105225
an,0.2821882665157318,0.21485474705696106,0.32280945777893066,0.17997580766677856,0.1833799034357071,0.194906547665596,0.4207492768764496,0.18738067150115967,0.14042221009731293,0.4207492768764496,0.1281815767288208,0.19793890416622162
electrical,0.19961315393447876,0.1570822298526764,0.23057208955287933,0.30956414341926575,0.1671604961156845,0.37077051401138306,0.2523402273654938,0.20154280960559845,0.19234445691108704,0.2523402273654938,0.11289452761411667,0.10923371464014053
fire,0.19359004497528076,0.13550949096679688,0.20259131491184235,0.2383316606283188,0.1297888457775116,0.28269287943840027,0.2911929488182068,0.9999999403953552,0.14698244631290436,0.2911929488182068,0.22614069283008575,0.14396874606609344
began,0.1665823757648468,0.142954483628273,0.2330763041973114,0.18143579363822937,0.4198005497455597,0.16962791979312897,0.3059147596359253,0.19542741775512695,0.3344358503818512,0.3059147596359253,0.13912838697433472,0.1370266228914261
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.20898397266864777,0.304380863904953,0.17527905106544495,0.6662389636039734,0.2514701783657074,0.46596065163612366,0.6662389636039734,0.19721314311027527,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24429655075073242,0.3108886480331421,0.18534968793392181,1.0,0.2911929488182068,0.4158564507961273,1.0,0.23489025235176086,0.22068053483963013
cabin,0.17852115631103516,0.13907498121261597,0.2067061811685562,0.16521137952804565,0.16989250481128693,0.24860815703868866,0.23489025235176086,0.22614069283008575,0.21134649217128754,0.23489025235176086,1.0000001192092896,0.15796571969985962
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.26560261845588684,0.2661169171333313,0.19458916783332825,0.4933079481124878,0.24915234744548798,0.22385434806346893,0.4933079481124878,0.18909597396850586,0.31091248989105225
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.273572713136673,0.318156898021698,0.22683054208755493,0.5171257257461548,0.2478165328502655,0.36296960711479187,0.5171257257461548,0.18535110354423523,0.20544172823429108
spread,0.22287604212760925,0.17236976325511932,0.2895529866218567,0.16077563166618347,0.3079844117164612,0.12741760909557343,0.28994160890579224,0.21915985643863678,0.4018996059894562,0.28994160890579224,0.1311483085155487,0.16482828557491302
quickly,0.27000871300697327,0.17044076323509216,0.1989620476961136,0.20648080110549927,0.2926759123802185,0.1820393055677414,0.30366459488868713,0.21982862055301666,0.28487053513526917,0.30366459488868713,0.16059602797031403,0.18131443858146667
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.20898397266864777,0.304380863904953,0.17527905106544495,0.6662389636039734,0.2514701783657074,0.46596065163612366,0.6662389636039734,0.19721314311027527,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24429655075073242,0.3108886480331421,0.18534968793392181,1.0,0.2911929488182068,0.4158564507961273,1.0,0.23489025235176086,0.22068053483963013
high,0.20466077327728271,0.19402813911437988,0.2803038954734802,0.19628050923347473,0.10422129929065704,0.20669685304164886,0.28034812211990356,0.12679317593574524,0.20719952881336212,0.28034812211990356,0.2257721871137619,0.11137914657592773
pressure,0.2625555694103241,0.2286885380744934,0.22627468407154083,0.44366881251335144,0.20317603647708893,0.2851095199584961,0.28285476565361023,0.16840921342372894,0.2254801094532013,0.28285476565361023,0.21540102362632751,0.142023503780365
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.26560261845588684,0.2661169171333313,0.19458916783332825,0.4933079481124878,0.24915234744548798,0.22385434806346893,0.4933079481124878,0.18909597396850586,0.31091248989105225
100,0.16026288270950317,0.11039844155311584,0.1816425770521164,0.12343087047338486,0.08795781433582306,0.04177756980061531,0.16408909857273102,0.05695386603474617,0.21093890070915222,0.16408909857273102,0.1542859524488449,0.19397632777690887
%,0.20738190412521362,0.21680237352848053,0.19953428208827972,0.2000538408756256,0.08404634147882462,0.21506847441196442,0.21490740776062012,0.1336575597524643,0.11755974590778351,0.21490740776062012,0.11536725610494614,0.21441808342933655
oxygen,0.16781960427761078,0.16191279888153076,0.16848602890968323,0.48839667439460754,0.1333310455083847,0.4038860499858856,0.20428593456745148,0.2802748680114746,0.20961253345012665,0.20428593456745148,0.14350184798240662,0.16786395013332367
atmosphere,0.2530241310596466,0.08003394305706024,0.1981431096792221,1.0,0.16184519231319427,0.3809235394001007,0.24429655075073242,0.2383316606283188,0.2559536099433899,0.24429655075073242,0.16521137952804565,0.15636961162090302
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.202870711684227,0.25779226422309875,0.17959722876548767,0.5934505462646484,0.2511917054653168,0.29375210404396057,0.5934505462646484,0.20977994799613953,0.4130953550338745
