,who,actually,won,the,prize,?
on,0.2340552806854248,0.2697833180427551,0.21146643161773682,0.5107308030128479,0.1964096873998642,0.2714994251728058
6,0.06694239377975464,0.05042417347431183,-0.02354123815894127,0.041227471083402634,0.010745232924818993,0.045001473277807236
november,0.2615586519241333,0.1675897091627121,0.27256760001182556,0.25734350085258484,0.19674205780029297,0.3159552216529846
1915,0.16446161270141602,0.07685365527868271,0.10566910356283188,0.08504247665405273,-0.03872782737016678,0.2152155190706253
",",0.3365725874900818,0.34130755066871643,0.35968565940856934,0.4933079481124878,0.28670501708984375,0.31091248989105225
a,0.36608949303627014,0.3909306824207306,0.22534137964248657,0.5829201340675354,0.189753457903862,0.23916715383529663
reuters,0.22986286878585815,0.19019360840320587,0.14157788455486298,0.1947241574525833,0.23193740844726562,0.20030519366264343
news,0.17873786389827728,0.17529557645320892,0.12613561749458313,0.2294066995382309,0.17029766738414764,0.1899169683456421
agency,0.11960361897945404,0.11970137059688568,0.07317864149808884,0.24253644049167633,0.1490451693534851,0.18185843527317047
report,0.17796188592910767,0.22943861782550812,0.14105527102947235,0.2556745111942291,0.20042599737644196,0.3138936758041382
from,0.27839982509613037,0.2830860912799835,0.15574602782726288,0.40150508284568787,0.146054208278656,0.19969791173934937
london,0.20960183441638947,0.2160329669713974,0.16730551421642303,0.27034124732017517,0.16111747920513153,0.11278104782104492
had,0.36173108220100403,0.29137277603149414,0.3003121316432953,0.3875846862792969,0.15956661105155945,0.20728366076946259
the,0.3733934462070465,0.39964747428894043,0.29432493448257446,1.0,0.18969248235225677,0.22068053483963013
1915,0.16446161270141602,0.07685365527868271,0.10566910356283188,0.08504247665405273,-0.03872782737016678,0.2152155190706253
nobel,0.23225803673267365,0.1881200671195984,0.36583611369132996,0.1909446120262146,0.8436678051948547,0.15008176863193512
prize,0.20312342047691345,0.172830730676651,0.4721262753009796,0.18969248235225677,0.9999999403953552,0.14158497750759125
in,0.2792111933231354,0.3058476448059082,0.3280489146709442,0.6662389636039734,0.21274791657924652,0.20430970191955566
physics,0.14691244065761566,0.22091658413410187,0.19898854196071625,0.17952929437160492,0.44738906621932983,0.1470423936843872
awarded,0.22917822003364563,0.09728556126356125,0.5047818422317505,0.24971646070480347,0.583318293094635,0.1431703418493271
to,0.42656609416007996,0.4543284475803375,0.1945943981409073,0.535392165184021,0.17568570375442505,0.29463258385658264
thomas,0.26103657484054565,0.16817307472229004,0.1748179942369461,0.23505409061908722,0.14471560716629028,0.16133050620555878
edison,0.19920577108860016,0.18333904445171356,0.20467285811901093,0.25419825315475464,0.20493881404399872,0.10244420915842056
