,which,article,allows,the,european,council,to,govern,mergers,between,firms,?
article,0.3171063959598541,0.9999999403953552,0.23662550747394562,0.3329811692237854,0.18199297785758972,0.18989677727222443,0.361922025680542,0.21475893259048462,0.2775726914405823,0.14310334622859955,0.20461119711399078,0.4948462247848511
102,0.2571779787540436,0.03044508956372738,0.12898162007331848,0.14157715439796448,0.027548739686608315,-0.04870844632387161,0.19704855978488922,0.00438492838293314,0.07803903520107269,0.0961613804101944,0.20518013834953308,-0.019286835566163063
prohibits,0.30096203088760376,0.24202027916908264,0.3321414589881897,0.24808304011821747,0.15258267521858215,0.20249447226524353,0.24411100149154663,0.2616569399833679,0.1593460589647293,0.1544656604528427,0.23411041498184204,0.21884572505950928
the,0.6521818041801453,0.3329811692237854,0.2995605766773224,1.0,0.3423081040382385,0.2829204201698303,0.535392165184021,0.2840098738670349,0.2736377418041229,0.39067012071609497,0.2687743306159973,0.22068053483963013
abuse,0.21216285228729248,0.2380969375371933,0.2275169938802719,0.18934819102287292,0.16516472399234772,0.13146139681339264,0.263949990272522,0.18632568418979645,0.16726908087730408,0.1313706636428833,0.16072851419448853,0.30148282647132874
of,0.5011631846427917,0.25720444321632385,0.2623075544834137,0.733189046382904,0.2507138252258301,0.2972237169742584,0.41548454761505127,0.33577802777290344,0.20111000537872314,0.3737983703613281,0.23259897530078888,0.1826142966747284
dominant,0.33016008138656616,0.12067847698926926,0.22194457054138184,0.3743239641189575,0.24128584563732147,0.11242330819368362,0.21260958909988403,0.2730407118797302,0.14372524619102478,0.25316327810287476,0.2662253975868225,0.07625212520360947
position,0.2391343116760254,0.2100917249917984,0.1714867353439331,0.3183514177799225,0.11087920516729355,0.08628068119287491,0.2374807894229889,0.2716892659664154,0.09227455407381058,0.16931575536727905,0.1992594301700592,0.15529610216617584
",",0.3658004403114319,0.28605279326438904,0.18241192400455475,0.4933079481124878,0.19684812426567078,0.23820561170578003,0.44245919585227966,0.2192641943693161,0.2697584629058838,0.27714940905570984,0.20413024723529816,0.31091248989105225
such,0.406057745218277,0.23355092108249664,0.2946239709854126,0.3575236201286316,0.24026738107204437,0.10894624888896942,0.2871878743171692,0.12297490984201431,0.23340539634227753,0.17754530906677246,0.33581021428108215,0.17851735651493073
as,0.41006597876548767,0.2877572774887085,0.20692208409309387,0.48381632566452026,0.20210161805152893,0.18031510710716248,0.42092081904411316,0.22416952252388,0.2175426334142685,0.22009976208209991,0.28902846574783325,0.27043893933296204
price,0.21813181042671204,0.20043736696243286,0.1729584038257599,0.22636492550373077,0.06155519187450409,0.14434561133384705,0.2590087652206421,0.19295045733451843,0.18998342752456665,0.133879616856575,0.42220041155815125,0.14631175994873047
discrimination,0.25425422191619873,0.3194287121295929,0.24967198073863983,0.23384429514408112,0.2428954392671585,0.17882049083709717,0.2756088972091675,0.24163514375686646,0.17162933945655823,0.22096452116966248,0.325448602437973,0.2313917875289917
and,0.506277859210968,0.23647621273994446,0.2950422763824463,0.5171257257461548,0.24143946170806885,0.25117602944374084,0.48971283435821533,0.259111225605011,0.2048792839050293,0.40645647048950195,0.2894735038280487,0.20544172823429108
exclusive,0.3090191185474396,0.19261197745800018,0.265747994184494,0.2746652066707611,0.18104298412799835,0.1212652251124382,0.2829204797744751,0.151780903339386,0.19772636890411377,0.21730777621269226,0.26018399000167847,0.14308638870716095
dealing,0.3321268558502197,0.29999151825904846,0.3236956000328064,0.30423152446746826,0.1839483231306076,0.11991512775421143,0.3146139085292816,0.17849977314472198,0.2225465476512909,0.23240752518177032,0.19286687672138214,0.27334651350975037
.,0.45942068099975586,0.30669885873794556,0.2512013018131256,0.5934505462646484,0.2095622420310974,0.2314436286687851,0.4645031690597534,0.27436238527297974,0.23783297836780548,0.30295518040657043,0.1992122232913971,0.4130953550338745
