,what,technique,was,used,to,decorate,the,east,side,of,the,building,?
continuing,0.28147760033607483,0.2482386976480484,0.24030117690563202,0.1951303333044052,0.35663074254989624,0.1462251842021942,0.32997485995292664,0.21045483648777008,0.2595887780189514,0.267429918050766,0.32997485995292664,0.24358896911144257,0.16484299302101135
the,0.42745697498321533,0.17307476699352264,0.48711544275283813,0.3718377649784088,0.535392165184021,0.22611936926841736,1.0,0.3383176326751709,0.37146830558776855,0.733189046382904,1.0,0.3159640431404114,0.22068053483963013
style,0.2488866001367569,0.35107851028442383,0.17358732223510742,0.26038944721221924,0.2404285967350006,0.3098326325416565,0.2331719547510147,0.11934313923120499,0.1742473691701889,0.23203764855861664,0.2331719547510147,0.2160005271434784,0.19862167537212372
of,0.33290785551071167,0.1720840036869049,0.4069072902202606,0.3075267970561981,0.41548454761505127,0.20821157097816467,0.733189046382904,0.314786434173584,0.2452700436115265,1.0,0.733189046382904,0.26200541853904724,0.1826142966747284
the,0.42745697498321533,0.17307476699352264,0.48711544275283813,0.3718377649784088,0.535392165184021,0.22611936926841736,1.0,0.3383176326751709,0.37146830558776855,0.733189046382904,1.0,0.3159640431404114,0.22068053483963013
earlier,0.22624605894088745,0.12098228931427002,0.3443564474582672,0.18177171051502228,0.29382309317588806,0.16191773116588593,0.26843780279159546,0.1577630639076233,0.1437636762857437,0.27635854482650757,0.26843780279159546,0.08585124462842941,0.13306351006031036
buildings,0.17147983610630035,0.1684306263923645,0.2350262999534607,0.2719874978065491,0.25290772318840027,0.3760242164134979,0.25566717982292175,0.2519272267818451,0.18033361434936523,0.2829168736934662,0.25566717982292175,0.765990138053894,0.11192528158426285
",",0.3087472915649414,0.19078779220581055,0.45456063747406006,0.3120402991771698,0.44245919585227966,0.23126046359539032,0.4933079481124878,0.319791704416275,0.24522119760513306,0.4946078956127167,0.4933079481124878,0.2374238669872284,0.31091248989105225
various,0.26045072078704834,0.26408442854881287,0.14120686054229736,0.36734074354171753,0.33564820885658264,0.27496233582496643,0.3235042691230774,0.1861381083726883,0.13433043658733368,0.3196488320827484,0.3235042691230774,0.14968140423297882,0.12823495268821716
designers,0.22550532221794128,0.23089466989040375,0.24880798161029816,0.2667921185493469,0.2781951427459717,0.3290584087371826,0.25445735454559326,0.11097375303506851,0.17267636954784393,0.21848446130752563,0.25445735454559326,0.29018518328666687,0.15633709728717804
were,0.22298263013362885,0.11839698255062103,0.590133786201477,0.27636459469795227,0.31913647055625916,0.21997679769992828,0.3906462490558624,0.22886523604393005,0.19292019307613373,0.34038281440734863,0.3906462490558624,0.18601834774017334,0.17890112102031708
responsible,0.26869386434555054,0.2170136272907257,0.2582622170448303,0.25290122628211975,0.19470079243183136,0.0709417536854744,0.3305104374885559,0.14005011320114136,0.10888165235519409,0.37070101499557495,0.3305104374885559,0.20495976507663727,0.11367333680391312
for,0.3017193675041199,0.2787911593914032,0.3863949179649353,0.4236139953136444,0.4451248347759247,0.1664220094680786,0.4739971458911896,0.20268000662326813,0.14891928434371948,0.4185989499092102,0.4739971458911896,0.2644540071487427,0.264628142118454
the,0.42745697498321533,0.17307476699352264,0.48711544275283813,0.3718377649784088,0.535392165184021,0.22611936926841736,1.0,0.3383176326751709,0.37146830558776855,0.733189046382904,1.0,0.3159640431404114,0.22068053483963013
decoration,0.22674773633480072,0.17371828854084015,0.23056358098983765,0.247469961643219,0.20693810284137726,0.8686742782592773,0.3275705873966217,0.168476402759552,0.22626066207885742,0.3101682662963867,0.3275705873966217,0.3231984078884125,0.16409437358379364
",",0.3087472915649414,0.19078779220581055,0.45456063747406006,0.3120402991771698,0.44245919585227966,0.23126046359539032,0.4933079481124878,0.319791704416275,0.24522119760513306,0.4946078956127167,0.4933079481124878,0.2374238669872284,0.31091248989105225
the,0.42745697498321533,0.17307476699352264,0.48711544275283813,0.3718377649784088,0.535392165184021,0.22611936926841736,1.0,0.3383176326751709,0.37146830558776855,0.733189046382904,1.0,0.3159640431404114,0.22068053483963013
