,what,type,of,movies,were,produced,in,jacksonville,'s,30,studios,?
over,0.28007611632347107,0.13094623386859894,0.36136594414711,0.2226077765226364,0.30589473247528076,0.1474902480840683,0.3605569899082184,0.19329054653644562,0.016215575858950615,0.06455664336681366,0.18270231783390045,0.25742942094802856
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.25992661714553833,0.3906462490558624,0.22045251727104187,0.6662389636039734,0.2176690250635147,-0.01540423184633255,0.0730796679854393,0.25030121207237244,0.22068053483963013
course,0.3412042260169983,0.19186174869537354,0.2579863667488098,0.20347322523593903,0.16469509899616241,0.1390317678451538,0.27132725715637207,0.18012598156929016,0.1013948917388916,0.01808001846075058,0.14855913817882538,0.28826573491096497
of,0.33290785551071167,0.18112817406654358,1.0,0.24151790142059326,0.34038281440734863,0.18961067497730255,0.5696388483047485,0.23084138333797455,-0.03817026689648628,0.003304550424218178,0.2043924331665039,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.25992661714553833,0.3906462490558624,0.22045251727104187,0.6662389636039734,0.2176690250635147,-0.01540423184633255,0.0730796679854393,0.25030121207237244,0.22068053483963013
decade,0.1613653302192688,0.09210127592086792,0.15614621341228485,0.26609763503074646,0.2353067249059677,0.1470644176006317,0.2119923084974289,0.2456916719675064,-0.05015040934085846,0.07848960906267166,0.15965719521045685,0.11237446963787079
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2767058312892914,0.36755475401878357,0.22260788083076477,0.5201468467712402,0.2837527096271515,-0.0016132977325469255,-0.002004974754527211,0.2194606214761734,0.31091248989105225
more,0.3484537899494171,0.2277899980545044,0.30478984117507935,0.22437188029289246,0.33779072761535645,0.18186894059181213,0.32563260197639465,0.14464539289474487,0.032942235469818115,0.06456964462995529,0.1890273094177246,0.27894994616508484
than,0.29388150572776794,0.21065692603588104,0.33036211133003235,0.24988658726215363,0.2885614037513733,0.16123630106449127,0.3270052373409271,0.1784636676311493,0.0585811510682106,0.0333135649561882,0.18214909732341766,0.24917294085025787
30,-0.04443084076046944,-0.05560283362865448,0.003304550424218178,0.05651683360338211,0.10440058261156082,0.026766791939735413,-0.005278158001601696,-0.007749762386083603,-0.03394532576203346,1.0000001192092896,0.10800514370203018,-0.08261742442846298
silent,0.20245704054832458,0.1616421490907669,0.16265526413917542,0.37868133187294006,0.12175901234149933,0.14316925406455994,0.20335325598716736,0.20958004891872406,0.061602767556905746,-0.03925197944045067,0.24173520505428314,0.11667241156101227
film,0.17437689006328583,0.04284633323550224,0.22166931629180908,0.5682856440544128,0.14881446957588196,0.2352808117866516,0.22183799743652344,0.17442253232002258,0.055141352117061615,0.03918197751045227,0.36148586869239807,0.16369038820266724
studios,0.15965642035007477,0.057673901319503784,0.2043924331665039,0.36362722516059875,0.15969081223011017,0.3549744486808777,0.24788589775562286,0.22037376463413239,0.051580291241407394,0.10800514370203018,1.0,0.16383133828639984
were,0.22298263013362885,0.09534358233213425,0.34038281440734863,0.16258080303668976,1.0000001192092896,0.23232540488243103,0.3815755248069763,0.20713816583156586,0.007088581565767527,0.10440058261156082,0.15969081223011017,0.17890112102031708
established,0.14869536459445953,0.07151743024587631,0.2735237777233124,0.14699368178844452,0.19600653648376465,0.20594795048236847,0.3118882477283478,0.0518689826130867,-0.05163693428039551,0.08721470832824707,0.19870823621749878,0.15917523205280304
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2767058312892914,0.36755475401878357,0.22260788083076477,0.5201468467712402,0.2837527096271515,-0.0016132977325469255,-0.002004974754527211,0.2194606214761734,0.31091248989105225
earning,0.12061654776334763,0.10294079035520554,0.2474178522825241,0.22279970347881317,0.17926190793514252,0.18974563479423523,0.31669119000434875,0.22490176558494568,0.01018267497420311,0.000382416503271088,0.215060293674469,0.1980265974998474
